04-iGMM-selectinvestors,01-DDD-investors
"day one ventures, coinbase ventures, andreessen horowitz","y combinator, accel, t. rowe price"
"javelin venture partners, ttv capital, peterson ventures","oak hc/ft partners, artis ventures, westcap group"
"advance venture partners, susquehanna growth equity, lupa systems","kaszek ventures, amadeus capital partners, quona capital"
"foundation capital, 	summit partners, adams street partners","greylock partners, venrock, providence ventures"
"hyde park venture partners,	fundersclub. bain capital ventures","venture highway, sequoia capital india, prosus ventures"
"general catalyst, future ventures, au21",sequoia capital
"madrona venture group, tiger global management, madera technology partners","lightspeed venture partners, lead edge capital, coatue management"
"foundry group, scale venture partners, softbank group","matrix partners india, falcon edge capital, softbank group"
"netease capital, northern light venture capital, microsoft","india quotient, elevation capital, lightspeed venture partners"
"qiming venture partners, vivo capital, sequoia capital china","softbank group, tiger global management, matrix partners india"
bain capital,"falcon edge capital, omidyar network, sequoia capital india"
"y combinator, m12, seek","clermont group, coltrane asset management, toscafund asset management"
"kleiner perkins caufield & byers, nightdragon security, venrock","alven capital, valar ventures, tencent holdings"
"accel, sands capital, international finance corporation","sequoia capital india, temasek, paypal ventures"
"vertex ventures se asia, global founders capital, visa ventures","accel, technology crossover ventures, leapfrog investments"
"wing venture capital, slow ventures, uncork capital","two sigma ventures, flint capital, commerce ventures"
"firstmark capital, georgian partners, norwest venture partners","capital one growth ventures, citi ventures, omers ventures"
"accomplice, oak investment partners, georgian partners","walden international, google ventures, intel capital"
"greylock partners, google ventures, blackrock","eight roads ventures, greycroft, ignition partners"
"greylock partners, google ventures, blackrock","google ventures, benchmark, firstmark capital"
"female founders fund, oak hc/ft partners, sequoia capital","general atlantic, 3i group, huagai capital"
"qualcomm ventures, woori investment, hanwha investment & securities","dst global, sequoia capital china, tencent holdings"
"andreessen horowitz, homebrew, point72 ventures","kaszek ventures, general atlantic, softbank group"
"sequoia capital, dcm ventures, insight partners","dst global, andreessen horowitz, sequoia capital, redpoint e.ventures"
"goldman sachs asset management, sdp investment, alibaba group","hillhouse capital management, linear venture, morningside venture capital"
"andreessen horowitz, dst global, idg capital","ant financial services group, ggv capital"
"ardian, bain capital","index ventures, battery ventures, iconiq capital"
"hillhouse capital management, sequoia capital china, linear venture","mubadala capital, bond, prosus ventures"
"ggv capital, blackrock, ace & company","runa capital, acton capital partners, point nine capital"
"nfx, plum alley, mayfield","vy capital, 8vc, craft ventures"
"accomplice, juxtapose, firstmark capital","highland europe, eurazeo, canaan partners"
"accel, y combinator, amasia","founders fund. accel, creandum"
"anthemis, connect ventures, northzone ventures",insight partners
"advent international, psg, providence equity partners","blackstone, technology crossover ventures, summit partners"
"rembrandt venture partners, m12, altos ventures","matrix partners, andreessen horowitz, general catalyst"
"yunqi partners, softbank group, ivision ventures","nexus venture partners, crv, insight partners"
"tencent holdings, hillhouse capital management","aglae ventures, eurazeo, daphni"
"b capital group, monk's hill ventures, dynamic parcel distribution","nextview ventures, eniac ventures, sequoia capital"
"accel, tiger global management, omidyar network","tencent, baidu, huasheng capital"
"sequoia capital, thrive capital, sound ventures","venrock, battery ventures, insight partners"
"softbank ventures asia, alpha jwc ventures, insignia ventures partners","pine brook, american express ventures, kleiner perkins caufield & byers"
"3one4 capital partners, bertelsmann india investments, vertex ventures se asia","thrive capital, benchmark, menloventures"
"left lane capital, galaxy interactive, tru arrow partners","warmsun holding, idg capital partners"
"greylock partners, lux capital, general atlantic","battery ventures, storm ventures, redpoint ventures"
"true ventures, altimeter capital, redpoint ventures","alibaba group, boyu capital, borui capital"
"speedinvest, valar ventures, uniqa ventures","technology crossover ventures, a&e television networks"
"index ventures, idinvest partners, daphni","blackrock, blackstone, ubs"
"sequoia capital india, the times group, gmo venturepartners","insight partners, sequoia capital, index ventures"
"coatue management, insight partners, trinity ventures",barter ventures
"iag capital partners, augmentum fintech, northzone ventures","union square ventures, ribbit capital, vy capital"
"vitruvian partners, merieux equity partners, straumann","thrive capital, maverick ventures, redpoint ventures"
"valor capital group, lightrock, softbank group","atomico, insight partners, coatue management"
"innovation endeavors, aleph, temasek","ta associates, softbank group, gs growth"
"lerer hippeau, munich re ventures, eclipse ventures","bpi france, kerala ventures, accel"
"ggv capital, gsr ventures, freesfund","tiger global management, dst global, sequoia capital india"
"sequoia capital china, linear venture, hearst ventures","idg capital, bank of china group investment,, sdic cmc investment management"
ftv capital,"slack fund, accel, skip capital"
"cowboy ventures, leaders fund, ggv capital","accel partners, softbank group, sequoia capital"
"global founders capital, 468 capital, redalpine venture partners","sequoia capital china, warburg pincus, general catalyst"
"korea investment private equity, atinum investment, korea investment partners",credit suisse
"acero capital, general catalyst, m12","institutional venture partners, sequoia capital, general atlantic"
"equal ventures, uncork capital, andreessen horowitz","new enterprise associates, accomplice, ia ventures"
"bluerun ventures, grand flight investment, meituan dianping","third point, electric capital, coinbase ventures"
"accel, falcon edge capital, norwest venture partners",technology crossover ventures
"khosla ventures,general catalyst, victory park capital","tencent, morningside group"
"goldman sachs asset management, 3l","initialized capital, general catalyst, signalfire"
"index ventures, benchmark, thrive capital","general atlantic, goldman sachs, new enterprise associates"
"google ventures, cathay innovation, njf capital","bessemer venture partners, qualcomm ventures, kleiner perkins caufield & byers"
"paladin capital group, greycroft, scale venture partners","volkswagen group, ford autonomous vehicles"
"general atlantic, elevation capital, beenext","morgan creek digital, marcy venture partners, 10t fund"
"khosla ventures, general catalyst, navitas capital","norwest venture partners, next world capital, wing venture capital"
"dst global, general catalyst, monashees+","accel, y combinator, index ventures"
"rre ventures+, highland capital partners, the carlyle group","menlo ventures, spark capital, union square ventures"
"andreessen horowitz, intel capital, foundation capital","accel, northzone ventures, institutional venture partners"
"advent international, bain capital ventures, silversmith capital partners","union square ventures, venrock, andreessen horowitz"
"kkr, ftv capital, ten eleven ventures","bloomberg beta, founders fund, first round capital"
"prysm capital, baillie gifford & co., tdm growth partners","boldstart ventures, google ventures, accel"
"danone manifesto ventures, 1955 capital, breakthrough energy ventures","sixth street partners, orbimed advisors, highland capital management"
"newalpha, xange private equity, tencent holdings","sequoia capital india, tiger global management, matrix partners india"
"cherry ventures, felix capital, 83north","insight venture partners, lowercase capital, polaris partners"
"andreessen horowitz, triangle peak partners, ignition partners","tiger global management, american express ventures, b capital group"
"thrive capital, general catalyst, coatue management","tenaya capital, coatue management, stripes group"
"insight partners, lightspeed venture partners, cyberstarts","tencent holdings, hillhouse capital management, yunfeng capital"
"alpargatas, gs growth, lightspeed venture partners","dfj growth fund, coatue management, addition"
"vostok new ventures, the raine group, balderton capital","accel india, saif partners, norwest venture partners"
"qualcomm ventures, nine intelligence capital, hillhouse capital management","kaalari capital, tencent holdings, steadview capital"
"horizons ventures, sequoia capital india, alpha jwc ventures","d1 capital partners, stripe, coatue management"
"atomico, hanaco venture capital, triplepoint capital","aviation industry corporation of china, essence financial, jiangsu sha steel group"
"temasek, guggenheim investments, qatar investment authority","activant capital, tribe capital, general atlantic"
"tpg capital, apax partners, ta associates","kkr, tencent holdings, sequoia capital china"
"vista equity partners, warburg pincus, first ascent ventures","tiger global management, sequoia capital, revo capital"
"fifth wall ventures, jbv capital, array ventures","new enterprise associates, bdt capital partners, davidson kempner capital management"
"awz ventures, blackstone, insight partners","initialized capital, y combinator, kleiner perkins caufield & byers"
"lightspeed india partners, sequoia capital india, endiya partners","andreessen horowitz, spark capital, y combinator"
"general catalyst, nexus venture partners, dell technologies capital","vickers venture partners, ikea greentech"
"accel, 14w, gs growth","ltw capital, legend capital, qualcomm ventures"
"next play ventures, zeal capital partners, softbank group","caffeinated capital, crv, founder collective"
"qed investors, dst global, endeavor","dst global, ribbit capital, greenoaks capital management"
"multicoin capital, coatue management, dragonfly capital partners","andreessen horowitz, f-prime capital, venrock"
"atomico, ngp capital, google ventures","coatue management, sequoia capital china, idg capital"
"earlybird venture capital, eleven ventures, qed investors","khosla ventures, forerunner ventures, sequoia capital"
"kleiner perkins caufield & byers, sequoia capital",tiger global management
"lemniscap vc, north island ventures, polychain capital","general catalyst, institutional venture partners, breyer capital"
"battery ventures, tiger global management, hanaco ventures","accel, 83north"
"nexus venture partners, vertex ventures, strive","tencent holdings, warbug pincus, idg capital"
"new enterprise associates, benchmark, two sigma ventures","idg capital, venture51, lightspeed venture partners"
"fasanara capital, tiger global management, baleen capital","benchmark, greylock partners, tencent holdings"
"u.s. venture partners, drx capital, andreessen horowitz","new enterprise associates, spar capital, index ventures"
"8vc, liberty strategic capital, eden global partners","andreessen horowitz, thirty five ventures, sound ventures"
"zeev ventures, bond, fifth wall ventures","accel, softbank group, anthos capital"
"craft ventures, f-prime capital, sound ventures","lightspeed venture partners, google ventures, lakestar"
"polychain capital, paradigm, ribbit capital","sequoia capital china, longfor capitalm, gaorong capital"
"andreessen horowitz, coinbase ventures, tiger global management","accel partners, sequoia capital"
"wildcat capital management, insight partners, tola capital","ggv capital, zhenfund, tencent"
"trinity ventures, madrona venture group, shasta ventures","tencent holdings, lightspeed india partners, sequoia capital india"
"green bay ventures, m12, andreessen horowitz","accel, altair capital, technology crossover ventures"
"prime movers lab, khosla ventures, i squared capital","hillhouse capital management, boyu capital, sequoia capital china"
"l catterton, trellis partners, vista equity partners","tiger global management, sequoia capital china, shunwei capital partners"
"primary venture partners, bessemer venture partners, harmonic growth partners","index ventures, dst global, ribbit capital"
"andreessen horowitz, ftx ventures, tiger global management","sequoia capital china, blackbird ventures, matrix partners"
"japan industrial partners, impact investment capital, nec","tiger global management, insight partners, dst global"
"varengold bank, circularity capital, coparion","tencent holdings, kkr, smash ventures"
"new enterprise associates, tull investment group, silver lake","forerunner ventures, crosslink capital, homebrew"
"emergence capital, slack fund, paypal ventures","founders fund, draper fisher jurvetson, rothenberg ventures"
"iseed ventures, point nine capital, buckley ventures","softbank group, andreessen horowitz, temasek holdings"
"creades, eqt ventures, verdane capital","khosla ventures, kleiner perkins caufield & byers, collaborative fund"
"battery ventures, adams street partners, coatue management","andreessen horowitz, new enterprise associates, battery ventures"
"k fund, creandum, crv","khosla ventures, lowercasecapital, capitalg"
"hedosophia, horizons ventures, alumni ventures group",
"valar ventures, index ventures, creandum",
"3one4 capital partners, tiger global management, temasek",
amf pensionsforsakring,
"sinar mas digital ventures, jic venture growth investments, golden gate ventures",
spark capital,
"homebrew, inspired capital, tiger global management",
"general catalyst, kleiner perkins caufield & byers, lightspeed venture partners",
"bain capital ventures, splunk ventures, cisco investments",
"dfj growth fund, dell technologies capital, ten eleven ventures",
"bain capital ventures, splunk ventures, cisco investments",
"battery ventures, bessemer venture partners, morevc",
"gaja capital partners, stakeboat capital, westbridge capital",
"hyde park venture partners, bain capital ventures, hyde park angels",
"eclipse ventures, d1 capital partners, industry ventures",
"google ventures, accel, data collective",
"boost vc, draper associates, gaingels",
