,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
690,,italy,doll_3.2 m,doll_4.24 m,doll_4.66 m,erg spa,,doll_1.359 m,utilities
691,,france,doll_3.4 m,doll_4.18 m,doll_4.65 m,tikehau capital,,454 million usd,financial services
692,,austria,doll_3.33 m,doll_5.95 m,doll_4.64 m,ams ag,"30,000",doll_5.557 m,technology
693,,belgium,doll_3.12 m,doll_3.96 m,doll_4.63 m,aedifica sa,,255 million usd,real estate
694,,uk,0,doll_4.61 m,doll_4.63 m,hicl infrastructure,491,437 million usd,investments
695,,germany,doll_3.1 m,doll_4.68 m,doll_4.62 m,siltronic ag,"3,800",doll_1.550 m,technology
696,,uk,0,0,doll_4.58 m,arrival,"1,300",0 million usd,electric vehicles
697,,luxembourg,doll_8.09 m,doll_5.34 m,doll_4.57 m,ses,"2,159",doll_1.966 m,communication services
698,,france,doll_1.96 m,doll_2.71 m,doll_4.56 m,interparfums sa,396,618 million usd,consumer defensive
699,,ireland,doll_2.07 m,doll_3.27 m,doll_4.56 m,adient,"77,000",doll_13.680 m,consumer cyclical
700,,finland,doll_4.88 m,doll_5.37 m,doll_4.55 m,huhtamaki oyj,"18,600",doll_3.942 m,consumer cyclical
701,,france,doll_3.89 m,doll_3.63 m,doll_4.55 m,compagnie du cambodge,,200 million usd,industries
702,,germany,doll_2.79 m,doll_3.41 m,doll_4.53 m,aurubis ag,"7,400",doll_17.978 m,basic materials
703,,belgium,doll_3.21 m,doll_4.52 m,doll_4.51 m,financiere de tubize sa,,421 million usd,healthcare
704,,uk,0,0,doll_4.46 m,greencoat uk wind,,561 million usd,asset management
705,,germany,doll_4.51 m,doll_5.58 m,doll_4.45 m,stroer se & co. kgaa,"13,000",doll_1.627 m,communication services
706,,switzerland,doll_4.98 m,doll_4.52 m,doll_4.45 m,stadler rail ag,"8,500",doll_3.888 m,industries
707,,italy,doll_3.61 m,doll_3.37 m,doll_4.45 m,salvatore ferragamo,,doll_1.252 m,consumer cyclical
708,,france,0,0,doll_4.44 m,nexans s.a.,,doll_8.134 m,industries
709,,uk,doll_3.21 m,doll_3.73 m,doll_4.44 m,softcat,"1,500",doll_1.362 m,technology
710,,sweden,0,0,doll_4.43 m,nordnet ab (publ),,331 million usd,financial services
711,,uk,0,doll_3.31 m,doll_4.43 m,smithson investment trust,,709 million usd,asset management
712,,russia,doll_3.89 m,doll_4.9 m,doll_4.42 m,moscow exchange micex-rts,,500 million usd,financial services
713,,uk,doll_2.61 m,doll_5.02 m,doll_4.42 m,games workshop group,"2,436",488 million usd,consumer cyclical
714,,sweden,doll_1.24 m,doll_0.92 m,doll_4.41 m,corem property group ab (publ),,297 million usd,real estate
715,,sweden,doll_3.05 m,doll_3.99 m,doll_4.4 m,dometic group ab (publ),,doll_2.281 m,technology
716,,luxembourg,doll_2.67 m,doll_3.33 m,doll_4.4 m,aperam,"9,500",doll_5.100 m,basic materials
717,,uk,doll_3.57 m,doll_3.22 m,doll_4.39 m,livanova,"4,000",doll_1.035 m,healthcare
718,,netherlands,doll_7.0 m,doll_6.65 m,doll_4.39 m,vopak,"5,688",doll_1.353 m,energy
719,,uk,0,0,doll_4.35 m,petershill partners plc,,,financial services
720,,austria,doll_3.58 m,doll_3.56 m,doll_4.34 m,strabag se,,doll_15.293 m,industries
721,,russia,doll_3.77 m,doll_4.58 m,doll_4.34 m,federal hydro-generating company - rushydro,,doll_5.360 m,utilities
722,,uk,doll_4.77 m,doll_4.32 m,doll_4.34 m,tate & lyle,"4,193",doll_1.620 m,consumer defensive
723,,uk,0,doll_3.75 m,doll_4.34 m,3i infrastructure,,485 million usd,investments
724,,france,doll_2.14 m,doll_3.15 m,doll_4.33 m,nexans,,doll_8.134 m,industries
725,,italy,doll_4.38 m,doll_4.49 m,doll_4.31 m,acea spa,,doll_4.381 m,utilities
726,,france,doll_3.23 m,doll_3.47 m,doll_4.31 m,spie sa,"45,500",doll_7.714 m,industries
727,,uk,0,0,doll_4.3 m,"diversey holdings, ltd.","8,500",doll_2.618 m,fmcg
728,,uk,doll_5.66 m,doll_5.48 m,doll_4.3 m,pennon group,"5,239",933 million usd,utilities
729,,sweden,doll_0.86 m,0,doll_4.28 m,addlife ab (publ),,847 million usd,healthcare
730,,uk,doll_2.68 m,doll_3.82 m,doll_4.28 m,computacenter,,doll_8.924 m,technology
731,,luxembourg,doll_2.48 m,doll_2.9 m,doll_4.28 m,brederode sa,,doll_1.106 m,financial services
732,,germany,doll_4.99 m,doll_4.54 m,doll_4.26 m,rheinmetall ag,"25,767",doll_6.241 m,industries
733,,uk,0,doll_3.97 m,doll_4.25 m,alliance trust,,763 million usd,financial services
734,,uk,doll_4.83 m,doll_2.48 m,doll_4.24 m,greggs,"19,000",doll_1.631 m,consumer defensive
735,,belgium,doll_5.22 m,doll_4.86 m,doll_4.23 m,telenet group holding nv,,doll_2.862 m,communication services
736,,austria,doll_2.71 m,doll_4.02 m,doll_4.23 m,mayr-melnhof karton ag,"9,938",doll_3.068 m,consumer cyclical
737,,uk,0,0,doll_4.22 m,ihs holding ltd,,doll_1.579 m,telecom
738,,russia,doll_1.17 m,doll_1.45 m,doll_4.22 m,raspadskaya,,doll_2.098 m,basic materials
739,,spain,doll_1.56 m,doll_2.56 m,doll_4.22 m,laboratorios farmaceuticos rovi,,715 million usd,healthcare
740,,italy,doll_4.88 m,doll_4.57 m,doll_4.21 m,buzzi unicem,,doll_3.444 m,basic materials
741,,denmark,doll_4.6 m,doll_5.89 m,doll_4.21 m,simcorp a/s,"1,901",547 million usd,technology
742,,uk,doll_3.89 m,doll_3.8 m,doll_4.21 m,rotork,"3,400",755 million usd,industries
743,,russia,0,0,doll_4.2 m,united aircraft corporation,,doll_7.694 m,industries
744,,austria,doll_3.4 m,doll_3.57 m,doll_4.18 m,wienerberger ag,,doll_4.380 m,basic materials
745,,spain,doll_6.8 m,doll_2.42 m,doll_4.17 m,banco de sabadell,"23,458",doll_5.486 m,financial services
746,,france,doll_2.94 m,doll_6.49 m,doll_4.17 m,neoen,255,367 million usd,utilities
747,,uk,0,doll_4.27 m,doll_4.16 m,monks investment trust,,-730 million usd,investments
748,,uk,0,doll_2.73 m,doll_4.16 m,man group,"1,456",doll_1.481 m,financial services
749,,italy,doll_6.77 m,doll_4.14 m,doll_4.15 m,leonardo,"49,882",doll_15.591 m,industries
750,,switzerland,doll_2.43 m,doll_3.56 m,doll_4.15 m,vz holding ag,"1,030",415 million usd,financial services
751,,uk,0,doll_3.65 m,doll_4.14 m,s4 capital,,808 million usd,advertising
752,,uk,0,doll_3.33 m,doll_4.12 m,the renewables infrastructure group limited,,231 million usd,renewable energy
753,,switzerland,0,0,doll_4.12 m,polypeptide group ag,973,282 million usd,healthcare
754,,norway,doll_3.03 m,doll_4.07 m,doll_4.11 m,entra asa,,294 million usd,real estate
755,,russia,doll_5.93 m,doll_5.33 m,doll_4.11 m,inter rao ues,,doll_16.208 m,utilities
756,,uk,doll_2.71 m,doll_3.75 m,doll_4.11 m,genus,,676 million usd,healthcare
757,,uk,doll_2.54 m,doll_2.64 m,doll_4.11 m,big yellow group,361,201 million usd,real estate
758,,spain,doll_4.2 m,doll_4.19 m,doll_4.1 m,grupo catalana occidente,"7,587",doll_4.602 m,financial services
759,,isle of man,doll_5.42 m,doll_3.83 m,doll_4.08 m,nepi rockcastle,,536 million usd,real estate
760,,luxembourg,doll_5.1 m,doll_4.7 m,doll_4.05 m,iwg,"12,000",doll_2.955 m,industries
761,,uk,doll_3.17 m,doll_4.03 m,doll_4.05 m,fevertree drinks,,413 million usd,consumer defensive
762,,germany,doll_0.83 m,doll_2.35 m,doll_4.05 m,verbio vereinigte bioenergie ag,,doll_1.026 m,utilities
763,,netherlands,doll_2.04 m,doll_2.96 m,doll_4.04 m,arcadis nv,"28,000",doll_2.828 m,industries
764,,germany,doll_3.4 m,doll_2.29 m,doll_4.03 m,hugo boss ag,,doll_3.073 m,consumer cyclical
765,,sweden,doll_1.82 m,doll_2.41 m,doll_4.03 m,veoneer,,doll_1.657 m,consumer cyclical
766,,uk,doll_3.67 m,doll_3.04 m,doll_4.02 m,beazley,,doll_3.291 m,financial services
767,,france,doll_2.04 m,doll_3.4 m,doll_4.01 m,trigano,"10,021",doll_3.235 m,consumer cyclical
768,,uk,doll_4.07 m,doll_1.78 m,doll_4.0 m,investec group,,doll_2.292 m,financial services
769,,france,doll_4.62 m,doll_3.67 m,doll_3.99 m,elis sa,"45,000",doll_3.362 m,industries
770,,germany,doll_5.94 m,doll_4.07 m,doll_3.98 m,metro ag,"97,639",doll_27.316 m,consumer defensive
771,,uk,0,doll_2.25 m,doll_3.97 m,safestore holdings,700,247 million usd,property investments
772,,belgium,doll_4.01 m,doll_3.33 m,doll_3.96 m,kbc ancora sca,,532 million usd,financial services
773,,greece,0,0,doll_3.95 m,public power corporation s.a.,"13,832",doll_5.704 m,utilities
774,,norway,doll_2.94 m,doll_2.68 m,doll_3.95 m,sparebank 1 sr-bank asa,969,,financial services
775,,italy,doll_4.17 m,doll_3.4 m,doll_3.95 m,unipol gruppo,"11,836",doll_16.280 m,financial services
776,,uk,0,doll_3.75 m,doll_3.95 m,international public partnerships ld,,154 million usd,investments
777,,germany,doll_3.3 m,doll_3.2 m,doll_3.95 m,alstria office reit-ag,167,245 million usd,real estate
778,,italy,doll_3.36 m,doll_3.06 m,doll_3.94 m,azimut holding,"1,162",doll_1.635 m,financial services
779,,sweden,doll_1.71 m,doll_3.42 m,doll_3.93 m,sectra ab (publ),820,184 million usd,healthcare
780,,sweden,doll_2.57 m,doll_3.64 m,doll_3.93 m,billerudkorsnas ab (publ),"4,407",doll_2.778 m,basic materials
781,,denmark,doll_2.26 m,doll_2.64 m,doll_3.92 m,ringkjobing landbobank a/s,626,343 million usd,financial services
782,,germany,doll_3.67 m,doll_4.61 m,doll_3.92 m,tag immobilien ag,"1,354",481 million usd,real estate
783,,spain,doll_3.12 m,doll_3.3 m,doll_3.92 m,cie automotive,,doll_3.606 m,consumer cyclical
784,,france,doll_4.1 m,doll_5.01 m,doll_3.92 m,compagnie plastic omnium sa,"31,000",doll_7.978 m,consumer cyclical
785,,ireland,0,doll_3.03 m,doll_3.9 m,grafton group plc,,doll_2.799 m,construction materials
786,,switzerland,doll_2.01 m,doll_3.03 m,doll_3.9 m,siegfried holding ag,"3,500",doll_1.179 m,healthcare
787,,switzerland,doll_2.16 m,doll_3.63 m,doll_3.9 m,also holding ag,"4,081",doll_13.671 m,technology
788,,germany,doll_0.69 m,doll_1.48 m,doll_3.89 m,zooplus ag,,doll_1.800 m,consumer cyclical
789,,uk,doll_5.39 m,doll_4.82 m,doll_3.89 m,homeserve,,doll_1.683 m,industries
790,,ireland,doll_3.11 m,doll_3.17 m,doll_3.88 m,alkermes,"2,245",doll_1.173 m,healthcare
791,,france,doll_2.83 m,doll_3.23 m,doll_3.86 m,lagardere sca,,doll_5.169 m,consumer cyclical
792,,greece,doll_3.82 m,doll_2.58 m,doll_3.86 m,eurobank ergasias,,doll_1.933 m,financial services
793,,france,doll_3.87 m,doll_3.65 m,doll_3.86 m,societe fonciere lyonnaise sa,75,192 million usd,real estate
794,,austria,doll_2.52 m,doll_2.68 m,doll_3.85 m,lenzing,,doll_2.420 m,basic materials
795,,switzerland,doll_3.66 m,doll_3.8 m,doll_3.85 m,luzerner kantonalbank ag,"1,049",607 million usd,financial services
796,,netherlands,doll_3.48 m,doll_3.58 m,doll_3.85 m,royal boskalis westminster,"7,484",doll_2.955 m,industries
797,,italy,doll_4.02 m,doll_3.34 m,doll_3.85 m,iren spa,"8,000",doll_4.908 m,utilities
798,,luxembourg,doll_4.08 m,doll_4.39 m,doll_3.84 m,grand city properties,800,578 million usd,real estate
799,,austria,doll_3.68 m,doll_3.24 m,doll_3.84 m,vienna insurance group ag,"25,000",doll_10.974 m,financial services
800,,switzerland,doll_0.64 m,doll_0.69 m,doll_3.82 m,dottikon es holding ag,630,261 million usd,basic materials
801,,sweden,doll_2.6 m,doll_3.74 m,doll_3.82 m,nordic entertainment group ab (publ),"1,900",doll_1.342 m,communication services
802,,uk,doll_2.71 m,doll_4.05 m,doll_3.81 m,atlantica yield,,doll_1.211 m,utilities
803,,france,doll_2.23 m,doll_2.44 m,doll_3.8 m,virbac sa,"4,900",doll_1.063 m,healthcare
804,,france,doll_0.09 m,doll_2.98 m,doll_3.8 m,altarea,,doll_2.981 m,real estate
805,,france,doll_3.76 m,doll_2.99 m,doll_3.8 m,altarea sca,"1,983",doll_2.981 m,real estate
806,,austria,doll_3.96 m,doll_3.49 m,doll_3.78 m,ca immobilien anlagen ag,,296 million usd,real estate
807,,poland,doll_3.91 m,doll_3.28 m,doll_3.77 m,pge polska grupa energetyczna,"40,141",doll_11.073 m,utilities
808,,germany,0,0,doll_3.77 m,dmg mori aktiengesellschaft,"12,160",doll_2.263 m,industries
809,,spain,0,0,doll_3.77 m,"zardoya otis, s.a.",,889 million usd,industries
810,,denmark,doll_2.8 m,doll_2.78 m,doll_3.76 m,jyske bank a/s,"3,593",doll_1.288 m,financial services
811,,uk,doll_3.1 m,doll_3.36 m,doll_3.74 m,dunelm group,"6,519",doll_1.574 m,consumer cyclical
812,,germany,doll_3.51 m,doll_4.7 m,doll_3.73 m,compugroup medical societas europaea,,doll_1.131 m,healthcare
813,,czech republic,doll_3.23 m,doll_3.51 m,doll_3.72 m,o2 czech republic,"4,993",doll_1.655 m,communication services
814,,faroe islands,doll_4.48 m,doll_4.16 m,doll_3.71 m,p/f bakkafrost,"1,699",747 million usd,consumer defensive
815,,uk,0,0,doll_3.71 m,darktrace plc,900,281 million usd,artificial intelligence
816,,germany,doll_3.58 m,doll_3.78 m,doll_3.71 m,prosiebensat.1 media se,,doll_4.957 m,communication services
817,,spain,doll_3.11 m,doll_2.98 m,doll_3.68 m,acerinox,"8,331",doll_7.396 m,basic materials
818,,sweden,doll_3.09 m,doll_3.2 m,doll_3.66 m,peab ab (publ),"15,000",doll_6.246 m,industries
819,,finland,doll_2.49 m,doll_3.73 m,doll_3.66 m,metsa board oyj,"2,389",doll_2.299 m,basic materials
820,,switzerland,doll_3.03 m,doll_3.26 m,doll_3.66 m,galenica ag,"7,048",doll_4.102 m,healthcare
821,,uk,doll_3.63 m,doll_2.65 m,doll_3.66 m,virgin money uk,"8,613",doll_1.793 m,financial services
822,,austria,doll_3.87 m,doll_3.63 m,doll_3.66 m,oberbank ag,,597 million usd,financial services
823,,uk,0,doll_2.84 m,doll_3.64 m,londonmetric property,,157 million usd,real estate
824,,uk,doll_2.73 m,doll_2.83 m,doll_3.64 m,bovis homes group,,doll_2.137 m,consumer cyclical
825,,finland,doll_2.39 m,doll_3.91 m,doll_3.63 m,tietoevry corporation,"23,632",doll_3.114 m,technology
826,,uk,0,doll_10.43 m,doll_3.62 m,thg plc,"7,000",doll_2.566 m,ecommerce
827,,belgium,doll_2.76 m,doll_2.61 m,doll_3.62 m,compagnie d'entreprises cfe sa,,doll_1.125 m,industries
828,,germany,doll_2.95 m,doll_3.42 m,doll_3.62 m,mainova ag,"2,853",doll_3.741 m,utilities
829,,sweden,0,0,doll_3.62 m,fortnox ab (publ),,99 million usd,technology
830,,uk,doll_3.4 m,doll_3.15 m,doll_3.61 m,jet2 plc,,doll_1.450 m,industries
831,,finland,doll_3.69 m,doll_3.87 m,doll_3.61 m,tietoevry oyj,"23,632",doll_3.114 m,technology
832,,uk,0,doll_2.85 m,doll_3.59 m,vistry group,"1,227",doll_3.130 m,real estate
833,,france,doll_3.48 m,doll_3.99 m,doll_3.59 m,imerys,"16,300",doll_4.833 m,basic materials
834,,france,doll_3.29 m,doll_3.26 m,doll_3.57 m,sopra steria group sa,"46,000",doll_5.164 m,technology
835,,switzerland,doll_1.89 m,doll_2.53 m,doll_3.56 m,interroll holding ag,,664 million usd,industries
836,,russia,doll_3.0 m,doll_4.01 m,doll_3.56 m,rostelecom,,doll_5.261 m,communication services
837,,denmark,doll_4.56 m,doll_3.2 m,doll_3.54 m,iss a/s,"471,056",doll_10.562 m,industries
838,,luxembourg,doll_3.66 m,doll_3.45 m,doll_3.54 m,reinet investments,,doll_1.223 m,financial services
839,,germany,doll_2.46 m,doll_1.83 m,doll_3.53 m,k+s,,doll_3.544 m,basic materials
840,,switzerland,doll_4.05 m,doll_4.75 m,doll_3.53 m,idorsia ltd,,37 million usd,healthcare
841,,poland,0,0,doll_3.5 m,bnp paribas bank polska s.a.,,doll_12.388 m,financial services
842,,sweden,doll_4.65 m,doll_3.83 m,doll_3.5 m,saab ab (publ),,doll_4.150 m,industries
843,,spain,doll_3.17 m,doll_2.76 m,doll_3.5 m,corporacion financiera alba,"1,783",259 million usd,financial services
844,,switzerland,doll_3.15 m,doll_3.62 m,doll_3.48 m,allreal holding ag,,598 million usd,real estate
845,,finland,doll_0.59 m,doll_1.68 m,doll_3.46 m,qt group oyj,,133 million usd,technology
846,,germany,doll_0.65 m,doll_1.98 m,doll_3.45 m,tradegate ag wertpapierhandelsbank,,252 million usd,financial services
847,,austria,doll_1.25 m,doll_1.8 m,doll_3.44 m,pierer mobility ag,"4,586",doll_2.040 m,consumer cyclical
848,,france,doll_2.15 m,doll_2.3 m,doll_3.44 m,rothschild & co sca,"3,500",doll_2.761 m,financial services
849,,uk,doll_4.06 m,doll_3.75 m,doll_3.43 m,quilter,"4,325",doll_6.218 m,financial services
850,,germany,doll_2.31 m,doll_3.84 m,doll_3.43 m,hypoport ag,"2,049",446 million usd,financial services
851,,germany,doll_2.98 m,doll_2.68 m,doll_3.41 m,freenet ag,"4,004",doll_2.555 m,communication services
852,,uk,doll_3.22 m,doll_2.96 m,doll_3.41 m,britvic,"4,460",doll_1.864 m,consumer defensive
853,,switzerland,doll_3.96 m,doll_3.42 m,doll_3.4 m,oc oerlikon corporation ag,,doll_2.834 m,industries
854,,sweden,doll_1.53 m,doll_5.59 m,doll_3.4 m,q-linea ab (publ),200,1 million usd,healthcare
855,,belgium,doll_13.76 m,doll_6.47 m,doll_3.4 m,galapagos nv,"1,319",593 million usd,healthcare
856,,switzerland,doll_1.92 m,doll_2.21 m,doll_3.37 m,inficon holding ag,,515 million usd,technology
857,,finland,doll_2.29 m,doll_2.66 m,doll_3.37 m,cargotec corporation,"11,552",doll_3.656 m,industries
858,,germany,doll_2.43 m,doll_2.54 m,doll_3.36 m,krones ag,,doll_3.633 m,industries
859,,uk,doll_2.5 m,doll_2.59 m,doll_3.35 m,onesavings bank,"1,828",,financial services
860,,france,doll_3.67 m,doll_3.58 m,doll_3.35 m,gaztransport & technigaz sa,553,347 million usd,energy
861,,uk,doll_3.49 m,doll_3.28 m,doll_3.34 m,hays,"11,377",doll_7.760 m,industries
862,,france,doll_3.93 m,doll_4.0 m,doll_3.31 m,korian,,doll_4.754 m,healthcare
863,,netherlands,doll_2.11 m,doll_2.2 m,doll_3.31 m,basic-fit,"5,110",375 million usd,consumer cyclical
864,,sweden,0,0,doll_3.3 m,cint group ab (publ),299,138 million usd,technology
865,,germany,doll_1.66 m,doll_1.82 m,doll_3.3 m,kuka,"13,676",doll_3.285 m,industries
866,,sweden,doll_2.98 m,doll_3.45 m,doll_3.3 m,wihlborgs fastigheter ab (publ),236,324 million usd,real estate
867,,uk,doll_3.44 m,doll_2.75 m,doll_3.28 m,redrow,"2,368",doll_2.284 m,real estate
868,,finland,doll_2.48 m,doll_2.77 m,doll_3.27 m,konecranes,,doll_3.513 m,industries
869,,switzerland,doll_3.79 m,doll_3.54 m,doll_3.26 m,sulzer ltd,"15,054",doll_3.376 m,industries
870,,germany,doll_2.4 m,doll_2.81 m,doll_3.26 m,durr,,,industries
871,,sweden,doll_1.69 m,doll_2.63 m,doll_3.25 m,bure equity ab (publ),350,,financial services
872,,france,doll_6.2 m,doll_4.95 m,doll_3.25 m,rubis,,doll_4.588 m,utilities
873,,france,doll_2.3 m,doll_2.61 m,doll_3.25 m,fromageries bel sa,,doll_4.078 m,consumer defensive
874,,switzerland,doll_2.72 m,doll_2.72 m,doll_3.24 m,forbo holding ag,"5,317",doll_1.342 m,industries
875,,uk,0,doll_2.89 m,doll_3.24 m,ninety one,,795 million usd,asset management
876,,uk,doll_1.56 m,doll_2.04 m,doll_3.24 m,drax group,"3,015",doll_6.865 m,utilities
877,,switzerland,0,0,doll_3.23 m,softwareone holding ag,,doll_1.031 m,technology
878,,uk,doll_3.77 m,doll_2.99 m,doll_3.23 m,shaftesbury,,149 million usd,real estate
879,,germany,doll_3.73 m,doll_2.9 m,doll_3.19 m,sudzucker ag,"20,129",doll_7.596 m,consumer defensive
880,,romania,doll_3.34 m,doll_2.69 m,doll_3.17 m,sngn romgaz sa,,doll_1.306 m,energy
881,,sweden,doll_4.1 m,doll_3.17 m,doll_3.16 m,intrum ab (publ),,doll_1.886 m,financial services
882,,uk,0,doll_2.12 m,doll_3.16 m,harbourvest global private equity limited,,doll_1.056 m,asset management
883,,isle of man,doll_1.68 m,doll_1.81 m,doll_3.14 m,playtech,,doll_1.205 m,consumer cyclical
884,,austria,doll_2.73 m,doll_2.4 m,doll_3.14 m,immofinanz ag,325,375 million usd,real estate
885,,uk,doll_2.17 m,doll_2.85 m,doll_3.13 m,rws holdings,,921 million usd,industries
886,,greece,doll_3.15 m,doll_2.49 m,doll_3.13 m,national bank of greece,"9,107",doll_2.027 m,financial services
887,,uk,doll_2.47 m,doll_2.61 m,doll_3.12 m,grainger,"23,100",doll_13.022 m,real estate
888,,sweden,0,0,doll_3.11 m,vimian group ab (publ),,173 million usd,consumer cyclical
889,,france,doll_4.91 m,doll_2.66 m,doll_3.1 m,air france-klm sa,"82,132",doll_15.789 m,industries
890,,uk,doll_2.66 m,doll_3.36 m,doll_3.09 m,countryside properties,,doll_1.819 m,consumer cyclical
891,,sweden,doll_2.15 m,doll_2.45 m,doll_3.09 m,jm ab (publ),,doll_1.659 m,consumer cyclical
892,,uk,doll_1.88 m,doll_2.85 m,doll_3.09 m,pets at home group,,doll_1.551 m,consumer cyclical
893,,uk,doll_9.68 m,doll_4.27 m,doll_3.09 m,technipfmc,"37,966",doll_6.403 m,energy
894,,sweden,doll_0.55 m,doll_1.65 m,doll_3.08 m,mips ab (publ),,64 million usd,consumer cyclical
895,,uk,doll_0.49 m,doll_3.67 m,doll_3.08 m,itm power,190,5 million usd,technology
896,,sweden,doll_1.46 m,doll_2.21 m,doll_3.08 m,arjo ab (publ),,961 million usd,healthcare
897,,uk,doll_1.99 m,doll_2.01 m,doll_3.07 m,ultra electronics holdings,"4,500",doll_1.001 m,industries
898,,uk,0,0,doll_3.07 m,the schiehallion fund limited,,37 million usd,financial services
899,,italy,doll_2.67 m,doll_2.56 m,doll_3.06 m,bper banca,"13,550",,financial services
900,,russia,doll_2.32 m,doll_3.62 m,doll_3.06 m,sistema public joint stock financial corporation,,doll_13.186 m,conglomerate
901,,sweden,doll_1.54 m,doll_1.83 m,doll_3.06 m,nyfosa ab (publ),67,261 million usd,real estate
902,,russia,doll_2.55 m,doll_2.5 m,doll_3.06 m,credit bank of moscow (public joint-stock company),"9,000",,financial services
903,,uk,0,doll_3.16 m,doll_3.05 m,worldwide healthcare trust,333,-155 million usd,investments
904,,russia,doll_4.4 m,doll_4.75 m,doll_3.05 m,rosseti,,doll_16.458 m,utilities
905,,greece,doll_3.35 m,doll_1.81 m,doll_3.04 m,alpha bank,"10,528",-257 million usd,financial services
906,,switzerland,doll_0.74 m,doll_1.43 m,doll_3.04 m,swissquote group holding ltd,,568 million usd,financial services
907,,sweden,doll_1.68 m,doll_2.69 m,doll_3.03 m,nolato ab (publ),,doll_1.231 m,industries
908,,luxembourg,doll_1.46 m,doll_2.13 m,doll_3.03 m,befesa,"1,137",821 million usd,industries
909,,switzerland,doll_1.67 m,doll_2.2 m,doll_3.02 m,lem holding sa,,321 million usd,technology
910,,france,doll_1.96 m,doll_2.27 m,doll_3.01 m,argan sa,,173 million usd,real estate
911,,denmark,doll_2.85 m,doll_2.58 m,doll_3.01 m,dfds a/s,"8,213",doll_2.645 m,industries
912,,finland,0,0,doll_3.0 m,outokumpu oyj,"9,915",doll_8.503 m,basic materials
913,,sweden,doll_2.64 m,doll_3.4 m,doll_3.0 m,af poyry ab (publ),"17,000",doll_2.131 m,industries
914,,netherlands,doll_4.56 m,doll_2.64 m,doll_2.99 m,veon,"46,492",doll_7.786 m,communication services
915,,austria,doll_2.61 m,doll_2.36 m,doll_2.99 m,osterreichische post ag,,doll_2.778 m,industries
916,,uk,doll_1.43 m,0,doll_2.98 m,valaris,"4,500",doll_1.451 m,energy
917,,russia,doll_5.16 m,doll_3.67 m,doll_2.98 m,public joint stock oil company bashneft,,doll_13.435 m,energy
918,,uk,doll_3.62 m,doll_6.53 m,doll_2.98 m,asos,"3,824",doll_5.189 m,consumer cyclical
919,,france,doll_3.86 m,doll_2.88 m,doll_2.98 m,covivio hotels societe anonyme,,doll_1.107 m,real estate
920,,spain,doll_2.81 m,doll_2.76 m,doll_2.98 m,gestamp automocion,,doll_8.925 m,consumer cyclical
921,,italy,doll_0.86 m,doll_1.94 m,doll_2.97 m,sesa,,doll_2.361 m,technology
922,,uk,0,doll_2.18 m,doll_2.96 m,caledonia investments,,728 million usd,investments
923,,switzerland,0,0,doll_2.96 m,bystronic ag,,,industries
924,,uk,doll_3.19 m,doll_2.85 m,doll_2.95 m,close brothers group,"3,000",doll_1.204 m,financial services
925,,spain,doll_2.46 m,doll_3.28 m,doll_2.95 m,viscofan,"4,609",doll_1.069 m,consumer cyclical
926,,spain,doll_3.35 m,doll_3.55 m,doll_2.94 m,ebro foods,,doll_2.677 m,consumer defensive
927,,sweden,doll_6.65 m,doll_3.33 m,doll_2.94 m,hufvudstaden ab (publ),,280 million usd,real estate
928,,france,doll_5.05 m,doll_3.31 m,doll_2.93 m,casino guichard-perrachon societe anonyme,,doll_34.251 m,consumer defensive
929,,romania,0,0,doll_2.92 m,fondul proprietatea sa,,doll_1.143 m,financial services
930,,switzerland,doll_1.49 m,doll_1.96 m,doll_2.92 m,medacta group sa,,400 million usd,healthcare
931,,sweden,doll_4.41 m,doll_3.23 m,doll_2.91 m,pandox ab (publ),,347 million usd,consumer cyclical
932,,spain,doll_2.83 m,doll_3.27 m,doll_2.9 m,vidrala,"3,500",doll_1.196 m,consumer cyclical
933,,sweden,doll_0.83 m,doll_1.39 m,doll_2.9 m,troax group ab (publ),,278 million usd,industries
934,,france,doll_0.79 m,doll_0.14 m,doll_2.89 m,europcar mobility group,"8,999",0 million usd,industries
935,,austria,doll_3.14 m,doll_2.39 m,doll_2.89 m,uniqa insurance group ag,,,financial services
936,,france,doll_2.15 m,doll_2.41 m,doll_2.88 m,ramsay generale de sante sa,,doll_4.021 m,healthcare
937,,italy,doll_1.59 m,doll_2.33 m,doll_2.88 m,carel industries,,333 million usd,technology
938,,switzerland,doll_2.78 m,doll_2.78 m,doll_2.88 m,st. galler kantonalbank ag,,514 million usd,financial services
939,,uk,0,doll_2.68 m,doll_2.87 m,mercantile investment trust (the),,314 million usd,asset management
940,,netherlands,doll_3.84 m,doll_3.73 m,doll_2.87 m,sbm offshore,"4,507",doll_3.672 m,energy
941,,denmark,doll_1.4 m,doll_1.86 m,doll_2.87 m,alm. brand a/s,"1,725",781 million usd,financial services
942,,spain,doll_1.8 m,doll_1.38 m,doll_2.87 m,unicaja banco,,,financial services
943,,uk,doll_2.86 m,doll_2.78 m,doll_2.87 m,victrex,900,413 million usd,basic materials
944,,ireland,doll_1.29 m,doll_2.91 m,doll_2.87 m,keywords studios,,512 million usd,communication services
945,,uk,doll_1.23 m,doll_2.04 m,doll_2.86 m,kainos group,,356 million usd,technology
