01-DDD-investors,04-iGMM-selectinvestors
"y combinator, accel, t. rowe price","day one ventures, coinbase ventures, andreessen horowitz"
"oak hc/ft partners, artis ventures, westcap group","javelin venture partners, ttv capital, peterson ventures"
"kaszek ventures, amadeus capital partners, quona capital","advance venture partners, susquehanna growth equity, lupa systems"
"greylock partners, venrock, providence ventures","foundation capital, 	summit partners, adams street partners"
"venture highway, sequoia capital india, prosus ventures","hyde park venture partners,	fundersclub. bain capital ventures"
sequoia capital,"general catalyst, future ventures, au21"
"lightspeed venture partners, lead edge capital, coatue management","madrona venture group, tiger global management, madera technology partners"
"matrix partners india, falcon edge capital, softbank group","foundry group, scale venture partners, softbank group"
"india quotient, elevation capital, lightspeed venture partners","netease capital, northern light venture capital, microsoft"
"softbank group, tiger global management, matrix partners india","qiming venture partners, vivo capital, sequoia capital china"
"falcon edge capital, omidyar network, sequoia capital india",bain capital
"clermont group, coltrane asset management, toscafund asset management","y combinator, m12, seek"
"alven capital, valar ventures, tencent holdings","kleiner perkins caufield & byers, nightdragon security, venrock"
"sequoia capital india, temasek, paypal ventures","accel, sands capital, international finance corporation"
"accel, technology crossover ventures, leapfrog investments","vertex ventures se asia, global founders capital, visa ventures"
"two sigma ventures, flint capital, commerce ventures","wing venture capital, slow ventures, uncork capital"
"capital one growth ventures, citi ventures, omers ventures","firstmark capital, georgian partners, norwest venture partners"
"walden international, google ventures, intel capital","accomplice, oak investment partners, georgian partners"
"eight roads ventures, greycroft, ignition partners","greylock partners, google ventures, blackrock"
"google ventures, benchmark, firstmark capital","greylock partners, google ventures, blackrock"
"general atlantic, 3i group, huagai capital","female founders fund, oak hc/ft partners, sequoia capital"
"dst global, sequoia capital china, tencent holdings","qualcomm ventures, woori investment, hanwha investment & securities"
"kaszek ventures, general atlantic, softbank group","andreessen horowitz, homebrew, point72 ventures"
"dst global, andreessen horowitz, sequoia capital, redpoint e.ventures","sequoia capital, dcm ventures, insight partners"
"hillhouse capital management, linear venture, morningside venture capital","goldman sachs asset management, sdp investment, alibaba group"
"ant financial services group, ggv capital","andreessen horowitz, dst global, idg capital"
"index ventures, battery ventures, iconiq capital","ardian, bain capital"
"mubadala capital, bond, prosus ventures","hillhouse capital management, sequoia capital china, linear venture"
"runa capital, acton capital partners, point nine capital","ggv capital, blackrock, ace & company"
"vy capital, 8vc, craft ventures","nfx, plum alley, mayfield"
"highland europe, eurazeo, canaan partners","accomplice, juxtapose, firstmark capital"
"founders fund. accel, creandum","accel, y combinator, amasia"
insight partners,"anthemis, connect ventures, northzone ventures"
"blackstone, technology crossover ventures, summit partners","advent international, psg, providence equity partners"
"matrix partners, andreessen horowitz, general catalyst","rembrandt venture partners, m12, altos ventures"
"nexus venture partners, crv, insight partners","yunqi partners, softbank group, ivision ventures"
"aglae ventures, eurazeo, daphni","tencent holdings, hillhouse capital management"
"nextview ventures, eniac ventures, sequoia capital","b capital group, monk's hill ventures, dynamic parcel distribution"
"tencent, baidu, huasheng capital","accel, tiger global management, omidyar network"
"venrock, battery ventures, insight partners","sequoia capital, thrive capital, sound ventures"
"pine brook, american express ventures, kleiner perkins caufield & byers","softbank ventures asia, alpha jwc ventures, insignia ventures partners"
"thrive capital, benchmark, menloventures","3one4 capital partners, bertelsmann india investments, vertex ventures se asia"
"warmsun holding, idg capital partners","left lane capital, galaxy interactive, tru arrow partners"
"battery ventures, storm ventures, redpoint ventures","greylock partners, lux capital, general atlantic"
"alibaba group, boyu capital, borui capital","true ventures, altimeter capital, redpoint ventures"
"technology crossover ventures, a&e television networks","speedinvest, valar ventures, uniqa ventures"
"blackrock, blackstone, ubs","index ventures, idinvest partners, daphni"
"insight partners, sequoia capital, index ventures","sequoia capital india, the times group, gmo venturepartners"
barter ventures,"coatue management, insight partners, trinity ventures"
"union square ventures, ribbit capital, vy capital","iag capital partners, augmentum fintech, northzone ventures"
"thrive capital, maverick ventures, redpoint ventures","vitruvian partners, merieux equity partners, straumann"
"atomico, insight partners, coatue management","valor capital group, lightrock, softbank group"
"ta associates, softbank group, gs growth","innovation endeavors, aleph, temasek"
"bpi france, kerala ventures, accel","lerer hippeau, munich re ventures, eclipse ventures"
"tiger global management, dst global, sequoia capital india","ggv capital, gsr ventures, freesfund"
"idg capital, bank of china group investment,, sdic cmc investment management","sequoia capital china, linear venture, hearst ventures"
"slack fund, accel, skip capital",ftv capital
"accel partners, softbank group, sequoia capital","cowboy ventures, leaders fund, ggv capital"
"sequoia capital china, warburg pincus, general catalyst","global founders capital, 468 capital, redalpine venture partners"
credit suisse,"korea investment private equity, atinum investment, korea investment partners"
"institutional venture partners, sequoia capital, general atlantic","acero capital, general catalyst, m12"
"new enterprise associates, accomplice, ia ventures","equal ventures, uncork capital, andreessen horowitz"
"third point, electric capital, coinbase ventures","bluerun ventures, grand flight investment, meituan dianping"
technology crossover ventures,"accel, falcon edge capital, norwest venture partners"
"tencent, morningside group","khosla ventures,general catalyst, victory park capital"
"initialized capital, general catalyst, signalfire","goldman sachs asset management, 3l"
"general atlantic, goldman sachs, new enterprise associates","index ventures, benchmark, thrive capital"
"bessemer venture partners, qualcomm ventures, kleiner perkins caufield & byers","google ventures, cathay innovation, njf capital"
"volkswagen group, ford autonomous vehicles","paladin capital group, greycroft, scale venture partners"
"morgan creek digital, marcy venture partners, 10t fund","general atlantic, elevation capital, beenext"
"norwest venture partners, next world capital, wing venture capital","khosla ventures, general catalyst, navitas capital"
"accel, y combinator, index ventures","dst global, general catalyst, monashees+"
"menlo ventures, spark capital, union square ventures","rre ventures+, highland capital partners, the carlyle group"
"accel, northzone ventures, institutional venture partners","andreessen horowitz, intel capital, foundation capital"
"union square ventures, venrock, andreessen horowitz","advent international, bain capital ventures, silversmith capital partners"
"bloomberg beta, founders fund, first round capital","kkr, ftv capital, ten eleven ventures"
"boldstart ventures, google ventures, accel","prysm capital, baillie gifford & co., tdm growth partners"
"sixth street partners, orbimed advisors, highland capital management","danone manifesto ventures, 1955 capital, breakthrough energy ventures"
"sequoia capital india, tiger global management, matrix partners india","newalpha, xange private equity, tencent holdings"
"insight venture partners, lowercase capital, polaris partners","cherry ventures, felix capital, 83north"
"tiger global management, american express ventures, b capital group","andreessen horowitz, triangle peak partners, ignition partners"
"tenaya capital, coatue management, stripes group","thrive capital, general catalyst, coatue management"
"tencent holdings, hillhouse capital management, yunfeng capital","insight partners, lightspeed venture partners, cyberstarts"
"dfj growth fund, coatue management, addition","alpargatas, gs growth, lightspeed venture partners"
"accel india, saif partners, norwest venture partners","vostok new ventures, the raine group, balderton capital"
"kaalari capital, tencent holdings, steadview capital","qualcomm ventures, nine intelligence capital, hillhouse capital management"
"d1 capital partners, stripe, coatue management","horizons ventures, sequoia capital india, alpha jwc ventures"
"aviation industry corporation of china, essence financial, jiangsu sha steel group","atomico, hanaco venture capital, triplepoint capital"
"activant capital, tribe capital, general atlantic","temasek, guggenheim investments, qatar investment authority"
"kkr, tencent holdings, sequoia capital china","tpg capital, apax partners, ta associates"
"tiger global management, sequoia capital, revo capital","vista equity partners, warburg pincus, first ascent ventures"
"new enterprise associates, bdt capital partners, davidson kempner capital management","fifth wall ventures, jbv capital, array ventures"
"initialized capital, y combinator, kleiner perkins caufield & byers","awz ventures, blackstone, insight partners"
"andreessen horowitz, spark capital, y combinator","lightspeed india partners, sequoia capital india, endiya partners"
"vickers venture partners, ikea greentech","general catalyst, nexus venture partners, dell technologies capital"
"ltw capital, legend capital, qualcomm ventures","accel, 14w, gs growth"
"caffeinated capital, crv, founder collective","next play ventures, zeal capital partners, softbank group"
"dst global, ribbit capital, greenoaks capital management","qed investors, dst global, endeavor"
"andreessen horowitz, f-prime capital, venrock","multicoin capital, coatue management, dragonfly capital partners"
"coatue management, sequoia capital china, idg capital","atomico, ngp capital, google ventures"
"khosla ventures, forerunner ventures, sequoia capital","earlybird venture capital, eleven ventures, qed investors"
tiger global management,"kleiner perkins caufield & byers, sequoia capital"
"general catalyst, institutional venture partners, breyer capital","lemniscap vc, north island ventures, polychain capital"
"accel, 83north","battery ventures, tiger global management, hanaco ventures"
"tencent holdings, warbug pincus, idg capital","nexus venture partners, vertex ventures, strive"
"idg capital, venture51, lightspeed venture partners","new enterprise associates, benchmark, two sigma ventures"
"benchmark, greylock partners, tencent holdings","fasanara capital, tiger global management, baleen capital"
"new enterprise associates, spar capital, index ventures","u.s. venture partners, drx capital, andreessen horowitz"
"andreessen horowitz, thirty five ventures, sound ventures","8vc, liberty strategic capital, eden global partners"
"accel, softbank group, anthos capital","zeev ventures, bond, fifth wall ventures"
"lightspeed venture partners, google ventures, lakestar","craft ventures, f-prime capital, sound ventures"
"sequoia capital china, longfor capitalm, gaorong capital","polychain capital, paradigm, ribbit capital"
"accel partners, sequoia capital","andreessen horowitz, coinbase ventures, tiger global management"
"ggv capital, zhenfund, tencent","wildcat capital management, insight partners, tola capital"
"tencent holdings, lightspeed india partners, sequoia capital india","trinity ventures, madrona venture group, shasta ventures"
"accel, altair capital, technology crossover ventures","green bay ventures, m12, andreessen horowitz"
"hillhouse capital management, boyu capital, sequoia capital china","prime movers lab, khosla ventures, i squared capital"
"tiger global management, sequoia capital china, shunwei capital partners","l catterton, trellis partners, vista equity partners"
"index ventures, dst global, ribbit capital","primary venture partners, bessemer venture partners, harmonic growth partners"
"sequoia capital china, blackbird ventures, matrix partners","andreessen horowitz, ftx ventures, tiger global management"
"tiger global management, insight partners, dst global","japan industrial partners, impact investment capital, nec"
"tencent holdings, kkr, smash ventures","varengold bank, circularity capital, coparion"
"forerunner ventures, crosslink capital, homebrew","new enterprise associates, tull investment group, silver lake"
"founders fund, draper fisher jurvetson, rothenberg ventures","emergence capital, slack fund, paypal ventures"
"softbank group, andreessen horowitz, temasek holdings","iseed ventures, point nine capital, buckley ventures"
"khosla ventures, kleiner perkins caufield & byers, collaborative fund","creades, eqt ventures, verdane capital"
"andreessen horowitz, new enterprise associates, battery ventures","battery ventures, adams street partners, coatue management"
"khosla ventures, lowercasecapital, capitalg","k fund, creandum, crv"
,"hedosophia, horizons ventures, alumni ventures group"
,"valar ventures, index ventures, creandum"
,"3one4 capital partners, tiger global management, temasek"
,amf pensionsforsakring
,"sinar mas digital ventures, jic venture growth investments, golden gate ventures"
,spark capital
,"homebrew, inspired capital, tiger global management"
,"general catalyst, kleiner perkins caufield & byers, lightspeed venture partners"
,"bain capital ventures, splunk ventures, cisco investments"
,"dfj growth fund, dell technologies capital, ten eleven ventures"
,"bain capital ventures, splunk ventures, cisco investments"
,"battery ventures, bessemer venture partners, morevc"
,"gaja capital partners, stakeboat capital, westbridge capital"
,"hyde park venture partners, bain capital ventures, hyde park angels"
,"eclipse ventures, d1 capital partners, industry ventures"
,"google ventures, accel, data collective"
,"boost vc, draper associates, gaingels"
