address_name,city,country,name,location_type,postalcode,state,trade_name
via cusani 4,milano,italy,azimut capital management soc di gestione del risparmio spa,headquarter,              20121,italy,AZIMUT CAPITAL MANAGEMENT SGR
voidu tn 6,tallinn,estonia,dsvh ou,headquarter,              11214,estonia,
2011 4th ave n,birmingham,united states,regions investment management company,headquarter,              352033316,alabama(al),
london fruit & wool exchange 1 duval square,london,united kingdom,ashurst llp,headquarter,              ec2a 2ag,united kingdom,
via giacomo puccini 3,milano,italy,castello societa' di gestione del risparmio spa,headquarter,              20121,italy,CASTELLO SGR SPA
ulikooli tn 2,"tartu, tartu",estonia,smartmatic-cybernetica centre of excellence for internet voting ou,single address,              51003,estonia,
641 avenue of the americas,new york,united states,"infor, inc.",headquarter,              100112038,new york(ny),
regal house 70 london road,twickenham,united kingdom,treasury wine estates emea limited,headquarter,              tw1 3qs,united kingdom,
via del lauro 7,milano,italy,green arrow capital sgr spa,headquarter,              20121,italy,
laki poik 2,tallinn,estonia,3p logistics ou,single address,              12919,estonia,
30 3rd st,san francisco,united states,unity technologies sf,headquarter,              941033104,california(ca),
shell centre york road,london,united kingdom,shell international trading and shipping company limited,headquarter,              se1 7na,united kingdom,SHELL
via cesare cantu' 1,milano,italy,synergo capital societa' di gestione del risparmio spa in forma abbreviato synergo capital sgr spa,headquarter,              20123,italy,
hobujaama tn 4,tallinn,estonia,ng investeeringud ou,headquarter,              10151,estonia,
10335 guilford rd,jessup,united states,"thorlabs quantum electronics, inc.",single address,              207949608,maryland(md),
shell centre,london,united kingdom,shell plc,headquarter,              se1 7na,united kingdom,
centro direzionale milanofiori snc,"assago (strada 2, palazzo c )",italy,softwareone italia srl,headquarter,              20057,italy,
kopli tn 103,tallinn,estonia,blrt grupp as,headquarter,              11712,estonia,
1185 ave of the americas fl 9,new york,united states,"hartree partners, lp",headquarter,              100362604,new york(ny),
shell centre york road,london,united kingdom,shell company of turkey limited(the),headquarter,              se1 7na,united kingdom,Shell Oil
viale edoardo jenner 73,milano,italy,cegid italia srl,single address,              20159,italy,
parda tn 6,tallinn,estonia,ekspress grupp as,headquarter,              10151,estonia,
1185 ave of the americas,new york,united states,"hartree metallia, llc",headquarter,              100362601,new york(ny),
allington way,darlington,united kingdom,magnet limited,headquarter,              dl1 4xt,united kingdom,
via vigevano 61,trecate (s.martino ),italy,aprochim srl,headquarter,              28069,italy,
vaike-turu tn 5-81,"tartu, tartu",estonia,24 holding ou,headquarter,              51004,estonia,
605 seward ave nw ste 101,grand rapids,united states,"stratum technology management, llc",single address,              495045693,michigan(mi),
"st andrews house 11 dalton court, commercial road",darwen,united kingdom,mc fashion ltd,single address,              bb3 0dg,united kingdom,
via tortona 25,milano,italy,leoch italia srl,headquarter,              20144,italy,
jarvevana tee 7b,tallinn,estonia,hepsor as,headquarter,              10112,estonia,
1818 h st nw,washington,united states,"world bank group, the",headquarter,              204330002,district of columbia(dc),
10 hareward avenue,london,united kingdom,bnp paribas uk limited,single address,              nw1 6aa,united kingdom,
via ludovico di breme 33,milano,italy,vorwerk italia sas di vorwerk management srl,headquarter,              20156,italy,
sadama tn 25/2,tallinn,estonia,ts laevad ou,single address,              10111,estonia,VALDO  KALM
255 s king st ste 1800,seattle,united states,"avalara, inc.",headquarter,              981043320,washington(wa),
71 alma road,windsor,united kingdom,intercontinental hotels group services company,headquarter,              sl4 3hd,united kingdom,Holiday Inn
via crescenzio 16,roma,italy,energia pulita srl,headquarter,              00193,italy,
lootsa tn 8,tallinn,estonia,nord connect ou,headquarter,              11415,estonia,
11095 viking dr ste 100,eden prairie,united states,"fortra, llc",headquarter,              553447236,minnesota(mn),
the shard 32 london bridge street,london,united kingdom,h.j. heinz foods uk limited,single address,              se1 9sg,united kingdom,
via piave 1,altavilla vicentina,italy,mosaico spa,headquarter,              36077,italy,
liivalao tn 14,tallinn,estonia,me group baltic ou,single address,              11216,estonia,
423 n campbell ave,springfield,united states,"positronic industries, inc.",headquarter,              658061007,missouri(mo),
south building hayes park,hayes,united kingdom,h.j. heinz company limited,headquarter,              ub4 8al,united kingdom,
via quintino sella 3,milano,italy,yes ticket srl,headquarter,              20121,italy,
laki poik 6,tallinn,estonia,raglor ou,headquarter,              12918,estonia,
1 fanatical pl,windcrest,united states,"rackspace us, inc.",headquarter,              782182179,texas(tx),
industrial road hertburn industrial estate hertburn,washington,united kingdom,the encore group (envelopes and packaging) limited,headquarter,              ne37 2sa,united kingdom,
via gemona 63,san daniele del friuli,italy,repertoire culinaire italy srl,headquarter,              33038,italy,
kanepi tn 3-8,tallinn,estonia,segment invest ou,single address,              10314,estonia,
1 fanatical pl city of windcrest,san antonio,united states,"rackspace technology global, inc.",headquarter,              782182179,texas(tx),
1 st james's square,london,united kingdom,bp international limited,headquarter,              sw1y 4pd,united kingdom,BP
via lanfranco gessi 16,lugo,italy,diemme filtration srl,headquarter,              48022,italy,
maakri tn 19/1,tallinn,estonia,arco vara as,headquarter,              10145,estonia,
1751 hotel plaza blvd,lake buena vista,united states,hlt property acquisition llc,headquarter,              328308430,florida(fl),HILTON
sunbury business park chertsey road,sunbury-upon-thames,united kingdom,bp oil international limited,headquarter,              tw16 7ln,united kingdom,
via camillo olivetti 2,agrate brianza,italy,stmicroelectronics srl,headquarter,              20864,italy,
kai tn 1,tallinn,estonia,yerblues ou,single address,              10111,estonia,
3025 windward plz ste 600,alpharetta,united states,ingenico inc.,headquarter,              300058734,georgia(ga),"INGENICO, A WORLDLINE BRAND"
salt end lane saltend,hull,united kingdom,bp chemicals limited,headquarter,              hu12 8ds,united kingdom,
corso francia 110,torino,italy,reply services srl,headquarter,              10143,italy,
ravala pst 8,tallinn,estonia,ghuni jatigram ou,single address,              10143,estonia,
600 yosemite blvd,modesto,united states,e. & j. gallo winery,headquarter,              953542760,california(ca),J VINEYARDS & WINERY
16 charles the 2nd street,london,united kingdom,gulf oil international uk limited,headquarter,              sw1y 4qu,united kingdom,
via cardinale guglielmo massaia 83,torino,italy,reply spa,headquarter,              10147,italy,
ulikooli tn 2,"tartu, tartu",estonia,perforce software as,headquarter,              51003,estonia,
11680 chimney rock rd,paso robles,united states,justin vineyards & winery llc,headquarter,              934469792,california(ca),
6 dukes gate acton lane,london,united kingdom,fcb health london limited,single address,              w4 5dx,united kingdom,
via cardinale guglielmo massaia 83,torino,italy,technology reply srl,headquarter,              10147,italy,
"karsa, suure-rootsi kula",saaremaa vald,estonia,heimon kala ou,single address,              94129,estonia,
5438 wade park blvd ste 600,raleigh,united states,vontier corporation,headquarter,              276073651,north carolina(nc),
"6th floor kings place, 90 york way",london,united kingdom,eurostar group limited,headquarter,              n1 9ag,united kingdom,
via lombardia 16,monastier di treviso,italy,arper spa,headquarter,              31050,italy,
102c parnu mnt,tallinn,estonia,kuehne + nagel as,single address,              11312,estonia,
kings place 90 york way,london,united kingdom,eurostar international limited,headquarter,              n1 9ag,united kingdom,EUROSTAR
via noto 6,milano,italy,srl rothos,single address,              20141,italy,
paasukese tn 2,tallinn,estonia,estateguru capital ou,headquarter,              10145,estonia,
7930 jones branch dr,mc lean,united states,hilton domestic operating company inc.,single address,              221023388,virginia(va),
3 st. james's square,london,united kingdom,aas mid-cap uk branch,single address,              sw1y 4ju,united kingdom,
passaggio centrale 3,milano,italy,rothschild & c. italia spa,single address,              20123,italy,
lootsa tn 2b,tallinn,estonia,qarson holding ou,headquarter,              11415,estonia,
1111 stewart ave,bethpage,united states,"bresnan broadband holdings, llc",headquarter,              117143533,new york(ny),
36 the arches new covent garden market,london,united kingdom,premier foods wholesale limited,headquarter,              sw8 5pp,united kingdom,
corso venezia 36,milano,italy,edmond de rothschild (italia) societa' di gestione del risparmio per azioni,single address,              20121,italy,
malmi tn 8,"johvi, johvi vald",estonia,enefit solutions as,headquarter,              41537,estonia,
321 s taylor ave ste 200,louisville,united states,"medivance, inc.",single address,              800273600,colorado(co),
edbro house nelson street,bolton,united kingdom,jost (great britain) limited,single address,              bl3 2jj,united kingdom,
vicolo santa maria alla porta 1,milano,italy,sequent (italy) srl,headquarter,              20123,italy,
raekoja plats 16,"tartu, tartu",estonia,dealum ou,single address,              51004,estonia,
po box 5043,chicago,united states,"vfs financing, inc.",single address,              60680,illinois(il),
first floor templeback 10 temple back,bristol,united kingdom,vistra trust company limited,headquarter,              bs1 6fl,united kingdom,
passaggio centrale 3,milano,italy,rothschild & c. wealth management italy societa' di intermediazio ne mobiliare s.,single address,              20123,italy,
sopruse pst 145,tallinn,estonia,elisa eesti as,single address,              13425,estonia,
1100 13th st nw ste 750,washington,united states,"kiplinger washington editors, inc., the",headquarter,              200054364,district of columbia(dc),
"suite 1, 3rd floor 11-12 st. james's square",london,united kingdom,vistra limited,headquarter,              sw1y 4lb,united kingdom,
via valsugana 100,cassola,italy,videndum media solutions spa,headquarter,              36022,italy,
jalgpalli tn 1,tallinn,estonia,markit eesti as,headquarter,              11312,estonia,
50 w broad st ste 1330,columbus,united states,"dsw shoe warehouse, inc.",headquarter,              432153307,ohio(oh),
western drive,bristol,united kingdom,radiodetection limited,headquarter,              bs14 0af,united kingdom,
via della repubblica 7,campogalliano,italy,ama composites srl,headquarter,              41011,italy,
peterburi tee 81,tallinn,estonia,all media eesti as,headquarter,              13816,estonia,
4600 edmundson rd,saint louis,united states,ascension health,headquarter,              631343806,missouri(mo),
16 tinworth street,london,united kingdom,cls capital partners limited,headquarter,              se11 5al,united kingdom,
via carlo nicola pasini 11,lonato del garda,italy,feralpi siderurgica spa,headquarter,              25017,italy,
soola tn 8,"tartu, tartu",estonia,tarco vein as,single address,              51004,estonia,
101 s hanley rd ste 450,saint louis,united states,ascension health alliance,headquarter,              631053463,missouri(mo),
16 tinworth street,london,united kingdom,cls holdings plc,headquarter,              se11 5al,united kingdom,
via gian giacomo felissent 20/d,villorba,italy,dba pro. spa,headquarter,              31020,italy,
tartu mnt 80d,tallinn,estonia,apollo group ou,headquarter,              10112,estonia,
10895 lowell ave ste 300,overland park,united states,"lockton affinity, llc",headquarter,              662101679,kansas(ks),
38 hans crescent,london,united kingdom,ineos automotive limited,headquarter,              sw1x 0lz,united kingdom,
via marcoai 1,asolo (casella ),italy,fashion box spa,headquarter,              31011,italy,
roosikrantsi tn 2-krm1,tallinn,estonia,krm holding plus ou,headquarter,              10119,estonia,
20 crosby dr,bedford,united states,aspen technology services corporation,headquarter,              017301402,massachusetts(ma),
the square stockley park,uxbridge,united kingdom,"j. & p. coats, limited",headquarter,              ub11 1td,united kingdom,
piazzale luigi cadorna 6,milano,italy,resrei srl,single address,              20123,italy,
moisa tn 4-2,tallinn,estonia,ixellion as,headquarter,              13522,estonia,
20 crosby dr,bedford,united states,"aspen technology, inc.",headquarter,              017301402,massachusetts(ma),
the pavilions bridgwater road,bristol,united kingdom,coats limited,headquarter,              bs13 8fd,united kingdom,
corso andrea podesta' 1,genova,italy,cambiaso risso marine spa,headquarter,              16128,italy,
naituse tn 25,"tartu, tartu",estonia,palmako as,headquarter,              50409,estonia,
627 davis dr ste 400,morrisville,united states,"nighthawk biosciences, inc.",headquarter,              275606847,north carolina(nc),
fourth floor abbots house abbey street,reading,united kingdom,ca limited,headquarter,              rg1 3bd,united kingdom,
corso andrea podesta' 1,genova,italy,cambiaso risso shipping agency srl,headquarter,              16128,italy,
parnu mnt 18,tallinn,estonia,omd estonia ou,single address,              10141,estonia,
155 flanders rd,westborough,united states,"lg energy solution vertech, inc.",headquarter,              015811032,massachusetts(ma),
44 esplanade st helier,jersey,united kingdom,petrofac limited,headquarter,              je4 9wg,united kingdom,
via tiburtina 965,roma,italy,telespazio spa,headquarter,              00156,italy,
estonia pst 1,tallinn,estonia,drinkify ou,single address,              10143,estonia,
5801 skylab rd,huntington beach,united states,cambro manufacturing company,headquarter,              926472051,california(ca),CAMBRO
44 esplanade st helier,jersey,united kingdom,petrofac international ltd,headquarter,              je4 9wg,united kingdom,PETROFAC
piazza santa barbara 7,san donato milanese,italy,asset company 2 srl,headquarter,              20097,italy,
hobujaama tn 4,tallinn,estonia,kokkuhoideur ou,headquarter, ,estonia,
20400 stevens creek blvd ste 700,cupertino,united states,"aemetis, inc.",headquarter,              950142296,california(ca),
60 holborn viaduct,london,united kingdom,"amazon eu sarl, uk branch",headquarter,              ec1a 2fd,united kingdom,
via giovanni battista pirelli 19,milano,italy,collistar spa,headquarter,              20124,italy,
lootsa tn 2b,tallinn,estonia,edp auto ou,headquarter,              11415,estonia,
1 invacare way,elyria,united states,invacare corporation,headquarter,              440354190,ohio(oh),
owlerton green,sheffield,united kingdom,swann-morton (services) ltd.,single address,              s6 2bj,united kingdom,
via monti 13,monterubbiano,italy,faam research center srl,headquarter,              63825,italy,
viru valjak 2,tallinn,estonia,east capital real estate as,headquarter,              10111,estonia,
701 crestdale rd,matthews,united states,"harris teeter supermarkets, inc.",headquarter,              281051744,north carolina(nc),
owlerton green,sheffield,united kingdom,swann-morton (europe) limited,headquarter,              s6 2bj,united kingdom,
viale certosa 239,milano,italy,acciaierie d'italia spa,headquarter,              20151,italy,
12 ahtri street,tallinn,estonia,emor as,headquarter,              10151,estonia,
1 n jacaranda st,orlando,united states,"grand cypress florida, lp",headquarter,              328366618,florida(fl),GRAND CYPRESS RESORT
40 brighton road,sutton,united kingdom,subsea 7 limited,headquarter,              sm2 5bn,united kingdom,
strada comunale savonesa 12/16,tortona (rivalta scrivia ),italy,interporto rivalta scrivia spa,single address,              15057,italy,
laike tee 12,"peetri alevik, rae vald",estonia,vbh estonia ou,single address,              75301,estonia,
one central park w,new york,united states,trump international management corp.,single address,              100237703,new york(ny),TRUMP INTERNATIONAL HOTEL & TOWER
40 brighton road,sutton,united kingdom,subsea 7 international contracting limited,headquarter,              sm2 5bn,united kingdom,
viale del commercio 32,carpi,italy,twinset spa,headquarter,              41012,italy,TWIN- SET
jarvekula tee 14,kohtla-jarve,estonia,vkg oil as,headquarter,              30328,estonia,
770 lindaro st,san rafael,united states,biomarin pharmaceutical inc.,headquarter,              949013991,california(ca),BIOMARIN
40 brighton road,sutton,united kingdom,subsea 7 international holdings (uk) limited,headquarter,              sm2 5bn,united kingdom,
via arcene 2/a,pontirolo nuovo,italy,metallum metal trading srl,single address,              24040,italy,
kordoni tn 1,"aseri alevik, viru-nigula vald",estonia,wienerberger as,single address,              43401,estonia,
13274 fiji way ste 600,marina del rey,united states,telesign corporation,headquarter,              902927293,california(ca),
40 brighton road,sutton,united kingdom,subsea 7 offshore resources (uk) limited,headquarter,              sm2 5bn,united kingdom,Subsea 7
via gaetano negri 1,milano,italy,telecom italia spa,headquarter,              20123,italy,
vaike-ameerika tn 8-405,tallinn,estonia,healthcare investment and consulting international hici ou,headquarter,              10129,estonia,
666 3rd ave,new york,united states,gbt us llc,headquarter,              100174011,new york(ny),AMERICAN EXPRESS GLOBAL BUSINESS TRAVEL
90 whitfield street,london,united kingdom,edf energy limited,headquarter,              w1t 4ez,united kingdom,
via risorgimento 16,san miniato,italy,bureau veritas certest srl,headquarter,              56028,italy,
jaama tn 21,"kunda, viru-nigula vald",estonia,estonian cell as,single address,              44106,estonia,
6001 bollinger canyon rd,san ramon,united states,chevron oronite company llc,headquarter,              945835737,california(ca),
newington house 237 southwark bridge road,london,united kingdom,uk power networks (operations) limited,headquarter,              se1 6np,united kingdom,
viale monza 347,milano,italy,bureau veritas italia spa,headquarter,              20126,italy,
kuusiku tee 28,"loo alevik, joelahtme vald",estonia,lindstrom ou,headquarter,              74201,estonia,
400 1st ave,needham,united states,"tripadvisor, inc.",headquarter,              024942815,massachusetts(ma),
90 whitfield street,london,united kingdom,edf energy customers limited,headquarter,              w1t 4ez,united kingdom,EDF
via abetone inferiore 4,maranello (c/o ferrari spa ),italy,scuderia ferrari club scarl,single address,              41053,italy,
liimi tn 1,tallinn,estonia,nt bunkering as,headquarter,              10621,estonia,
1 dauch dr,detroit,united states,"american axle & manufacturing holdings, inc.",headquarter,              482111198,michigan(mi),AAM
3rd floor 80 victoria street cardinal place,london,united kingdom,edf trading markets limited,headquarter,              sw1e 5jl,united kingdom,
corso orbassano 367,torino,italy,leasys spa,headquarter,              10137,italy,
gonsiori tn 2,tallinn,estonia,tallinna kaubamaja kinnisvara as,headquarter,              10143,estonia,
1231 e beltline ave ne,grand rapids,united states,"priority health managed benefits, inc.",headquarter,              495254501,michigan(mi),PRIORITY HEALTH
c/o accountsco 47 islington park street,london,united kingdom,abysse uk ltd,headquarter,              n1 1qb,united kingdom,
via dei pastai 42,gragnano,italy,pastificio lucio garofalo spa,headquarter,              80054,italy,GAROFALO
suur-patarei tn 13,tallinn,estonia,reddigital ou,single address,              10415,estonia,
111 w 33rd st rank_ 5,new york,united states,"nespresso usa, inc.",headquarter,              100012904,new york(ny),
highdown house yeoman way,worthing,united kingdom,vertbaudet uk limited,single address,              bn99 3hh,united kingdom,
piazza lina bo bardi 3,milano,italy,bnp paribas lease group,headquarter,              20124,italy,
tartu mnt 14,tallinn,estonia,cortina invest ou,headquarter,              10117,estonia,
29 w 35th st,new york,united states,"sprinklr, inc.",headquarter,              100012299,new york(ny),
4th floor 8 fenchurch place,london,united kingdom,berkshire hathaway international insurance limited,headquarter,              ec3m 4aj,united kingdom,
via quinta strada 28,arzignano (zona industriale ),italy,ilsa spa,headquarter,              36071,italy,
viru valjak 2,tallinn,estonia,agritera ou,single address,              10111,estonia,
325 w huron st ste 700,chicago,united states,green thumb industries inc.,headquarter,              606543638,illinois(il),
"3 newmans row lincolns inn lincoln road, cressex business park",high wycombe,united kingdom,fortec distribution network limited,headquarter,              hp12 3re,united kingdom,
via di san nicola de cesarini 3,roma,italy,daniela y srl,headquarter,              00186,italy,
tartu mnt 80,tallinn,estonia,mm grupp ou,headquarter,              10112,estonia,
6301 fitch path,new albany,united states,"hollister ohio, llc",headquarter,              430549269,ohio(oh),
85 gracechurch street,london,united kingdom,cfc underwriting limited,headquarter,              ec3v 0aa,united kingdom,
viale europa 190,roma,italy,poste air cargo srl,headquarter,              00144,italy,
paldiski mnt 31,keila,estonia,harju elekter as,single address,              76606,estonia,
12130 millennium dr,los angeles,united states,planday inc,single address,              900942945,california(ca),
southwater business park worthing road southwater,horsham,united kingdom,sony dadc uk limited,headquarter,              rh13 9yt,united kingdom,
via archimede 243,saronno,italy,illva saronno holding spa,headquarter,              21047,italy,
akadeemia tee 15b,tallinn,estonia,skype technologies ou,single address,              12618,estonia,
3341 n 7th st trfy,kansas city,united states,cz-usa,single address,              661151107,kansas(ks),
10 great marlborough street,london,united kingdom,sony interactive entertainment europe limited,headquarter,              w1f 7lp,united kingdom,
via archimede 243,saronno,italy,illva saronno spa,headquarter,              21047,italy,
peterburi tee 44/2,tallinn,estonia,thermory as,headquarter,              11415,estonia,KAIDO  VESKE
1095 ave of the americas,new york,united states,standard chartered international (usa) ltd.,headquarter,              100366797,new york(ny),
"sony b m g music entertainment (uk) ltd, bedford house",london,united kingdom,sony corporate services europe limited,headquarter,              sw6 3jw,united kingdom,
via miraflores 20,nichelino,italy,bcs automotive interface solutions italy srl,single address,              10042,italy,
vana-narva mnt 22,maardu,estonia,technomar & adrem as,single address,              74114,estonia,
96-59 222nd st,queens village,united states,donnelly mechanical corp.,single address,              114291343,new york(ny),
european innovation & development center olympus avenuetachbrook park,warwick,united kingdom,tata technologies europe limited,headquarter,              cv34 6rj,united kingdom,
via ludovico d'aragona 9,milano,italy,motork italia srl,headquarter,              20132,italy,
rotermanni tn 2,tallinn,estonia,friendly finance ou,headquarter,              10111,estonia,
6121 schumacher park dr,west chester,united states,"systecon, llc",single address,              450693818,ohio(oh),
the heights brooklands,weybridge,united kingdom,sony europe b.v.,headquarter,              kt13 0xw,united kingdom,
via john fitzgerald kennedy 26,vimercate,italy,fimer spa,headquarter,              20871,italy,
liivalaia tn 13,tallinn,estonia,nordic contractors as,headquarter,              10118,estonia,
959 ridgeway lp rd ste 200,memphis,united states,dunavant holding inc,headquarter,              381204050,tennessee(tn),
station works camlough road,newry,united kingdom,norbrook laboratories limited,headquarter,              bt35 6jp,united kingdom,
piazza delle muse 7,roma,italy,aec underwriting agenzia di assicurazione e riassicurazione spa,headquarter,              00197,italy,
narva mnt 5-80,tallinn,estonia,hero capital ou,headquarter,              10117,estonia,
10629 red bluff rd,pasadena,united states,"dunavant distribution group, l.l.c.",headquarter,              775071168,texas(tx),
unit 1 saxon way east,corby,united kingdom,norbrook laboratories (g.b.) limited,single address,              nn18 9ey,united kingdom,
corso giovanni agnelli 200,torino (quartiere mirafiori ),italy,fca italy s.p.a. in forma fiat chrysler automobiles e in forma abbreviato fiat group automobiles sp,headquarter,              10135,italy,
tartu mnt 25,tallinn,estonia,baltic international trading ou,headquarter,              10117,estonia,
500 s buena vista,burbank,united states,walt disney music company,headquarter,              915210007,california(ca),DISNEY
midpoint park kingsbury road minworth,sutton coldfield,united kingdom,hozelock limited,headquarter,              b76 1ab,united kingdom,
viale fulvio testi 280,milano,italy,engie italia spa,headquarter,              20126,italy,
parnu mnt 158/2,tallinn,estonia,e-advisors ou,headquarter,              11317,estonia,
1401 flower st,glendale,united states,"walt disney imagineering research & development, inc.",headquarter,              912012421,california(ca),DISNEY
midpoint park kingsbury road,sutton coldfield,united kingdom,hozelock group limited,single address,              b76 1ab,united kingdom,HOZELOCK
via broletto 46,milano,italy,suez wts italy srl,headquarter,              20121,italy,
tartu mnt 43,tallinn,estonia,advendor network ou,single address,              10128,estonia,
500 s buena vista st,burbank,united states,disney incorporated,headquarter,              915210001,california(ca),
the old forge shackstead lane,godalming,united kingdom,mesh digital limited,headquarter,              gu7 1rj,united kingdom,
piazza roma 22,ancona,italy,universita' politecnica delle marche,headquarter,              60121,italy,
maakri tn 21,tallinn,estonia,btcwhale ou,single address,              10145,estonia,
500 s buena vista st,burbank,united states,"walt disney company, the",headquarter,              915210007,california(ca),DISNEY
"2nd floor, 3 pancras square kings cross",london,united kingdom,ip group plc,headquarter,              n1c 4ag,united kingdom,
via enzo ferrari 3,"civitanova marche (zona industriale ""a"" )",italy,labware spa,headquarter,              62012,italy,
mustamae tee 16,tallinn,estonia,coca-cola hbc eesti as,headquarter,              10617,estonia,
205 s beverly dr ste 205 rank_ 205,beverly hills,united states,"boabab investments, llc",single address,              902123839,california(ca),
8 lindrick way barlborough,chesterfield,united kingdom,coster aerosols limited,single address,              s43 4xe,united kingdom,
via enrico fermi 6/8,ala,italy,kaak ovens & proofers srl,headquarter,              38061,italy,
aia tn 5,tallinn,estonia,tavid as,headquarter,              10111,estonia,
400 e business way ste 400,cincinnati,united states,"hobsons, inc.",headquarter,              452413089,ohio(oh),HOBSONS
3 bush park,plymouth,united kingdom,twofour broadcast limited,headquarter,              pl6 7rg,united kingdom,
via grazia cherchi snc,piacenza,italy,p.a.d. srl,headquarter,              29122,italy,
tartu mnt 2,tallinn,estonia,bpef iii supplementary investment facility usaldusfond,single address,              10145,estonia,
319 charleigh d ford jr dr,columbus,united states,stark aerospace inc.,headquarter,              397019064,mississippi(ms),
"c/o foresight group llp the shard, 32 london bridge street",london,united kingdom,ps manor farm solar limited,single address,              se1 9sg,united kingdom,
via ugo foscolo 4,basiano,italy,carco srl,single address,              20060,italy,
ahtri tn 6a,tallinn,estonia,funderbeam markets ou,headquarter,              10151,estonia,
555 industrial dr s,madison,united states,vertex aerospace llc,headquarter,              391109072,mississippi(ms),
7th floor 33 holborn,london,united kingdom,manor farm (solar power) ltd,single address,              ec1n 2hu,united kingdom,
via legnano 24,rescaldina,italy,zuckids srl,headquarter,              20027,italy,
lootsa tn 2a,tallinn,estonia,johnson & johnson ab eesti filiaal,single address,              11415,estonia,
1844 ferry rd,naperville,united states,northern illinois gas company,headquarter,              605639600,illinois(il),NICOR GAS COMPANY
beaufort court egg farm lane off station road,kings langley,united kingdom,manor farm solar limited,single address,              wd4 8lr,united kingdom,
via salaria 1322,roma,italy,italiana petroli spa,headquarter,              00138,italy,
endla tn 16,tallinn,estonia,rail baltic estonia ou,single address,              10142,estonia,
one franklin pkwy bld 970 1st fl,san mateo,united states,"franklin templeton companies, llc",single address,              944031906,california(ca),
"building 3 chiswick park 566 chiswick high road, chiswick",london,united kingdom,united biscuits (uk) limited,headquarter,              w4 5ya,united kingdom,
viale dell'oceano indiano 13,roma,italy,kuwait petroleum italia spa,headquarter,              00144,italy,
lootsa tn 8a,tallinn,estonia,balmerk estonia ou,headquarter,              11415,estonia,
1111 139th ave,san leandro,united states,ghirardelli chocolate co,headquarter,              945782616,california(ca),GHIRARDELLI
100 new bridge street,london,united kingdom,booking.com transport limited,headquarter,              ec4v 6ja,united kingdom,RENTALCARS.COM
via giorgio perlasca 20/c 13,fidenza,italy,advice technology petroleum srl,headquarter,              43036,italy,
lootsa tn 8a,tallinn,estonia,balmerk distribution ou,single address,              11415,estonia,
1000 mylan blvd,canonsburg,united states,mylan inc.,headquarter,              153175853,pennsylvania(pa),VIATRIS
portland house 69-71 wembley hill road,wembley,united kingdom,uml bondi limited,single address,              ha9 8bu,united kingdom,
corso filippo turati 19/6,torino,italy,gruppo torinese trasporti spa,headquarter,              10128,italy,GTT SPA
forelli tn 4,tallinn,estonia,feb as,single address,              10621,estonia,
1000 mylan blvd,canonsburg,united states,viatris inc.,headquarter,              153175853,pennsylvania(pa),
college road cranfield,bedford,united kingdom,cranfield university,headquarter,              mk43 0al,united kingdom,
piazza giovanni amendola 1,cagliari,italy,gtt communications srl,headquarter,              09125,italy,
lootsa tn 8,tallinn,estonia,santa monica networks as,single address,              11415,estonia,
666 3rd ave,new york,united states,apg asset management us inc.,headquarter,              100174011,new york(ny),
"building 1 bradbourne drive, tilbrook",milton keynes,united kingdom,red bull technology limited,headquarter,              mk7 8bj,united kingdom,
via cornelia 498,roma,italy,gtt italy srl,headquarter,              00166,italy,
parnu mnt 160e,tallinn,estonia,pernod ricard estonia ou,single address,              11317,estonia,
14141 southwest fwy ste 477,sugar land,united states,"abm industry groups, llc",headquarter,              774784630,texas(tx),
bellway industrial estate whitley road longbenton,newcastle-upon-tyne,united kingdom,bell truck sales limited,headquarter,              ne12 9sw,united kingdom,
via cornelia 498,roma,italy,gtt communications italy srl,single address,              00166,italy,
vae tn 16,"laagri alevik, saue vald",estonia,magnum logistics ou,single address,              76401,estonia,
300 fellowship rd,mount laurel,united states,marlin business services corp.,headquarter,              080541201,new jersey(nj),
"bergen house crawpeel road, altens industrial estate",aberdeen,united kingdom,odfjell technology (uk) ltd.,headquarter,              ab12 3lg,united kingdom,
via milanese 124,cinisello balsamo,italy,johnson controls italia srl,headquarter,              20092,italy,
"kaare tee 3, lubja kula",viimsi vald,estonia,threod systems ou,headquarter,              74010,estonia,
1 centerpointe dr ste 200,lake oswego,united states,"greenbrier companies, inc., the",headquarter,              970358612,oregon(or),
langford lane the boulevard,kidlington,united kingdom,elsevier limited,headquarter,              ox5 1gb,united kingdom,
corso trapani 16,torino,italy,johnson matthey italia srl,headquarter,              10139,italy,
aiandi tn 13,tallinn,estonia,symantec estonia ou,single address,              12918,estonia,
150 w 30th st ste 500,new york,united states,payoneer inc.,headquarter,              100014118,new york(ny),
grand buildings 1-3 strand,london,united kingdom,relx plc,headquarter,              wc2n 5jr,united kingdom,
via caduti sul lavoro 4,senigallia,italy,namirial spa,headquarter,              60019,italy,
narva mnt 5,tallinn,estonia,creditinfo eesti as,single address,              10117,estonia,
5725 innovation dr,troy,united states,"aptiv services us, llc",headquarter,              480982852,michigan(mi),
tolley house 2 addiscombe road,croydon,united kingdom,relx (uk) limited,headquarter,              cr0 5tt,united kingdom,
via bresciani 16,gazoldo degli ippoliti,italy,marcegaglia plates spa,headquarter,              46040,italy,
roosikrantsi tn 2-krm,tallinn,estonia,krm advisor ou,headquarter,              10119,estonia,
42840 christy st ste 205,fremont,united states,"azuga, inc.",headquarter,              945383154,california(ca),
