,index,address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
4396,4396,"waterside house, 35 north wharf road, london, w21nw",united kingdom,retailing,doll_3.7 b,marks and spencer group plc,"66,210",doll_15.0 b,44 20 79354422,corporate.marksandspencer.com
4397,4397,"one energy plaza, detroit, michigan, 48226",united states of america,power,doll_22.1 b,dte energy co,"10,300",doll_15.0 b,1 313 2354000,www.newlook.dteenergy.com
4398,4398,"rakuten crimson house, 1-14-1, tamagawa, setagaya-ku, tokyo, 158-0094",japan,retailing,doll_7.8 b,rakuten group inc,"28,261",doll_15.0 b,81 50 55816910,corp.rakuten.co.jp
4399,4399,"manuel rodriguez norte 730, santiago",chile,retailing,doll_5.6 b,falabella sa,"91,744",doll_15.0 b,56 2 23802000,investors.falabella.com/spanish/inicio/default.asp
4400,4400,"66 section 1, chung-hsiao west road, taipei, 100",taiwan,financial services,doll_4.9 b,shin kong financial holding co ltd,"17,470",doll_15.0 b,886 2 23895858,www.skfh.com.tw
4401,4401,"via chiese 6, milano, 20126",italy,power,doll_10.7 b,prysmian spa,"30,862",doll_15.1 b,39 02 64491,www.prysmiangroup.com
4402,4402,"11011 maurice-duplessis boulevard, montreal, quebec, h1c1v6",canada,retailing,doll_12.9 b,metro inc,"90,000",doll_15.1 b,1 514 6431000,www.metro.ca/en
4403,4403,"citic special steel building, no. 1 changshan avenue, jiangyin, wuxi, jiangsu, 435001",china,metals and mining,doll_13.5 b,citic pacific special steel group co ltd,"23,238",doll_15.1 b,86 510 80673288,www.citicsteel.com
4404,4404,"11-1, kamitoba, hokotate-cho, minami-ku, kyoto-shi, 601-8501",japan,technology and communications,doll_56.8 b,nintendo co ltd,"6,717",doll_15.1 b,81 75 6629600,www.nintendo.co.jp
4405,4405,"79, eulji-ro, jung-gu, seoul, 04541",south korea,financial services,doll_6.8 b,industrial bank of korea,"12,603",doll_15.2 b,82 2 7296114,www.ibk.co.kr
4406,4406,"1f, shin-marunouchi bldg., 1-5-1, marunouchi, chiyoda-ku, tokyo, 100-8405",japan,consumer packaged goods,doll_8.1 b,agc inc,"55,999",doll_15.1 b,81 3 32185741,www.agc.com
4407,4407,"ave. gomez morin 1111 sur, col. carrizalejo, san pedro garza garcia, 66254",mexico,chemicals,doll_3.6 b,alfa sab de cv,"53,760",doll_15.2 b,52 81 87481111,www.alfa.com.mx
4408,4408,"27f, 29f, no.168 jingmao 2nd road, nangang district, taipei, 115",taiwan,financial services,doll_16.0 b,ctbc financial holding co ltd,"22,968",doll_15.2 b,886 2 33277777,www.ctbcholding.com
4409,4409,"3000 north sam houston parkway east, 3000 north sam houston parkway east, texas, 77032",united states of america,energy and utilities,doll_36.9 b,halliburton co,"40,000",doll_15.3 b,1 281 8712699,www.halliburton.com/en-us/default.html
4410,4410,"233 south wacker drive, chicago, illinois, 60606",united states of america,transport and logistics,0,united airlines inc,"74,400",doll_15.4 b,1 872 8254000,www.united.com
4411,4411,"kaiserplatz 16, frankfurt am main, 60311",germany,financial services,doll_13.4 b,commerzbank ag,"38,465",doll_15.3 b,49 69 13620,www.commerzbank.de
4412,4412,"rue du marquis 1 boite 7, bruxelles, 1000",belgium,financial services,doll_9.0 b,ageas nv,"10,101",doll_15.4 b,32 2 5575711,www.ageas.com
4413,4413,"32nd floor, jindi center, no. 2007, shennan avenue, gangxia community, shenzhen, guangdong, 518026",china,construction,doll_6.6 b,gemdale corp,"47,985",doll_15.4 b,86 755 82039509,en.gemdale.com
4414,4414,"kings place, 90 york way, london, n19fx",united kingdom,aerospace and defense,doll_11.2 b,rolls-royce holdings plc,"44,000",doll_15.4 b,44 20 72229020,www.rolls-royce.com/investors.aspx
4415,4415,"hyundai marine & fire insurance bldg., 163, sejong-daero, jongno-gu, seoul, 03183",south korea,financial services,doll_2.3 b,hyundai marine & fire insurance co ltd,"3,208",doll_15.4 b,82 2 15885656,www.hi.co.kr
4416,4416,"no.35 mianxing east road, high-tech zone, mianyang, sichuan, 621000",china,consumer packaged goods,doll_1.9 b,sichuan changhong electric co ltd,"46,664",doll_15.4 b,86 816 2418436,www.changhong.com
4417,4417,"av. kennedy 9001 piso 7, las condes, 7561132",chile,retailing,doll_4.6 b,cencosud sa,"113,739",doll_15.5 b,56 2 29590700,www.cencosud.com
4418,4418,"1290 avenue of the americas, new york, 10104-0101",united states of america,financial services,doll_11.2 b,equitable holdings inc,"7,800",doll_15.5 b,1 212 5541234,equitable.com
4419,4419,"2-1-82, watanabe-dori, chuo-ku, fukuoka-shi, 810-8720",japan,power,doll_2.6 b,kyushu electric power co inc,"21,226",doll_15.5 b,81 92 7261564,www.kyuden.co.jp
4420,4420,"10f, block a, century plaza, no.1 hangda road, hangzhou, zhejiang, 310007",china,construction,doll_3.8 b,greentown china holdings ltd,"9,724",doll_15.5 b,86 571 88988888,www.greentownchina.com
4421,4421,"1000 stanley dr, po box 7000, new britain, connecticut, 06053-1675",united states of america,industrial goods and machinery,doll_13.0 b,stanley black & decker inc,"71,300",doll_15.6 b,1 860 2255111,www.stanleyblackanddecker.com
4422,4422,"5hq, 5 hanover quay, dublin, d02vy79",ireland,automotive,doll_27.8 b,aptiv plc,"155,000",doll_15.6 b,353 1 2597013,www.aptiv.com
4423,4423,"pso house, khayaban-e-iqbal, clifton, karachi, 75600",pakistan,energy and utilities,doll_266.1 m,pakistan state oil co ltd,"2,579",doll_15.6 b,92 21 99203866,www.psopk.com
4424,4424,"1, rue du colonel pierre avia, paris cedex, 75730",france,construction,doll_4.1 b,colas sa,"58,219",doll_15.6 b,33 1 47617500,www.colas.com
4425,4425,"601 riverside avenue, jacksonville, florida, 32204",united states of america,financial services,doll_11.2 b,fidelity national financial inc,"28,290",doll_15.6 b,1 904 8548100,fnf.com
4426,4426,"9330 zionsville road, indianapolis, 46268",united states of america,chemicals,doll_43.9 b,corteva inc,"21,000",doll_15.7 b,1 302 4853000,www.corteva.com
4427,4427,"1-3-6, nakamagome, ota-ku, tokyo, 143-8555",japan,technology and communications,doll_4.7 b,ricoh co ltd,"78,360",doll_15.7 b,81 3 37778111,www.ricoh.co.jp
4428,4428,"no. 2 xuanwumennei avenue, xicheng district, beijing, 100031",china,power,doll_7.4 b,huadian power international corporation ltd,"24,711",doll_15.7 b,86 10 83567900,www.hdpi.com.cn
4429,4429,"moskva, ul. udal'tsova, d. 2, moscow, 119415",russia,energy and utilities,doll_46.0 b,novatek,"18,404",doll_15.7 b,7 495 7306000,www.novatek.ru
4430,4430,"room 2301, 23f, great eagle centre, 23 harbour road, wanchai, hong kong",hong kong,automotive,doll_15.0 b,geely automobile holdings ltd,"47,000",doll_15.8 b,852  25983333,www.geelyauto.com.hk
4431,4431,"777 long ridge rd, stamford, connecticut, 06902-1250",united states of america,financial services,doll_15.0 b,synchrony financial,"18,000",doll_15.8 b,1 203 5856730,www.synchrony.com
4432,4432,"china southern airlines mansion, no. 68 qixin road, baiyun district, guangzhou, guangdong, 510403",china,transport and logistics,doll_18.7 b,china southern airlines co ltd,"97,709",doll_15.8 b,86 20 86112480,www.csair.com/cn/index.shtml
4433,4433,"bharti crescent, 1, nelson mandela road, vasant kunj, phase ii, new delhi, 110070",india,technology and communications,doll_54.9 b,bharti airtel ltd,"19,351",doll_15.8 b,91 11 46666100,www.airtel.in
4434,4434,"2702 love field dr, po box 36611, dallas, texas, 75235",united states of america,transport and logistics,doll_21.6 b,southwest airlines co,"62,333",doll_15.8 b,1 214 7924000,www.southwest.com
4435,4435,"hyundai bldg., 75, yulgok-ro, jongno-gu, seoul, 03058",south korea,construction,doll_3.3 b,hyundai engineering & construction co ltd,"6,360",doll_15.8 b,82 2 15777755,www.hdec.kr
4436,4436,"1560, blc 5, sl. 301, vila hamburguesa, sao paulo, 05.319-000",brazil,consumer packaged goods,doll_1.0 b,marfrig global foods sa,"31,779",doll_15.8 b,55 11 37928600,www.marfrig.com.br
4437,4437,"6035 parkland boulevard, cleveland, ohio, 44124-4141",united states of america,industrial goods and machinery,doll_39.5 b,parker hannifin corp,"55,090",doll_15.9 b,1 216 8963000,www.parker.com/portal/site/parker/menuitem.b90576e
4438,4438,"suite 800, 700 milam st., houston, texas, 77002",united states of america,energy and utilities,doll_38.9 b,cheniere energy inc,"1,550",doll_15.9 b,1 713 3755000,www.cheniere.com
4439,4439,"po box 686, dubai",united arab emirates,transport and logistics,0,the emirates group,"85,219",doll_15.9 b,971  147081111,www.theemiratesgroup.com
4440,4440,"124 dvora hanevi'a st., tel aviv, 6944020",israel,pharmaceuticals and healthcare,doll_11.7 b,teva pharmaceutical industries ltd,"34,713",doll_15.9 b,972 3 9148213,www.tevapharm.com
4441,4441,"nanshan district, shenzhen, guangdong, 518053",china,leisure and arts,doll_6.5 b,shenzhen overseas chinese town co ltd,"24,526",doll_15.9 b,86 755 26909069,www.octholding.com
4442,4442,"2-16-10, ginza, chuo-ku, tokyo, 104-8125",japan,transport and logistics,doll_6.1 b,yamato holdings co ltd,"216,873",doll_16.0 b,81 3 35414141,www.yamato-hd.co.jp
4443,4443,"242 exhibition street, level 41, melbourne, victoria, 3000",australia,technology and communications,doll_33.0 b,telstra corp ltd,"28,889",doll_16.0 b,61 3 86474954,www.telstra.com.au/aboutus
4444,4444,"no. 9, guangningbo street, xicheng district, beijing, 100033",china,power,doll_5.9 b,datang international power generation co ltd,"32,641",doll_16.0 b,86 10 88008678,www.dtpower.com
4445,4445,"db financial center, 432, teheran-ro, gangnam-gu, seoul, 06194",south korea,financial services,doll_3.9 b,db insurance co ltd,"4,684",doll_16.1 b,82 2 15880100,www.idbins.com
4446,4446,"777 old saw mill river road, tarrytown, new york, 10591-6717",united states of america,pharmaceuticals and healthcare,doll_78.9 b,regeneron pharmaceuticals inc,"10,368",doll_16.1 b,1 914 8477000,www.regeneron.com
4447,4447,"26 boulevard royal, 4th floor, luxembourg, 2449",luxembourg,metals and mining,doll_7.1 b,ternium sa,"20,142",doll_16.1 b,352 4661 113815,www.ternium.com
4448,4448,"c.p.tower, 313 silom road, silom, bangrak, bangkok, 10500",thailand,agriculture and forestry,doll_6.3 b,charoen pokphand foods public co ltd,"128,548",doll_16.1 b,66 26 258000,www.cpfworldwide.com
4449,4449,"is yatirim menkul degerler a.s., istanbul, 34330",turkey,financial services,doll_982.9 m,is yatirim menkul degerler a.s.,432,doll_16.1 b,90 212 3502000,www.isyatirim.com.tr
4450,4450,"marunouchi nijubashi bldg., 3-2-3, marunouchi, chiyoda-ku, tokyo, 100-8117",japan,metals and mining,doll_2.2 b,mitsubishi materials corp,"23,711",doll_16.1 b,81 3 52525200,www.mmc.co.jp
4451,4451,"358 s main st, burlington, north carolina, 27215-5837",united states of america,medical equipment,doll_22.3 b,laboratory corp of america holdings,"75,500",doll_16.1 b,1 336 2291127,www.labcorp.com
4452,4452,"2500, shingai, iwata-shi, shizuoka, 438-8501",japan,automotive,doll_8.6 b,yamaha motor co ltd,"51,249",doll_16.1 b,81 53 8321115,global.yamaha-motor.com/jp
4453,4453,"1-10-1, higashikotari, nagaokakyo-shi, kyoto, 617-8555",japan,technology and communications,doll_39.5 b,murata manufacturing co ltd,"77,581",doll_16.1 b,81 75 9519111,www.murata.com
4454,4454,"fabianinkatu 27, helsinki, 00100",finland,financial services,doll_26.7 b,sampo plc,"13,643",doll_16.2 b,358 10 5160100,www.sampo.com
4455,4455,"240 greenwich street, new york, 10286",united states of america,financial services,doll_39.8 b,the bank of new york mellon corp,"51,100",doll_16.2 b,1 212 4951784,www.bnymellon.com
4456,4456,"number 1, yuyuantan south road, beijing, hubei, 100038",china,alternative energy,0,china three gorges corp,330,doll_16.2 b,86 10 57081999,www.ctg.com.cn
4457,4457,"santa rosa 76 piso 17, metropolitana, santiago, 8330099",chile,power,doll_15.1 b,enel americas sa,"16,323",doll_16.2 b,56 2 23534400,www.enelamericas.com
4458,4458,"pl.metallurgov, 2, lipetsk, 398040",russia,metals and mining,doll_9.8 b,novolipetsk steel,"52,800",doll_16.2 b,7 474 2444006,nlmk.com
4459,4459,"nakano central park south, 10-2, nakano 4-chome, nakano-ku, tokyo, 164-0001",japan,consumer packaged goods,doll_13.9 b,kirin holdings co ltd,"29,515",doll_16.2 b,81 3 68377000,www.kirinholdings.co.jp
4460,4460,"255 fiserv dr, po box 979, brookfield, wisconsin, 53045",united states of america,technology and communications,doll_65.6 b,fiserv inc,"44,000",doll_16.2 b,1 414 8795000,www.fiserv.com
4461,4461,"l 24 2 market st, sydney, new south wales, 2000",australia,energy and utilities,doll_4.7 b,ampol ltd,"8,300",doll_16.2 b,61 2 92505000,www.ampol.com.au
4462,4462,"109 fanshawe street, auckland, 1020",new zealand,consumer packaged goods,doll_2.7 b,fonterra co-operative group ltd,"19,000",doll_16.2 b,64 9 3749000,www.fonterra.com
4463,4463,"123 s front st, memphis, tennessee, 38103",united states of america,automotive,doll_44.0 b,autozone inc,"69,440",doll_16.3 b,1 901 4956500,www.autozone.com
4464,4464,"suite 231, 20408 bashan drive, ashburn, virginia, 20147",united states of america,technology and communications,doll_6.7 b,dxc technology co,"130,000",doll_16.3 b,1 703 2459700,www.dxc.com/us/en
4465,4465,"no.1 yejin road, xinyu, jiangxi, 338001",china,metals and mining,doll_1.9 b,xinyu iron & steel co ltd,"15,670",doll_16.3 b,86 790 6290782,www.xinsteel.com.cn
4466,4466,"case postale 43070, avenue general guisan, pully, waadt, 1009",switzerland,paper and packaging,0,tetra laval international sa,"35,275",doll_16.3 b,41 21 7292211,www.tetralaval.com
4467,4467,"muehlenstrasse 26, schaffhausen, 8200",switzerland,technology and communications,doll_39.1 b,te connectivity ltd,"92,000",doll_16.3 b,41 52 6336677,www.te.com
4468,4468,"am hauptbahnhof 2, stuttgart, baden-wurttemberg, 70173",germany,financial services,0,landesbank baden-wurttemberg,"9,893",doll_16.3 b,49 711 1270,www.lbbw.de
4469,4469,"no.260 jianxin east road, jiangbei district, chongqing, 400023",china,automotive,doll_17.0 b,chongqing changan automobile co ltd,"42,444",doll_16.3 b,86 23 67594008,www.changan.com.cn
4470,4470,"601 e. beardsley avenue, elkhart, indiana, 46514",united states of america,automotive,doll_4.5 b,thor industries inc,"32,000",doll_16.3 b,1 574 9707460,www.thorindustries.com
4471,4471,"2-19-10, aobadai, meguro-ku, tokyo, 153-0042",japan,retailing,doll_11.6 b,pan pacific international holdings corp,"16,912",doll_16.3 b,81 3 57257532,ppi-hd.co.jp
4472,4472,"gezhouba masion, no.558 jiefang avenue, qiaokou district, wuhan, hubei, 430033",china,construction,0,china gezhouba group co ltd,"39,071",doll_16.3 b,86 27 59270353,www.cggc.cn
4473,4473,"menara astra 59 floor, jl. jenderal sudirman kav 5-6, jakarta, 10220",indonesia,automotive,doll_15.1 b,pt astra international tbk,"126,079",doll_16.3 b,62 21 50843888,www.astra.co.id
4474,4474,"53 moo 2 charan sanit wong road, bang kruai, nonthaburi, 11130",thailand,power,0,electricity generating authority of thailand,"17,640",doll_16.3 b,66 2 4361416,www.egat.co.th
4475,4475,"2400 market street, philadelphia, pennsylvania, 19103",united states of america,business and consumer services,doll_11.5 b,aramark,"248,300",doll_16.3 b,1 215 2383000,www.aramark.com
4476,4476,"no. 288, qingchun road, hangzhou, zhejiang, 310006",china,financial services,doll_8.9 b,china zheshang bank co ltd,"18,412",doll_16.5 b,86 571 88268966,www.czbank.com/cn/index.shtml
4477,4477,"6, takeda, tobadono-cho, fushimi-ku, kyoto-shi, 612-8501",japan,technology and communications,doll_19.4 b,kyocera corp,"83,001",doll_16.4 b,81 75 6043500,www.kyocera.co.jp
4478,4478,"2485 augustine drive, santa clara, california, 95054",united states of america,technology and communications,doll_113.7 b,advanced micro devices inc,"15,500",doll_16.4 b,1 408 7494000,www.amd.com/en
4479,4479,"16600 swingley ridge road, chesterfield, missouri, 63017",united states of america,financial services,doll_9.4 b,reinsurance group of america inc,"3,500",doll_16.4 b,1 918 4937700,www.rgare.com
4480,4480,"industriestrasse 1-3, herzogenaurach, 91074",germany,automotive,doll_1.2 b,schaeffler ag,"82,790",doll_16.4 b,49 9132 820,www.schaeffler.com
4481,4481,"electronics city hosur rd, bangalore, 560100",india,technology and communications,doll_79.0 b,infosys ltd,"345,218",doll_16.5 b,91 80 28520261,www.infosys.com
4482,4482,"1015 third avenue, seattle, washington, 98104",united states of america,transport and logistics,doll_17.1 b,expeditors international of washington inc,"19,070",doll_16.5 b,1 206 6743400,www.expeditors.com
4483,4483,"one adp boulvard, roseland, new jersey, 07068-1728",united states of america,technology and communications,doll_97.2 b,automatic data processing inc,"60,000",doll_16.5 b,1 973 9745000,www.adp.com
4484,4484,"mutualpark, jan smuts drive pinelands, cape town, 7405",south africa,financial services,doll_3.2 b,old mutual ltd,"28,837",doll_16.5 b,27 21 5094534,www.oldmutual.com
4485,4485,"no.296, section 4, ren-ai road, taipei, 106",taiwan,financial services,doll_23.3 b,cathay financial holding co ltd,"56,759",doll_16.6 b,886 2 7087698,www.cathayholdings.com
4486,4486,"100 w 5th st, tulsa, oklahoma, 74103-4279",united states of america,energy and utilities,doll_30.7 b,oneok inc,"2,847",doll_16.5 b,1 918 5887000,www.oneok.com
4487,4487,"no. 8 beiqing road, changping district, beijing, 102206",china,construction,doll_21.4 b,sany heavy industry co ltd,"23,695",doll_16.6 b,86 10 60737888,www.sanyhi.com
4488,4488,"1 siam cement road, bang su subdistrict, bang su district, bangkok, 10800",thailand,construction,doll_12.9 b,the siam cement public co ltd,"58,283",doll_16.6 b,66 25 863333,www.scg.com
4489,4489,"suite 1000, 1001 louisiana street, houston, texas, 77002",united states of america,energy and utilities,doll_41.3 b,kinder morgan inc,"10,529",doll_16.6 b,1 713 3699457,www.kindermorgan.com
4490,4490,"drammensveien 131, oslo, 0277",norway,chemicals,doll_11.8 b,yara international asa,"17,800",doll_16.6 b,47 2 4157000,www.yara.com
4491,4491,"nittetsu bussan bldg., 8-5-27, akasaka, chuo-ku, tokyo, 103-6025",japan,metals and mining,doll_2.3 b,nippon steel trading corp,"6,584",doll_16.6 b,81 3 67725001,www.nst.nipponsteel.com
4492,4492,"standard bank centre, fl 9th, 5 simmonds street, johannesburg, 2001",south africa,financial services,doll_17.0 b,standard bank group ltd,"49,000",doll_16.6 b,27 11 6361781,www.standardbank.com
4493,4493,"two folsom street, san francisco, california, 94105",united states of america,retailing,doll_4.7 b,the gap inc,"97,000",doll_16.7 b,1 415 4270100,www.gapinc.com
4494,4494,"piazza monte grappa, 4, roma, 00195",italy,aerospace and defense,doll_5.4 b,leonardo spa,"50,441",doll_16.7 b,39 06 324731,www.leonardo.com
4495,4495,"974 centre rd bldg 730, wilmington, delaware, 19805-1269",united states of america,chemicals,doll_36.4 b,dupont de nemours inc,"28,000",doll_16.7 b,1 302 7741000,www.dupont.com
4496,4496,"30 hudson yards, new york, 10001",united states of america,financial services,doll_45.6 b,kkr & co inc,"3,238",doll_16.7 b,1 302 3389793,ir.kkr.com
4497,4497,"block 3, cifi hongqiao international, lane 288, tongxie road, changning district, shanghai, 200335",china,construction,doll_1.5 b,cifi holdings (group) co ltd,"25,785",doll_16.7 b,86 21 60701010,www.cifi.com.cn
4498,4498,"warfvinges vag 25, stockholm, 11274",sweden,construction,doll_7.1 b,skanska ab,"27,891",doll_16.8 b,46 10 4480000,www.skanska.com
4499,4499,"no.1, jhonggang road, siaogang district, kaohsiung, 812",taiwan,metals and mining,doll_16.3 b,china steel corp,"28,490",doll_16.8 b,886 7 8021111,www.csc.com.tw
4500,4500,"1 riverside plz, columbus, ohio, 43215-2355",united states of america,power,doll_47.5 b,american electric power co inc,"16,688",doll_16.8 b,1 614 7161000,www.aep.com
4501,4501,"am campeon 1-12, neubiberg, 85579",germany,technology and communications,doll_45.7 b,infineon technologies ag,"54,946",doll_16.8 b,49 89 2340,www.infineon.com
4502,4502,"33rd floor, harbour centre, 25 harbour road, wanchai, hong kong",hong kong,transport and logistics,doll_11.4 b,orient overseas (international) ltd,"10,935",doll_16.8 b,852  28333888,www.ooilgroup.com
4503,4503,"one ppg pl 40 east, pittsburgh, pennsylvania, 15272",united states of america,chemicals,doll_30.0 b,ppg industries inc,"49,300",doll_16.8 b,1 412 4343131,www.ppg.com
4504,4504,"no. 949, fushan south road, zoucheng city, ji'nan, shandong , 273500",china,metals and mining,doll_22.4 b,yankuang energy group co ltd,"61,864",doll_16.8 b,86 537 5382319,www.yanzhoucoal.com.cn
4505,4505,"2 rue de robert-esnault-pelterie, bp 93290, paris, 75007",france,transport and logistics,doll_4.4 b,air france-klm sa,"73,719",doll_16.9 b,33 1 41565656,www.airfranceklm.com/fr
4506,4506,"p.o.box 87912, riyadh, 11652",saudi arabia,technology and communications,doll_49.6 b,saudi telecom co,,doll_16.9 b,966 1 14521845,www.stc.com.sa
4507,4507,"12f, shibaura renasite tower, 3-9-1, shibaura, chuo-ku, tokyo, 103-6128",japan,technology and communications,doll_13.7 b,tdk corp,"116,808",doll_16.9 b,81 3 67781000,www.jp.tdk.com
4508,4508,"1000 louisiana street, suite 4300, targa resources partners lp, houston, texas, 77002",united states of america,energy and utilities,doll_16.6 b,targa resources corp,"2,430",doll_16.9 b,1 713 5841000,www.targaresources.com
4509,4509,"suite 2100, 811 louisiana street, houston, texas, 77002-5036",united states of america,energy and utilities,0,targa resources partners lp,"2,430",doll_16.9 b,1 713 5841000,www.targaresources.com
4510,4510,"moutai town, renhuai city, zunyi, guizhou, 564501",china,consumer packaged goods,doll_351.1 b,kweichow moutai co ltd,"29,971",doll_17.0 b,86 851 22386002,www.moutaichina.com
4511,4511,"1500 solana blvd ste 3400, westlake, texas, 76262-1690",united states of america,consumer packaged goods,0,core-mark holding company inc,"7,534",doll_17.0 b,1 940 2938600,https://www.core-mark.com/
4512,4512,"no. 301, zhongzheng road, yongkang district, tainan, 710",taiwan,consumer packaged goods,doll_12.8 b,uni-president enterprises corp,,doll_17.0 b,886 6 2532121,www.uni-president.com.tw
4513,4513,"700 universe blvd, juno beach, florida, 33408",united states of america,power,doll_166.5 b,nextera energy inc,"15,000",doll_17.1 b,1 561 6944000,www.nexteraenergy.com
4514,4514,"gulbahar mah. buyukdere cad. no: 101/a, istanbul, 34394",turkey,energy and utilities,doll_8.6 b,turkiye petrol rafinerileri as,"5,826",doll_17.1 b,90 212 8789000,www.tupras.com.tr
4515,4515,"messeallee 11, essen, 45131",germany,chemicals,doll_11.3 b,brenntag se,"17,200",doll_17.0 b,49 201 64960,www.brenntag.com
4516,4516,"338, kuze tonoshiro-cho, minami-ku, kyoto-shi, 601-8205",japan,industrial goods and machinery,doll_34.5 b,nidec corp,"114,371",doll_17.1 b,81 75 9221111,www.nidec.com
4517,4517,"2825 airview blvd, kalamazoo, michigan, 49002",united states of america,medical equipment,doll_95.4 b,stryker corp,"46,000",doll_17.1 b,1 269 3892600,www.stryker.com
4518,4518,"tower b, shinagawa intercity, 2-15-2, konan, minato-ku, tokyo, 108-8502",japan,construction,doll_5.4 b,obayashi corp,"15,470",doll_17.1 b,81 3 57691111,www.obayashi.co.jp
4519,4519,"1800, 240-4 ave sw, calgary, alberta, t2p4h4",canada,energy and utilities,doll_4.0 b,parkland corp,"5,946",doll_17.1 b,1 403 5672500,www.parkland.ca/en
4520,4520,"no. 1 jinshan avenue, jinshan development zone, huhehaote, 010110",china,consumer packaged goods,doll_30.5 b,inner mongolia yili industrial group co ltd,"61,598",doll_17.1 b,86 471 3350092,www.yili.com
4521,4521,"4650 cushing blvd, fremont, california, 94538",united states of america,technology and communications,doll_63.7 b,lam research corp,"17,700",doll_17.2 b,1 510 6590200,www.lamresearch.com
4522,4522,"delegacion alvaro obregon, colonia pena blanca santa fe, 01210",mexico,consumer packaged goods,doll_21.6 b,grupo bimbo sab de cv,"144,868",doll_17.2 b,52 55 52686600,www.grupobimbo.com
4523,4523,"level 18, 388 george street, sydney, new south wales, 2000",australia,financial services,doll_13.8 b,qbe insurance group ltd,"11,651",doll_17.3 b,61 2 93754444,www.qbe.com
4524,4524,"no. 168 yincheng middle road, china (shanghai) pilot free trade zone, 200120",china,financial services,doll_12.6 b,bank of shanghai co ltd,"13,202",doll_17.3 b,86 21 68476988,www.bosc.cn
4525,4525,"via stalingrado, 45, bologna, 40128",italy,financial services,doll_7.3 b,unipolsai assicurazioni spa,"12,435",doll_17.3 b,39 02 64021,www.unipolsai.com/it
4526,4526,"200 peach street, el dorado, arkansas, 71730",united states of america,retailing,doll_5.9 b,murphy usa inc,"6,245",doll_17.4 b,1 870 8757600,www.murphyusa.com
4527,4527,"via stalingrado, 45, bologna, 40128",italy,financial services,doll_3.7 b,unipol gruppo spa,"12,499",doll_17.4 b,39 051 5077111,www.unipol.it/it
4528,4528,"paris cedex 17, 75838",france,wholesale,doll_6.7 b,rexel sa,"26,294",doll_17.4 b,33 1 42858500,www.rexel.com
4529,4529,"no. 11 cua bac street, truc bach ward, hanoi, ha noi, 118000",vietnam,power,0,vietnam electricity,,doll_17.4 b,,www.evn.com.vn
4530,4530,"level 2 87 adelaide terrace, east perth, 6004",australia,metals and mining,doll_47.8 b,fortescue metals group ltd,"10,164",doll_17.4 b,61 8 62188888,www.fmgl.com.au
4531,4531,"75, lenin street, almetyevsk, republic of tatarstan, 425450",russia,energy and utilities,doll_11.5 b,tatneft,"60,743",doll_17.4 b,,www.tatneft.ru
4532,4532,"bunkyo garden gate tower, 1-1-1, koishikawa, bunkyo-ku, tokyo, 112-8778",japan,wholesale,doll_1.0 b,mitsubishi shokuhin co ltd,"4,944",doll_17.4 b,81 3 45535111,www.mitsubishi-shokuhin.com
4533,4533,"drammensveien 264, oslo, 0283",norway,metals and mining,doll_17.4 b,norsk hydro asa,"31,264",doll_17.4 b,47 2 2538100,www.hydro.com
4534,4534,"300 park avenue, new york, 10022",united states of america,consumer packaged goods,doll_63.7 b,colgate-palmolive co,"33,800",doll_17.4 b,1 212 3102000,www.colgatepalmolive.com
4535,4535,"1515 3rd street, san francisco, california, 94158",united states of america,transport and logistics,doll_57.8 b,uber technologies inc,"29,300",doll_17.5 b,1 415 6128582,www.uber.com
4536,4536,"200 innovation way, akron, ohio, 44316-0001",united states of america,automotive,doll_3.3 b,the goodyear tire & rubber co,"72,000",doll_17.5 b,1 330 7962121,www.goodyear.com
4537,4537,"special no.1 dongfeng road, wuhan economic & tech develpmnt zone, hubei, 430056",china,automotive,doll_5.1 b,dongfeng motor group co ltd,"122,061",doll_17.5 b,86 27 84285274,www.dfmg.com.cn
4538,4538,"12011 sunset hills road, reston, virginia, 20190-5918",united states of america,construction,0,bechtel corp,,doll_17.5 b,1 571 3926300,www.bechtel.com
4539,4539,"185 farringdon road, london, greater london, ec1a1aa",united kingdom,transport and logistics,doll_2.6 b,international distributions services plc,"159,444",doll_17.5 b,,www.royalmailgroup.com
4540,4540,"no.166, section 2, minsheng east road, jhongshan district, taipei, 104",taiwan,transport and logistics,doll_10.7 b,evergreen marine corp taiwan ltd,"4,966",doll_17.5 b,886 2 25057766,www.evergreen-marine.com
4541,4541,"8111 westchester dr., suite 400, dallas, texas, 75225",united states of america,energy and utilities,doll_3.8 b,sunoco lp,"2,225",doll_17.6 b,1 832 2343600,www.sunocolp.com
4542,4542,"345 park ave, san jose, california, 95110-2704",united states of america,technology and communications,doll_158.7 b,adobe inc,"25,988",doll_17.6 b,1 408 5366000,www.adobe.com
4543,4543,"2-2-2, yoyogi, shibuya-ku, tokyo, 151-8578",japan,transport and logistics,0,east japan railway co,"71,240",doll_17.6 b,81 3 53341151,www.jreast.co.jp
4544,4544,"rank_31-02 suntec tower three, singapore, 038988",singapore,energy and utilities,doll_676.4 m,china aviation oil (singapore) corp ltd,82,doll_17.6 b,65 6 3348979,www.caosco.com
