ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
NULL,spain,4.824 Billion USD,4.368 Billion USD,5.196 Billion USD,fomento de construcciones y contratas,NULL,"6,657 Million USD",industries
NULL,sweden,5.714 Billion USD,5.135 Billion USD,5.181 Billion USD,fabege ab (publ),NULL,313 Million USD,real estate
NULL,austria,4.497 Billion USD,4.453 Billion USD,5.179 Billion USD,andritz ag,"28,400","7,129 Million USD",industries
NULL,switzerland,3.353 Billion USD,10.903 Billion USD,5.178 Billion USD,crispr therapeutics ag,410,914 Million USD,healthcare
NULL,poland,6.228 Billion USD,4.961 Billion USD,5.174 Billion USD,powszechny zaklad ubezpieczen sa,"43,310",NULL,financial services
NULL,uk,5.921 Billion USD,4.740 Billion USD,5.170 Billion USD,derwent london,NULL,318 Million USD,real estate
NULL,denmark,4.277 Billion USD,3.785 Billion USD,5.159 Billion USD,topdanmark a/s,NULL,"4,653 Million USD",financial services
NULL,germany,5.597 Billion USD,5.818 Billion USD,5.157 Billion USD,varta ag,"4,800",902 Million USD,industries
NULL,poland,9.076 Billion USD,7.420 Billion USD,5.140 Billion USD,cd projekt,"1,111",NULL,communication services
NULL,poland,4.370 Billion USD,2.048 Billion USD,5.132 Billion USD,mbank,NULL,NULL,financial services
NULL,switzerland,3.574 Billion USD,4.643 Billion USD,5.125 Billion USD,bucher industries ag,NULL,"3,398 Million USD",industry machinery
NULL,germany,2.507 Billion USD,4.643 Billion USD,5.122 Billion USD,jungheinrich,"18,019","4,238 Million USD",industries
NULL,spain,6.677 Billion USD,4.403 Billion USD,5.116 Billion USD,merlin properties socimi,218,516 Million USD,real estate
NULL,iceland,3.872 Billion USD,4.529 Billion USD,5.115 Billion USD,marel,NULL,"1,500 Million USD",industries
NULL,luxembourg,NULL,NULL,5.059 Billion USD,inpost s.a.,NULL,"4,580 Million USD",industries
NULL,belgium,3.832 Billion USD,4.008 Billion USD,5.057 Billion USD,cofinimmo sa,NULL,323 Million USD,real estate
NULL,uk,NULL,NULL,5.053 Billion USD,dr. martens plc,NULL,"1,069 Million USD",footwear
NULL,hungary,4.160 Billion USD,4.607 Billion USD,5.027 Billion USD,richter gedeon vegyeszeti gyar nyilvanosan mukodo,NULL,"1,829 Million USD",healthcare
NULL,spain,6.505 Billion USD,4.934 Billion USD,4.990 Billion USD,inmobiliaria colonial socimi,200,316 Million USD,real estate
NULL,switzerland,4.007 Billion USD,4.406 Billion USD,4.977 Billion USD,vontobel holding ag,"2,094","2,080 Million USD",financial services
NULL,uk,NULL,7.000 Billion USD,4.970 Billion USD,deliveroo plc,"2,300","2,148 Million USD",online food delivery
NULL,sweden,6.840 Billion USD,5.860 Billion USD,4.958 Billion USD,securitas ab,"355,000","11,416 Million USD",industries
NULL,spain,6.721 Billion USD,4.842 Billion USD,4.948 Billion USD,bankinter,"8,668","2,036 Million USD",financial services
NULL,norway,3.697 Billion USD,3.452 Billion USD,4.933 Billion USD,storebrand asa,"2,200","13,218 Million USD",financial services
NULL,ireland,3.422 Billion USD,4.179 Billion USD,4.922 Billion USD,glanbia,"7,385","4,628 Million USD",consumer defensive
NULL,denmark,7.588 Billion USD,6.811 Billion USD,4.912 Billion USD,h. lundbeck a/s,"5,806","2,412 Million USD",healthcare
NULL,italy,3.805 Billion USD,3.818 Billion USD,4.897 Billion USD,banca generali,"72,644","1,406 Million USD",financial services
NULL,switzerland,4.451 Billion USD,4.604 Billion USD,4.894 Billion USD,bb biotech ag,NULL,-367 Million USD,healthcare
NULL,uk,NULL,NULL,4.893 Billion USD,atotech ltd,"3,862","1,234 Million USD",electronics
NULL,france,9.172 Billion USD,10.112 Billion USD,4.881 Billion USD,atos se,"110,000","10,836 Million USD",technology
NULL,switzerland,NULL,NULL,4.875 Billion USD,sportradar,"2,300",561 Million USD,media
NULL,italy,3.470 Billion USD,3.322 Billion USD,4.854 Billion USD,banco bpm societa per azioni,"22,000","4,362 Million USD",financial services
NULL,uk,3.428 Billion USD,4.365 Billion USD,4.853 Billion USD,ig group holdings,NULL,"1,157 Million USD",financial services
NULL,uk,5.391 Billion USD,4.644 Billion USD,4.829 Billion USD,travis perkins,"30,000","6,086 Million USD",industries
NULL,switzerland,4.771 Billion USD,5.098 Billion USD,4.824 Billion USD,dufry ag,NULL,"4,189 Million USD",consumer cyclical
NULL,germany,4.604 Billion USD,4.388 Billion USD,4.804 Billion USD,1&1 ag,"3,163","4,312 Million USD",communication services
NULL,germany,2.401 Billion USD,3.758 Billion USD,4.799 Billion USD,dermapharm holding se,NULL,942 Million USD,healthcare
NULL,italy,4.068 Billion USD,4.260 Billion USD,4.780 Billion USD,brembo,NULL,"2,784 Million USD",consumer cyclical
NULL,uk,NULL,NULL,4.767 Billion USD,harbour energy plc,NULL,"3,478 Million USD",energy
NULL,italy,NULL,NULL,4.757 Billion USD,stevanato group s.p.a.,NULL,930 Million USD,medical equipment
NULL,uk,3.687 Billion USD,4.802 Billion USD,4.752 Billion USD,abcam,"1,492",613 Million USD,healthcare
NULL,denmark,2.314 Billion USD,5.018 Billion USD,4.738 Billion USD,netcompany group a/s,NULL,537 Million USD,technology
NULL,norway,3.967 Billion USD,4.149 Billion USD,4.736 Billion USD,leroy seafood group asa,NULL,"2,630 Million USD",consumer defensive
NULL,france,5.205 Billion USD,4.907 Billion USD,4.729 Billion USD,colas sa,NULL,"14,588 Million USD",industries
NULL,uk,3.668 Billion USD,3.461 Billion USD,4.728 Billion USD,inchcape,"17,300","10,138 Million USD",consumer cyclical
NULL,uk,NULL,4.328 Billion USD,4.725 Billion USD,polar capital technology trust,NULL,-300 Million USD,investments
NULL,sweden,3.531 Billion USD,3.664 Billion USD,4.723 Billion USD,hexpol ab (publ),NULL,"1,697 Million USD",basic materials
NULL,sweden,NULL,NULL,4.722 Billion USD,oatly group ab,792,643 Million USD,non-alcoholic beverages
NULL,belgium,3.120 Billion USD,3.897 Billion USD,4.710 Billion USD,melexis nv,"1,449",709 Million USD,technology
NULL,italy,2.463 Billion USD,2.957 Billion USD,4.697 Billion USD,brunello cucinelli,"2,127",785 Million USD,consumer cyclical
NULL,sweden,5.245 Billion USD,5.104 Billion USD,4.686 Billion USD,elekta ab (publ),NULL,"1,371 Million USD",healthcare
NULL,uk,1.282 Billion USD,1.895 Billion USD,4.686 Billion USD,watches of switzerland group,NULL,"1,458 Million USD",consumer cyclical
NULL,uk,3.653 Billion USD,5.734 Billion USD,4.675 Billion USD,sophos group,"3,500",709 Million USD,technology
NULL,italy,3.202 Billion USD,4.243 Billion USD,4.662 Billion USD,erg spa,NULL,"1,359 Million USD",utilities
NULL,france,3.404 Billion USD,4.181 Billion USD,4.650 Billion USD,tikehau capital,NULL,454 Million USD,financial services
NULL,austria,3.328 Billion USD,5.950 Billion USD,4.642 Billion USD,ams ag,"30,000","5,557 Million USD",technology
NULL,belgium,3.124 Billion USD,3.956 Billion USD,4.635 Billion USD,aedifica sa,NULL,255 Million USD,real estate
NULL,uk,NULL,4.608 Billion USD,4.627 Billion USD,hicl infrastructure,491,437 Million USD,investments
NULL,germany,3.102 Billion USD,4.680 Billion USD,4.619 Billion USD,siltronic ag,"3,800","1,550 Million USD",technology
NULL,uk,NULL,NULL,4.577 Billion USD,arrival,"1,300",0 Million USD,electric vehicles
NULL,luxembourg,8.091 Billion USD,5.343 Billion USD,4.573 Billion USD,ses,"2,159","1,966 Million USD",communication services
NULL,france,1.958 Billion USD,2.709 Billion USD,4.563 Billion USD,interparfums sa,396,618 Million USD,consumer defensive
NULL,ireland,2.069 Billion USD,3.265 Billion USD,4.557 Billion USD,adient,"77,000","13,680 Million USD",consumer cyclical
NULL,finland,4.878 Billion USD,5.370 Billion USD,4.547 Billion USD,huhtamaki oyj,"18,600","3,942 Million USD",consumer cyclical
NULL,france,3.886 Billion USD,3.630 Billion USD,4.547 Billion USD,compagnie du cambodge,NULL,200 Million USD,industries
NULL,germany,2.791 Billion USD,3.410 Billion USD,4.531 Billion USD,aurubis ag,"7,400","17,978 Million USD",basic materials
NULL,belgium,3.211 Billion USD,4.523 Billion USD,4.507 Billion USD,financiere de tubize sa,NULL,421 Million USD,healthcare
NULL,uk,NULL,NULL,4.459 Billion USD,greencoat uk wind,NULL,561 Million USD,asset management
NULL,germany,4.514 Billion USD,5.581 Billion USD,4.454 Billion USD,stroer se & co. kgaa,"13,000","1,627 Million USD",communication services
NULL,switzerland,4.981 Billion USD,4.524 Billion USD,4.454 Billion USD,stadler rail ag,"8,500","3,888 Million USD",industries
NULL,italy,3.611 Billion USD,3.373 Billion USD,4.452 Billion USD,salvatore ferragamo,NULL,"1,252 Million USD",consumer cyclical
NULL,france,NULL,NULL,4.438 Billion USD,nexans s.a.,NULL,"8,134 Million USD",industries
NULL,uk,3.208 Billion USD,3.733 Billion USD,4.436 Billion USD,softcat,"1,500","1,362 Million USD",technology
NULL,sweden,NULL,NULL,4.432 Billion USD,nordnet ab (publ),NULL,331 Million USD,financial services
NULL,uk,NULL,3.305 Billion USD,4.429 Billion USD,smithson investment trust,NULL,709 Million USD,asset management
NULL,russia,3.886 Billion USD,4.904 Billion USD,4.424 Billion USD,moscow exchange micex-rts,NULL,500 Million USD,financial services
NULL,uk,2.612 Billion USD,5.020 Billion USD,4.421 Billion USD,games workshop group,"2,436",488 Million USD,consumer cyclical
NULL,sweden,1.237 Billion USD,0.920 Billion USD,4.412 Billion USD,corem property group ab (publ),NULL,297 Million USD,real estate
NULL,sweden,3.050 Billion USD,3.986 Billion USD,4.403 Billion USD,dometic group ab (publ),NULL,"2,281 Million USD",technology
NULL,luxembourg,2.666 Billion USD,3.326 Billion USD,4.398 Billion USD,aperam,"9,500","5,100 Million USD",basic materials
NULL,uk,3.573 Billion USD,3.218 Billion USD,4.395 Billion USD,livanova,"4,000","1,035 Million USD",healthcare
NULL,netherlands,7.002 Billion USD,6.649 Billion USD,4.389 Billion USD,vopak,"5,688","1,353 Million USD",energy
NULL,uk,NULL,NULL,4.350 Billion USD,petershill partners plc,NULL,NULL,financial services
NULL,austria,3.585 Billion USD,3.555 Billion USD,4.343 Billion USD,strabag se,NULL,"15,293 Million USD",industries
NULL,russia,3.771 Billion USD,4.585 Billion USD,4.341 Billion USD,federal hydro-generating company - rushydro,NULL,"5,360 Million USD",utilities
NULL,uk,4.766 Billion USD,4.320 Billion USD,4.337 Billion USD,tate & lyle,"4,193","1,620 Million USD",consumer defensive
NULL,uk,NULL,3.755 Billion USD,4.337 Billion USD,3i infrastructure,NULL,485 Million USD,investments
NULL,france,2.141 Billion USD,3.149 Billion USD,4.331 Billion USD,nexans,NULL,"8,134 Million USD",industries
NULL,italy,4.385 Billion USD,4.485 Billion USD,4.306 Billion USD,acea spa,NULL,"4,381 Million USD",utilities
NULL,france,3.232 Billion USD,3.473 Billion USD,4.306 Billion USD,spie sa,"45,500","7,714 Million USD",industries
NULL,uk,NULL,NULL,4.301 Billion USD,"diversey holdings, ltd.","8,500","2,618 Million USD",fmcg
NULL,uk,5.663 Billion USD,5.481 Billion USD,4.299 Billion USD,pennon group,"5,239",933 Million USD,utilities
NULL,sweden,0.858 Billion USD,NULL,4.280 Billion USD,addlife ab (publ),NULL,847 Million USD,healthcare
NULL,uk,2.682 Billion USD,3.821 Billion USD,4.278 Billion USD,computacenter,NULL,"8,924 Million USD",technology
NULL,luxembourg,2.482 Billion USD,2.898 Billion USD,4.276 Billion USD,brederode sa,NULL,"1,106 Million USD",financial services
NULL,germany,4.992 Billion USD,4.542 Billion USD,4.261 Billion USD,rheinmetall ag,"25,767","6,241 Million USD",industries
NULL,uk,NULL,3.972 Billion USD,4.254 Billion USD,alliance trust,NULL,763 Million USD,financial services
NULL,uk,4.835 Billion USD,2.482 Billion USD,4.240 Billion USD,greggs,"19,000","1,631 Million USD",consumer defensive
NULL,belgium,5.216 Billion USD,4.864 Billion USD,4.230 Billion USD,telenet group holding nv,NULL,"2,862 Million USD",communication services
NULL,austria,2.710 Billion USD,4.019 Billion USD,4.227 Billion USD,mayr-melnhof karton ag,"9,938","3,068 Million USD",consumer cyclical
NULL,uk,NULL,NULL,4.225 Billion USD,ihs holding ltd,NULL,"1,579 Million USD",telecom
NULL,russia,1.165 Billion USD,1.450 Billion USD,4.221 Billion USD,raspadskaya,NULL,"2,098 Million USD",basic materials
NULL,spain,1.556 Billion USD,2.556 Billion USD,4.216 Billion USD,laboratorios farmaceuticos rovi,NULL,715 Million USD,healthcare
NULL,italy,4.883 Billion USD,4.565 Billion USD,4.211 Billion USD,buzzi unicem,NULL,"3,444 Million USD",basic materials
NULL,denmark,4.600 Billion USD,5.893 Billion USD,4.206 Billion USD,simcorp a/s,"1,901",547 Million USD,technology
NULL,uk,3.893 Billion USD,3.796 Billion USD,4.205 Billion USD,rotork,"3,400",755 Million USD,industries
NULL,russia,NULL,NULL,4.201 Billion USD,united aircraft corporation,NULL,"7,694 Million USD",industries
NULL,austria,3.398 Billion USD,3.566 Billion USD,4.180 Billion USD,wienerberger ag,NULL,"4,380 Million USD",basic materials
NULL,spain,6.800 Billion USD,2.416 Billion USD,4.173 Billion USD,banco de sabadell,"23,458","5,486 Million USD",financial services
NULL,france,2.937 Billion USD,6.489 Billion USD,4.172 Billion USD,neoen,255,367 Million USD,utilities
NULL,uk,NULL,4.268 Billion USD,4.159 Billion USD,monks investment trust,NULL,-730 Million USD,investments
NULL,uk,NULL,2.730 Billion USD,4.159 Billion USD,man group,"1,456","1,481 Million USD",financial services
NULL,italy,6.773 Billion USD,4.138 Billion USD,4.149 Billion USD,leonardo,"49,882","15,591 Million USD",industries
NULL,switzerland,2.428 Billion USD,3.561 Billion USD,4.149 Billion USD,vz holding ag,"1,030",415 Million USD,financial services
NULL,uk,NULL,3.655 Billion USD,4.138 Billion USD,s4 capital,NULL,808 Million USD,advertising
NULL,uk,NULL,3.327 Billion USD,4.116 Billion USD,the renewables infrastructure group limited,NULL,231 Million USD,renewable energy
NULL,switzerland,NULL,NULL,4.115 Billion USD,polypeptide group ag,973,282 Million USD,healthcare
NULL,norway,3.032 Billion USD,4.070 Billion USD,4.114 Billion USD,entra asa,NULL,294 Million USD,real estate
NULL,russia,5.933 Billion USD,5.325 Billion USD,4.114 Billion USD,inter rao ues,NULL,"16,208 Million USD",utilities
NULL,uk,2.709 Billion USD,3.747 Billion USD,4.111 Billion USD,genus,NULL,676 Million USD,healthcare
NULL,uk,2.544 Billion USD,2.636 Billion USD,4.106 Billion USD,big yellow group,361,201 Million USD,real estate
NULL,spain,4.199 Billion USD,4.187 Billion USD,4.097 Billion USD,grupo catalana occidente,"7,587","4,602 Million USD",financial services
NULL,isle of man,5.417 Billion USD,3.829 Billion USD,4.082 Billion USD,nepi rockcastle,NULL,536 Million USD,real estate
NULL,luxembourg,5.100 Billion USD,4.699 Billion USD,4.055 Billion USD,iwg,"12,000","2,955 Million USD",industries
NULL,uk,3.166 Billion USD,4.026 Billion USD,4.055 Billion USD,fevertree drinks,NULL,413 Million USD,consumer defensive
NULL,germany,0.832 Billion USD,2.355 Billion USD,4.053 Billion USD,verbio vereinigte bioenergie ag,NULL,"1,026 Million USD",utilities
NULL,netherlands,2.041 Billion USD,2.960 Billion USD,4.036 Billion USD,arcadis nv,"28,000","2,828 Million USD",industries
NULL,germany,3.397 Billion USD,2.293 Billion USD,4.034 Billion USD,hugo boss ag,NULL,"3,073 Million USD",consumer cyclical
NULL,sweden,1.820 Billion USD,2.408 Billion USD,4.033 Billion USD,veoneer,NULL,"1,657 Million USD",consumer cyclical
NULL,uk,3.666 Billion USD,3.036 Billion USD,4.019 Billion USD,beazley,NULL,"3,291 Million USD",financial services
NULL,france,2.044 Billion USD,3.400 Billion USD,4.007 Billion USD,trigano,"10,021","3,235 Million USD",consumer cyclical
NULL,uk,4.073 Billion USD,1.783 Billion USD,4.001 Billion USD,investec group,NULL,"2,292 Million USD",financial services
NULL,france,4.616 Billion USD,3.671 Billion USD,3.987 Billion USD,elis sa,"45,000","3,362 Million USD",industries
NULL,germany,5.943 Billion USD,4.070 Billion USD,3.977 Billion USD,metro ag,"97,639","27,316 Million USD",consumer defensive
NULL,uk,NULL,2.248 Billion USD,3.966 Billion USD,safestore holdings,700,247 Million USD,property investments
NULL,belgium,4.007 Billion USD,3.335 Billion USD,3.963 Billion USD,kbc ancora sca,NULL,532 Million USD,financial services
NULL,greece,NULL,NULL,3.954 Billion USD,public power corporation s.a.,"13,832","5,704 Million USD",utilities
NULL,norway,2.943 Billion USD,2.678 Billion USD,3.953 Billion USD,sparebank 1 sr-bank asa,969,NULL,financial services
NULL,italy,4.175 Billion USD,3.401 Billion USD,3.952 Billion USD,unipol gruppo,"11,836","16,280 Million USD",financial services
NULL,uk,NULL,3.749 Billion USD,3.947 Billion USD,international public partnerships ld,NULL,154 Million USD,investments
NULL,germany,3.302 Billion USD,3.200 Billion USD,3.946 Billion USD,alstria office reit-ag,167,245 Million USD,real estate
NULL,italy,3.356 Billion USD,3.064 Billion USD,3.936 Billion USD,azimut holding,"1,162","1,635 Million USD",financial services
NULL,sweden,1.707 Billion USD,3.416 Billion USD,3.932 Billion USD,sectra ab (publ),820,184 Million USD,healthcare
NULL,sweden,2.567 Billion USD,3.641 Billion USD,3.931 Billion USD,billerudkorsnas ab (publ),"4,407","2,778 Million USD",basic materials
NULL,denmark,2.258 Billion USD,2.643 Billion USD,3.924 Billion USD,ringkjobing landbobank a/s,626,343 Million USD,financial services
NULL,germany,3.665 Billion USD,4.614 Billion USD,3.922 Billion USD,tag immobilien ag,"1,354",481 Million USD,real estate
NULL,spain,3.124 Billion USD,3.299 Billion USD,3.919 Billion USD,cie automotive,NULL,"3,606 Million USD",consumer cyclical
NULL,france,4.101 Billion USD,5.006 Billion USD,3.916 Billion USD,compagnie plastic omnium sa,"31,000","7,978 Million USD",consumer cyclical
NULL,ireland,NULL,3.026 Billion USD,3.903 Billion USD,grafton group plc,NULL,"2,799 Million USD",construction materials
NULL,switzerland,2.013 Billion USD,3.028 Billion USD,3.898 Billion USD,siegfried holding ag,"3,500","1,179 Million USD",healthcare
NULL,switzerland,2.158 Billion USD,3.631 Billion USD,3.895 Billion USD,also holding ag,"4,081","13,671 Million USD",technology
NULL,germany,0.689 Billion USD,1.478 Billion USD,3.893 Billion USD,zooplus ag,NULL,"1,800 Million USD",consumer cyclical
NULL,uk,5.393 Billion USD,4.823 Billion USD,3.887 Billion USD,homeserve,NULL,"1,683 Million USD",industries
NULL,ireland,3.114 Billion USD,3.175 Billion USD,3.883 Billion USD,alkermes,"2,245","1,173 Million USD",healthcare
NULL,france,2.834 Billion USD,3.231 Billion USD,3.864 Billion USD,lagardere sca,NULL,"5,169 Million USD",consumer cyclical
NULL,greece,3.823 Billion USD,2.582 Billion USD,3.861 Billion USD,eurobank ergasias,NULL,"1,933 Million USD",financial services
NULL,france,3.868 Billion USD,3.646 Billion USD,3.856 Billion USD,societe fonciere lyonnaise sa,75,192 Million USD,real estate
NULL,austria,2.521 Billion USD,2.677 Billion USD,3.855 Billion USD,lenzing,NULL,"2,420 Million USD",basic materials
NULL,switzerland,3.664 Billion USD,3.797 Billion USD,3.853 Billion USD,luzerner kantonalbank ag,"1,049",607 Million USD,financial services
NULL,netherlands,3.480 Billion USD,3.575 Billion USD,3.847 Billion USD,royal boskalis westminster,"7,484","2,955 Million USD",industries
NULL,italy,4.019 Billion USD,3.338 Billion USD,3.846 Billion USD,iren spa,"8,000","4,908 Million USD",utilities
NULL,luxembourg,4.080 Billion USD,4.386 Billion USD,3.841 Billion USD,grand city properties,800,578 Million USD,real estate
NULL,austria,3.677 Billion USD,3.242 Billion USD,3.839 Billion USD,vienna insurance group ag,"25,000","10,974 Million USD",financial services
NULL,switzerland,0.638 Billion USD,0.692 Billion USD,3.824 Billion USD,dottikon es holding ag,630,261 Million USD,basic materials
NULL,sweden,2.604 Billion USD,3.738 Billion USD,3.820 Billion USD,nordic entertainment group ab (publ),"1,900","1,342 Million USD",communication services
NULL,uk,2.709 Billion USD,4.051 Billion USD,3.805 Billion USD,atlantica yield,NULL,"1,211 Million USD",utilities
NULL,france,2.232 Billion USD,2.445 Billion USD,3.803 Billion USD,virbac sa,"4,900","1,063 Million USD",healthcare
NULL,france,0.086 Billion USD,2.985 Billion USD,3.798 Billion USD,altarea,NULL,"2,981 Million USD",real estate
NULL,france,3.759 Billion USD,2.993 Billion USD,3.798 Billion USD,altarea sca,"1,983","2,981 Million USD",real estate
NULL,austria,3.965 Billion USD,3.491 Billion USD,3.782 Billion USD,ca immobilien anlagen ag,NULL,296 Million USD,real estate
NULL,poland,3.911 Billion USD,3.279 Billion USD,3.770 Billion USD,pge polska grupa energetyczna,"40,141","11,073 Million USD",utilities
NULL,germany,NULL,NULL,3.770 Billion USD,dmg mori aktiengesellschaft,"12,160","2,263 Million USD",industries
NULL,spain,NULL,NULL,3.770 Billion USD,"zardoya otis, s.a.",NULL,889 Million USD,industries
NULL,denmark,2.799 Billion USD,2.777 Billion USD,3.761 Billion USD,jyske bank a/s,"3,593","1,288 Million USD",financial services
NULL,uk,3.099 Billion USD,3.357 Billion USD,3.741 Billion USD,dunelm group,"6,519","1,574 Million USD",consumer cyclical
NULL,germany,3.507 Billion USD,4.700 Billion USD,3.730 Billion USD,compugroup medical societas europaea,NULL,"1,131 Million USD",healthcare
NULL,czech republic,3.235 Billion USD,3.507 Billion USD,3.720 Billion USD,o2 czech republic,"4,993","1,655 Million USD",communication services
NULL,faroe islands,4.482 Billion USD,4.161 Billion USD,3.709 Billion USD,p/f bakkafrost,"1,699",747 Million USD,consumer defensive
NULL,uk,NULL,NULL,3.707 Billion USD,darktrace plc,900,281 Million USD,artificial intelligence
NULL,germany,3.582 Billion USD,3.777 Billion USD,3.706 Billion USD,prosiebensat.1 media se,NULL,"4,957 Million USD",communication services
NULL,spain,3.109 Billion USD,2.975 Billion USD,3.679 Billion USD,acerinox,"8,331","7,396 Million USD",basic materials
NULL,sweden,3.094 Billion USD,3.198 Billion USD,3.663 Billion USD,peab ab (publ),"15,000","6,246 Million USD",industries
NULL,finland,2.486 Billion USD,3.732 Billion USD,3.661 Billion USD,metsa board oyj,"2,389","2,299 Million USD",basic materials
NULL,switzerland,3.031 Billion USD,3.258 Billion USD,3.659 Billion USD,galenica ag,"7,048","4,102 Million USD",healthcare
NULL,uk,3.632 Billion USD,2.646 Billion USD,3.657 Billion USD,virgin money uk,"8,613","1,793 Million USD",financial services
NULL,austria,3.873 Billion USD,3.626 Billion USD,3.656 Billion USD,oberbank ag,NULL,597 Million USD,financial services
NULL,uk,NULL,2.844 Billion USD,3.638 Billion USD,londonmetric property,NULL,157 Million USD,real estate
NULL,uk,2.734 Billion USD,2.828 Billion USD,3.637 Billion USD,bovis homes group,NULL,"2,137 Million USD",consumer cyclical
NULL,finland,2.387 Billion USD,3.909 Billion USD,3.631 Billion USD,tietoevry corporation,"23,632","3,114 Million USD",technology
NULL,uk,NULL,10.430 Billion USD,3.624 Billion USD,thg plc,"7,000","2,566 Million USD",ecommerce
NULL,belgium,2.756 Billion USD,2.611 Billion USD,3.624 Billion USD,compagnie d'entreprises cfe sa,NULL,"1,125 Million USD",industries
NULL,germany,2.951 Billion USD,3.419 Billion USD,3.624 Billion USD,mainova ag,"2,853","3,741 Million USD",utilities
NULL,sweden,NULL,NULL,3.623 Billion USD,fortnox ab (publ),NULL,99 Million USD,technology
NULL,uk,3.403 Billion USD,3.150 Billion USD,3.610 Billion USD,jet2 plc,NULL,"1,450 Million USD",industries
NULL,finland,3.693 Billion USD,3.874 Billion USD,3.609 Billion USD,tietoevry oyj,"23,632","3,114 Million USD",technology
NULL,uk,NULL,2.855 Billion USD,3.592 Billion USD,vistry group,"1,227","3,130 Million USD",real estate
NULL,france,3.476 Billion USD,3.991 Billion USD,3.592 Billion USD,imerys,"16,300","4,833 Million USD",basic materials
NULL,france,3.288 Billion USD,3.257 Billion USD,3.572 Billion USD,sopra steria group sa,"46,000","5,164 Million USD",technology
NULL,switzerland,1.887 Billion USD,2.526 Billion USD,3.564 Billion USD,interroll holding ag,NULL,664 Million USD,industries
NULL,russia,2.999 Billion USD,4.012 Billion USD,3.556 Billion USD,rostelecom,NULL,"5,261 Million USD",communication services
NULL,denmark,4.557 Billion USD,3.196 Billion USD,3.545 Billion USD,iss a/s,"471,056","10,562 Million USD",industries
NULL,luxembourg,3.661 Billion USD,3.449 Billion USD,3.545 Billion USD,reinet investments,NULL,"1,223 Million USD",financial services
NULL,germany,2.458 Billion USD,1.833 Billion USD,3.534 Billion USD,k+s,NULL,"3,544 Million USD",basic materials
NULL,switzerland,4.047 Billion USD,4.755 Billion USD,3.531 Billion USD,idorsia ltd,NULL,37 Million USD,healthcare
NULL,poland,NULL,NULL,3.503 Billion USD,bnp paribas bank polska s.a.,NULL,"12,388 Million USD",financial services
NULL,sweden,4.647 Billion USD,3.828 Billion USD,3.501 Billion USD,saab ab (publ),NULL,"4,150 Million USD",industries
NULL,spain,3.173 Billion USD,2.762 Billion USD,3.501 Billion USD,corporacion financiera alba,"1,783",259 Million USD,financial services
NULL,switzerland,3.149 Billion USD,3.622 Billion USD,3.484 Billion USD,allreal holding ag,NULL,598 Million USD,real estate
NULL,finland,0.589 Billion USD,1.682 Billion USD,3.456 Billion USD,qt group oyj,NULL,133 Million USD,technology
NULL,germany,0.645 Billion USD,1.976 Billion USD,3.452 Billion USD,tradegate ag wertpapierhandelsbank,NULL,252 Million USD,financial services
NULL,austria,1.254 Billion USD,1.805 Billion USD,3.440 Billion USD,pierer mobility ag,"4,586","2,040 Million USD",consumer cyclical
NULL,france,2.153 Billion USD,2.302 Billion USD,3.440 Billion USD,rothschild & co sca,"3,500","2,761 Million USD",financial services
NULL,uk,4.061 Billion USD,3.747 Billion USD,3.426 Billion USD,quilter,"4,325","6,218 Million USD",financial services
NULL,germany,2.307 Billion USD,3.836 Billion USD,3.426 Billion USD,hypoport ag,"2,049",446 Million USD,financial services
NULL,germany,2.984 Billion USD,2.681 Billion USD,3.412 Billion USD,freenet ag,"4,004","2,555 Million USD",communication services
NULL,uk,3.222 Billion USD,2.965 Billion USD,3.408 Billion USD,britvic,"4,460","1,864 Million USD",consumer defensive
NULL,switzerland,3.964 Billion USD,3.423 Billion USD,3.404 Billion USD,oc oerlikon corporation ag,NULL,"2,834 Million USD",industries
NULL,sweden,1.531 Billion USD,5.592 Billion USD,3.403 Billion USD,q-linea ab (publ),200,1 Million USD,healthcare
NULL,belgium,13.756 Billion USD,6.475 Billion USD,3.397 Billion USD,galapagos nv,"1,319",593 Million USD,healthcare
NULL,switzerland,1.915 Billion USD,2.207 Billion USD,3.374 Billion USD,inficon holding ag,NULL,515 Million USD,technology
NULL,finland,2.285 Billion USD,2.656 Billion USD,3.368 Billion USD,cargotec corporation,"11,552","3,656 Million USD",industries
NULL,germany,2.427 Billion USD,2.541 Billion USD,3.362 Billion USD,krones ag,NULL,"3,633 Million USD",industries
NULL,uk,2.500 Billion USD,2.591 Billion USD,3.353 Billion USD,onesavings bank,"1,828",NULL,financial services
NULL,france,3.666 Billion USD,3.575 Billion USD,3.346 Billion USD,gaztransport & technigaz sa,553,347 Million USD,energy
NULL,uk,3.492 Billion USD,3.278 Billion USD,3.344 Billion USD,hays,"11,377","7,760 Million USD",industries
NULL,france,3.928 Billion USD,4.005 Billion USD,3.310 Billion USD,korian,NULL,"4,754 Million USD",healthcare
NULL,netherlands,2.108 Billion USD,2.199 Billion USD,3.307 Billion USD,basic-fit,"5,110",375 Million USD,consumer cyclical
NULL,sweden,NULL,NULL,3.301 Billion USD,cint group ab (publ),299,138 Million USD,technology
NULL,germany,1.658 Billion USD,1.817 Billion USD,3.300 Billion USD,kuka,"13,676","3,285 Million USD",industries
