,name,rank,marketcap,country,share_price,change1d,change1y,categories
6504,Apollo Pipes,6024,$0.25 B,india,$6.44,3.24%,-19.80%,None
6505,MM Forgings,6010,$0.25 B,india,$10.64,0.85%,10.37%,None
6506,BigBear.ai,6013,$0.25 B,usa,$2.02,8.58%,-58.45%,it-services professional-services tech 
6507,Homeland Interactive Technology,6019,$0.25 B,china,$0.20,-1.27%,-16.67%,video-games entertainment 
6508,Groupon,6011,$0.25 B,usa,$8.44,1.38%,-61.70%,internet e-commerce tech 
6509,Weyco Group,6014,$0.25 B,usa,$26.56,0.00%,8.76%,footwear 
6510,Dakota Gold,6015,$0.25 B,usa,$3.49,2.05%,None,mining gold-mining 
6511,First Guaranty Bancshares,6017,$0.25 B,usa,$23.80,0.00%,13.93%,banks financial-services 
6512,XOMA,6009,$0.25 B,usa,$22.47,2.42%,0.67%,pharmaceuticals biotech 
6513,Information Services Group,6018,$0.25 B,usa,$5.31,0.76%,-23.27%,professional-services 
6514,RattanIndia Power,6006,$0.25 B,india,$0.05000,-1.27%,-50.00%,electricity energy 
6515,"Urban One
",6012,$0.25 B,usa,$5.95,1.19%,13.55%,media-press 
6516,SmileDirectClub,6005,$0.25 B,usa,$0.67,11.78%,-70.44%,None
6517,Tactile Medical,6007,$0.25 B,usa,$12.78,-1.01%,-28.92%,medical-devices 
6518,Lesaka Technologies,6004,$0.25 B,south-africa,$4.36,0.46%,-11.20%,financial-services tech 
6519,"Willdan Group
",6016,$0.25 B,usa,$19.20,2.24%,-39.18%,professional-services 
6520,SEACOR Marine,6008,$0.25 B,usa,$9.65,-1.57%,134.70%,transportation maritime-transportation 
6521,LianBio,6003,$0.25 B,usa,$2.39,0.69%,-51.69%,pharmaceuticals biotech 
6522,"Aurelius Group
",5594,$0.41 B,germany,$14.67,-20.81%,-56.39%,asset-management investment 
6523,GreenTree Hospitality,5598,$0.41 B,china,$4.05,0.00%,-43.83%,None
6524,First Western Financial,6002,$0.25 B,usa,$27.26,0.00%,-17.94%,banks financial-services 
6525,COMPASS Pathways,5600,$0.41 B,united-kingdom,$9.76,0.72%,-43.68%,healthcare 
6526,Akoya Biosciences,5588,$0.41 B,usa,$11.06,3.99%,-10.84%,biotech scientific-and-technical-instruments 
6527,"El Pollo Loco
",5597,$0.41 B,usa,$11.27,-0.18%,-18.75%,restaurant-chains food 
6528,Preformed Line Products,5591,$0.41 B,usa,$85.13,0.02%,34.11%,None
6529,McPhy Energy,5596,$0.41 B,france,$15.60,1.13%,-30.11%,energy renewable-energy 
6530,Eneti,5593,$0.41 B,None,$10.88,0.93%,41.67%,energy renewable-energy construction 
6531,Atea Pharmaceuticals,5599,$0.41 B,usa,$5.00,1.63%,-31.51%,pharmaceuticals biotech 
6532,"GAMCO Investors
",5590,$0.41 B,usa,$16.22,0.00%,None,investment financial-services 
6533,New Pacific Metals,5595,$0.41 B,canada,$2.66,0.00%,-2.21%,mining silver-mining 
6534,Giordano,5592,$0.41 B,hong-kong,$0.27,1.47%,42.11%,clothing retail 
6535,"The Manitowoc Company
",5589,$0.41 B,usa,$11.91,4.69%,-38.75%,manufacturing 
6536,Harrow Health,5587,$0.42 B,usa,$14.10,1.22%,65.88%,pharmaceuticals biotech 
6537,FutureFuel,5586,$0.42 B,usa,$9.62,1.05%,18.62%,chemicals renewable-energy energy biofuel 
6538,Luxfer,5583,$0.42 B,united-kingdom,$15.60,0.84%,-15.54%,aluminum manufacturing 
6539,MOIL,5581,$0.42 B,india,$2.09,0.86%,-9.52%,mining 
6540,"1-800-PetMeds
",5582,$0.42 B,usa,$20.16,1.64%,-15.98%,e-commerce internet tech 
6541,Chennai Petroleum,5584,$0.42 B,india,$2.84,0.57%,84.42%,oil-gas energy 
6542,"Gamania Digital
",5576,$0.42 B,taiwan,$2.44,2.07%,5.17%,video-games entertainment internet 
6543,"Avadel Pharmaceuticals
",5580,$0.42 B,ireland,$6.88,0.44%,7.50%,pharmaceuticals biotech 
6544,Liquidia Technologies,5579,$0.42 B,usa,$6.60,2.41%,5.52%,biotech pharmaceuticals 
6545,Enterprise Bancorp,5572,$0.42 B,usa,$35.42,-1.48%,-19.87%,banks financial-services 
6546,Jumia,5574,$0.42 B,germany,$4.29,-2.03%,-56.35%,internet e-commerce tech retail 
6547,"Paisalo Digital
",5571,$0.42 B,india,$0.96,0.39%,-90.92%,financial-services 
6548,Xperi,5585,$0.42 B,usa,$10.07,1.31%,-45.12%,semiconductors tech 
6549,Atlanticus,5578,$0.42 B,usa,$29.46,-0.81%,-59.03%,financial-services 
6550,JTEKT India,5573,$0.42 B,india,$1.75,3.12%,33.59%,automotive-suppliers 
6551,Great Lakes Dredge & Dock Corp.,5570,$0.43 B,usa,$6.50,1.32%,-56.60%,None
6552,Tallink Grupp,5577,$0.42 B,None,$0.56,-0.77%,-20.00%,cruise-lines transportation travel maritime-transportation 
6553,Vigil Neuroscience,5575,$0.42 B,usa,$12.04,0.37%,-13.97%,pharmaceuticals biotech 
6554,Archosaur Games,5561,$0.43 B,china,$0.54,6.00%,-52.63%,video-games entertainment 
6555,ON24,5567,$0.43 B,usa,$8.98,0.65%,-46.05%,software tech 
6556,"Mahindra Logistics
",5566,$0.43 B,india,$6.00,0.66%,-38.08%,None
6557,Vanda Pharmaceuticals,5568,$0.43 B,usa,$7.62,0.13%,-49.20%,pharmaceuticals biotech 
6558,Webzen,5562,$0.43 B,south-korea,$13.86,0.29%,None,video-games entertainment tech 
6559,West Coast Paper Mills,5569,$0.43 B,india,$6.53,0.05%,95.51%,pulp-and-paper 
6560,Blend Labs,5565,$0.43 B,usa,$1.82,3.94%,-74.27%,financial-services tech software 
6561,Aaron's,5560,$0.43 B,usa,$14.14,2.02%,-38.41%,furniture retail rental-and-leasing-services 
6562,Baozun,5563,$0.43 B,china,$7.36,0.14%,-45.44%,e-commerce internet tech 
6563,"Ring Energy
",5564,$0.43 B,usa,$2.48,2.48%,-11.43%,oil-gas energy 
6564,"Eagle Pharmaceuticals
",5556,$0.43 B,usa,$33.49,1.92%,-29.06%,pharmaceuticals biotech 
6565,"Kodiak Sciences
",5554,$0.43 B,usa,$8.34,2.08%,-86.71%,None
6566,Similarweb,5555,$0.43 B,israel,$5.74,0.61%,-66.30%,tech software internet 
6567,Dynamic Materials Corporation,5558,$0.43 B,usa,$22.29,1.55%,-52.15%,None
6568,ShotSpotter,5559,$0.43 B,usa,$35.69,1.65%,27.28%,software tech 
6569,Entrada Therapeutics,5557,$0.43 B,usa,$13.87,0.00%,73.16%,pharmaceuticals biotech 
6570,Southern Missouri Bancorp,5550,$0.43 B,usa,$47.49,-0.65%,-14.66%,banks financial-services 
6571,Fission Uranium,5553,$0.43 B,canada,$0.63,1.19%,-8.70%,uranium energy mining 
6572,"Orchid Island Capital
",5547,$0.43 B,usa,$12.06,0.71%,185.90%,real-estate investment reit 
6573,Barbeque Nation Hospitality ,5548,$0.43 B,india,$11.24,0.18%,-43.69%,restaurant-chains food 
6574,NGM Biopharmaceuticals,5551,$0.43 B,usa,$5.36,3.28%,-64.92%,biotech pharmaceuticals 
6575,"Arbutus Biopharma
",5539,$0.44 B,usa,$2.82,0.54%,-14.95%,pharmaceuticals 
6576,"Tutor Perini
",5546,$0.43 B,usa,$8.54,2.64%,-31.63%,construction 
6577,"Intrepid Potash
",5542,$0.44 B,usa,$32.78,1.74%,-23.00%,fertilizer 
6578,"National Fertilizers
",5538,$0.44 B,india,$0.91,-0.20%,13.75%,fertilizer 
6579,Dutch Lady Milk Industries,5543,$0.44 B,malaysia,$6.90,0.00%,-11.76%,dairy beverages 
6580,Destination XL,5552,$0.43 B,usa,$7.00,0.14%,23.46%,clothing retail 
6581,Sutro Biopharma,5540,$0.44 B,usa,$7.71,0.92%,-27.94%,biotech pharmaceuticals 
6582,IFB Industries,5541,$0.44 B,india,$10.92,-0.95%,-32.34%,home-and-kitchen-appliances manufacturing 
6583,Silvergate Capital,5545,$0.44 B,usa,$13.90,4.26%,-89.94%,banks financial-services 
6584,Global Indemnity,5549,$0.43 B,None,$29.99,-0.03%,12.11%,insurance 
6585,Axogen,5544,$0.44 B,usa,$10.42,0.10%,13.88%,biotech 
6586,Biglari,5529,$0.45 B,usa,$147.10,0.01%,10.38%,restaurant-chains food 
6587,Bel Fuse,5526,$0.45 B,usa,$36.47,0.72%,167.18%,electronics manufacturing 
6588,Civeo,5530,$0.45 B,usa,$32.85,1.08%,59.78%,None
6589,Carriage Services,5533,$0.44 B,usa,$30.55,-0.03%,-47.42%,None
6590,Microvision,5537,$0.44 B,usa,$2.69,8.03%,-30.31%,tech lidar tech-hardware autonomous-driving 
6591,Reservoir Media,5525,$0.45 B,usa,$7.02,2.33%,0.14%,media-press entertainment 
6592,Huuuge,5532,$0.44 B,usa,$5.71,1.31%,-15.03%,video-games entertainment 
6593,Kezar Life Sciences,5527,$0.45 B,usa,$6.58,0.38%,-50.04%,pharmaceuticals biotech 
6594,Largo,5535,$0.44 B,canada,$6.98,2.20%,-32.36%,batteries 
6595,Reach plc,5536,$0.44 B,united-kingdom,$1.06,-1.99%,-71.58%,media-press 
6596,"Lexicon Pharmaceuticals
",5528,$0.45 B,usa,$2.39,2.14%,-30.72%,pharmaceuticals biotech 
6597,Trinity Capital,5534,$0.44 B,usa,$12.74,0.24%,-28.06%,financial-services 
6598,"Newpark Resources
",5522,$0.45 B,usa,$4.82,0.21%,32.42%,oil-gas energy 
6599,Canoo,5524,$0.45 B,usa,$1.31,-1.50%,-79.21%,automakers electric-vehicles 
6600,Greene County Bancorp,5531,$0.44 B,usa,$52.85,0.00%,43.26%,banks financial-services 
6601,"Indoco Remedies
",5523,$0.45 B,india,$4.90,1.21%,-16.81%,pharmaceuticals biotech 
6602,Precigen,5520,$0.45 B,usa,$2.18,4.31%,-32.51%,pharmaceuticals 
6603,"Olympic Steel
",5516,$0.45 B,usa,$41.02,0.39%,66.95%,steel-industry steel-producers 
6604,"Mitek Systems
",5517,$0.45 B,usa,$10.21,0.20%,-37.13%,software tech 
6605,fuboTV,5518,$0.45 B,usa,$2.33,3.56%,-82.24%,media-press 
6606,SmartFinancial (SmartBank),5515,$0.45 B,usa,$27.06,-0.40%,-1.10%,banks financial-services 
6607,OPTiM,5511,$0.45 B,japan,$8.35,5.58%,-13.11%,tech software 
6608,"Digimarc
",5519,$0.45 B,usa,$22.70,3.80%,-38.32%,software tech 
6609,"Ramaco Resources
",5521,$0.45 B,usa,$10.28,3.31%,-26.31%,None
6610,Latham Group,5513,$0.45 B,usa,$3.91,1.85%,-80.37%,None
6611,Newtek,5514,$0.45 B,usa,$18.72,0.05%,-32.71%,investment 
6612,The Tinplate Company Of India ,5509,$0.46 B,india,$4.42,2.93%,2.08%,None
6613,Anika Therapeutics,5512,$0.45 B,usa,$31.36,0.80%,-8.33%,medical-devices 
6614,Gorilla Technology,5506,$0.46 B,taiwan,$6.36,-2.70%,-36.62%,software tech 
6615,Restaurant Brands New Zealand,5507,$0.46 B,new-zealand,$3.72,2.11%,-62.31%,restaurant-chains food 
6616,"Beazer Homes USA
",5508,$0.46 B,usa,$14.78,2.71%,-32.45%,construction 
6617,Powell Industries,5510,$0.46 B,usa,$38.94,2.12%,35.96%,None
6618,GH Research,5400,$0.51 B,ireland,$9.98,4.39%,-42.97%,biotech pharmaceuticals 
6619,Sohu.com,5394,$0.52 B,china,$15.46,-0.13%,-10.01%,internet tech video-games entertainment 
6620,Action Construction Equipment,5502,$0.46 B,india,$3.92,1.79%,20.99%,construction 
6621,"Big Lots
",5391,$0.52 B,usa,$18.06,3.67%,-58.40%,None
6622,Alerus Financial,5505,$0.46 B,usa,$23.24,-0.21%,-21.19%,banks financial-services 
6623,Gevo,5402,$0.51 B,usa,$2.18,3.07%,-46.71%,energy biofuel renewable-energy 
6624,Runway Growth Finance,5392,$0.52 B,usa,$12.89,0.00%,-2.27%,financial-services 
6625,Gladstone Investment,5504,$0.46 B,usa,$13.99,1.08%,-13.80%,investment 
6626,"AVEO Oncology
",5396,$0.52 B,usa,$14.99,0.07%,279.49%,pharmaceuticals biotech 
6627,Equity BancShares,5397,$0.52 B,usa,$32.67,-0.03%,-6.12%,banks financial-services 
6628,Bandwidth,5381,$0.52 B,usa,$20.76,4.45%,-69.44%,telecommunication 
6629,Nuvation Bio,5390,$0.52 B,usa,$2.40,2.35%,-57.38%,pharmaceuticals biotech 
6630,Ituran,5503,$0.46 B,israel,$22.95,0.44%,-13.46%,None
6631,TuSimple,5383,$0.52 B,usa,$2.32,6.65%,-90.56%,tech software autonomous-driving 
6632,Hyzon Motors,5373,$0.52 B,usa,$2.12,2.66%,-55.91%,electric-vehicles hydrogen-fuel-cell specialty-vehicles manufacturing 
6633,Heidelbergcement India,5393,$0.52 B,india,$2.30,0.73%,-28.57%,cement building-materials 
6634,Alta Equipment Group,5374,$0.52 B,usa,$16.43,1.85%,11.08%,rental-and-leasing-services 
6635,Argan,5375,$0.52 B,usa,$38.95,0.39%,-1.64%,None
6636,NanoString Technologies,5388,$0.52 B,usa,$11.23,5.15%,-68.70%,None
6637,Sprague Resources LP,5384,$0.52 B,usa,$20.00,0.10%,17.51%,energy oil-gas 
6638,Repare Therapeutics,5379,$0.52 B,canada,$12.55,-0.48%,-17.60%,pharmaceuticals biotech 
6639,Esperion Therapeutics,5395,$0.52 B,usa,$6.99,-0.14%,77.86%,pharmaceuticals biotech 
6640,HilleVax,5387,$0.52 B,usa,$15.71,1.35%,None,biotech pharmaceuticals 
6641,PORR,5378,$0.52 B,None,$13.49,0.98%,-11.48%,construction 
6642,Avacta Group,5372,$0.53 B,united-kingdom,$1.99,5.44%,99.00%,pharmaceuticals biotech diagnostics 
6643,Grupo Supervielle,5385,$0.52 B,None,$3.20,3.06%,65.54%,banks financial-services 
6644,HomeStreet Bank,5376,$0.52 B,usa,$28.23,0.39%,-50.15%,banks financial-services 
6645,"Bank of Marin Bancorp
",5399,$0.51 B,usa,$32.40,-0.92%,-18.12%,banks financial-services 
6646,Benson Hill,5377,$0.52 B,usa,$2.56,0.20%,-33.98%,agriculture 
6647,CareMax,5382,$0.52 B,usa,$4.74,4.87%,-28.07%,healthcare medical-care-facilities 
6648,Amprius Technologies,5370,$0.53 B,usa,$6.28,0.32%,None,batteries 
6649,Inogen,5367,$0.53 B,usa,$23.25,2.83%,-24.51%,medical-devices 
6650,"Liquidity Services
",5362,$0.53 B,usa,$14.96,1.46%,-29.01%,internet e-commerce tech 
6651,"FRP Holdings
",5368,$0.53 B,usa,$56.25,0.00%,-2.80%,real-estate 
6652,Artivion,5380,$0.52 B,usa,$13.04,1.88%,-28.42%,medical-devices biotech 
6653,Simona,5361,$0.53 B,germany,$89.60,-0.60%,-12.76%,chemicals 
6654,Centrus Energy,5371,$0.53 B,usa,$36.46,0.18%,-20.90%,energy uranium 
6655,MetroCity Bankshares,5365,$0.53 B,usa,$21.10,0.38%,-24.59%,banks financial-services 
6656,Lilium,5366,$0.53 B,germany,$1.36,0.74%,-78.58%,aircraft-manufacturers aerospace manufacturing 
6657,DouYu,5358,$0.53 B,china,$1.70,3.03%,-30.61%,internet 
6658,Safari Industries India,5364,$0.53 B,india,$22.53,1.60%,82.58%,None
6659,"Purple Innovation
",5356,$0.54 B,usa,$5.91,2.25%,-43.28%,furniture 
6660,CIRCOR International,5363,$0.53 B,usa,$26.30,0.92%,7.00%,manufacturing 
6661,Tsakos Energy Navigation,5360,$0.53 B,None,$18.78,2.45%,130.43%,maritime-transportation transportation oil-gas energy 
6662,AlloVir,5369,$0.53 B,usa,$5.70,0.26%,-37.76%,pharmaceuticals biotech 
6663,"Evolus
",5350,$0.54 B,usa,$9.66,14.18%,68.00%,None
6664,Bed Bath & Beyond,5337,$0.54 B,usa,$4.68,13.08%,-69.72%,retail 
6665,"Viad
",5347,$0.54 B,usa,$26.31,-0.42%,-35.40%,None
6666,Ramkrishna Forgings,5359,$0.53 B,india,$3.37,1.31%,-76.03%,None
6667,"Arcturus Therapeutics
",5353,$0.54 B,usa,$20.39,5.98%,-39.10%,pharmaceuticals biotech mrna-therapeutics 
6668,FDC India,5357,$0.53 B,india,$3.25,-0.41%,-19.95%,pharmaceuticals biotech 
6669,Varroc,5346,$0.54 B,india,$3.56,-0.43%,-40.27%,automotive-suppliers 
6670,"CSB Bank
",5352,$0.54 B,india,$3.12,3.15%,-5.17%,banks pharmaceuticals 
6671,First Financial,5345,$0.54 B,usa,$45.39,-0.44%,-0.37%,financial-services 
6672,Canaan,5332,$0.55 B,china,$3.22,3.74%,-43.38%,tech bitcoin tech-hardware bitcoin-mining 
6673,Vinci Partners,5351,$0.54 B,brazil,$9.52,2.81%,-21.84%,asset-management investment financial-services 
6674,Tremor International,5354,$0.54 B,israel,$7.50,1.35%,-47.55%,advertising 
6675,Patriot Battery Metals,5340,$0.54 B,canada,$5.91,-1.61%,"1,243.18%",mining 
6676,"Vaalco Energy
",5349,$0.54 B,usa,$5.02,3.62%,22.32%,oil-gas energy 
6677,Butterfly Network,5344,$0.54 B,usa,$2.72,7.59%,-59.73%,medical-devices 
6678,Microvast,5338,$0.54 B,usa,$1.78,3.20%,-65.40%,batteries electricity 
6679,"PennantPark Floating Rate
",5343,$0.54 B,usa,$12.04,-0.21%,-7.95%,investment 
6680,Trustpilot Group,5355,$0.54 B,denmark,$1.30,2.11%,-60.84%,internet tech 
6681,AngioDynamics,5333,$0.55 B,usa,$14.08,1.81%,-37.78%,medical-devices 
6682,OneSpan,5342,$0.54 B,usa,$13.79,2.45%,-14.40%,it-security software tech 
6683,"Tejon Ranch
",5348,$0.54 B,usa,$20.52,1.21%,13.85%,real-estate agriculture 
6684,Havertys,5334,$0.55 B,usa,$34.14,1.12%,12.63%,furniture retail 
6685,Arrow Financial,5335,$0.55 B,usa,$33.29,0.27%,-8.24%,banks financial-services 
6686,Calliditas Therapeutics,5339,$0.54 B,sweden,$20.44,0.84%,-11.78%,pharmaceuticals biotech 
6687,Mercantile Bank,5341,$0.54 B,usa,$34.51,-5.68%,-8.46%,banks financial-services 
6688,"Oil States International
",5326,$0.55 B,usa,$8.69,0.46%,31.47%,oil-gas energy 
6689,"B Communications
",5327,$0.55 B,israel,$5.17,-1.01%,10.94%,telecommunication 
6690,NuScale Power,5321,$0.55 B,usa,$10.74,3.17%,None,energy electricity uranium 
6691,"Suprajit Engineering
",5325,$0.55 B,india,$4.01,-1.00%,-30.02%,auto-parts automotive-suppliers manufacturing 
6692,DXP Enterprises,5319,$0.55 B,usa,$29.82,0.10%,14.56%,None
6693,Hyster-Yale Materials Handling,5331,$0.55 B,usa,$32.64,2.53%,-27.20%,None
6694,nLIGHT,5330,$0.55 B,usa,$12.22,3.74%,-46.57%,semiconductors tech tech-hardware 
6695,ElringKlinger,5328,$0.55 B,germany,$8.74,0.25%,-39.52%,automotive-suppliers manufacturing 
6696,"REX American Resources
",5324,$0.55 B,usa,$31.95,0.06%,-69.84%,biofuel renewable-energy energy 
6697,Procaps Group,5320,$0.55 B,None,$4.94,3.13%,-45.11%,pharmaceuticals biotech 
6698,"Vertex Energy
",5322,$0.55 B,usa,$7.36,2.79%,43.75%,oil-gas energy 
6699,"Capital City Bank Group
",5336,$0.55 B,usa,$32.44,-0.64%,16.40%,banks financial-services 
6700,Anora Group,5329,$0.55 B,finland,$8.20,0.67%,-33.71%,alcoholic-beverages beverages 
6701,Playstudios,5303,$0.56 B,usa,$4.38,1.98%,-3.21%,video-games tech 
6702,Tiptree,5317,$0.56 B,usa,$15.46,0.81%,12.15%,insurance 
6703,EverQuote,5323,$0.55 B,usa,$17.30,2.98%,6.92%,insurance internet 
6704,Diamond Hill Investment Group,5318,$0.56 B,usa,$185.82,-0.19%,0.45%,investment asset-management 
6705,Central Pacific Financial,5315,$0.56 B,usa,$20.60,-1.13%,-33.42%,banks financial-services 
6706,SI-BONE,5310,$0.56 B,usa,$16.37,1.80%,-27.76%,medical-devices biotech 
6707,Obsidian Energy,5314,$0.56 B,canada,$6.82,2.63%,6.97%,energy oil-gas 
6708,"Fate Therapeutics
",5311,$0.56 B,usa,$5.81,1.57%,-86.58%,biotech pharmaceuticals 
6709,Phillips Carbon Black,5312,$0.56 B,india,$3.24,0.22%,-2.11%,None
6710,Kura Sushi USA,5304,$0.56 B,usa,$57.96,0.85%,5.44%,restaurant-chains food 
6711,SmartRent,5313,$0.56 B,usa,$2.84,4.41%,-64.01%,software tech 
6712,Brasil Agro,5309,$0.56 B,brazil,$5.72,-0.87%,11.07%,agriculture real-estate investment reit 
6713,"Senseonics Holdings
",5306,$0.56 B,usa,$1.18,2.16%,-58.27%,medical-devices 
6714,Boss Energy,5305,$0.56 B,australia,$1.61,-1.28%,-3.01%,uranium energy mining 
6715,"Calavo Growers
",5299,$0.56 B,usa,$32.14,0.09%,-25.34%,food 
6716,Cerus,5308,$0.56 B,usa,$3.19,1.59%,-45.38%,medical-devices biotech 
6717,"Bluegreen Vacations
",5298,$0.57 B,usa,$28.88,0.84%,-11.30%,hotels travel 
6718,"Broadmark Realty Capital
",5290,$0.57 B,usa,$4.32,3.33%,-55.88%,reit real-estate investment financial-services 
6719,Landec,5999,$0.25 B,usa,$8.76,-3.52%,-20.07%,food 
6720,"Radiant Logistics
",5995,$0.26 B,usa,$5.40,2.27%,-20.24%,transportation 
6721,Focus Universal,5993,$0.26 B,usa,$6.01,-1.80%,-25.53%,iot tech tech-hardware 
6722,"Central Valley Community Bancorp
",5997,$0.25 B,usa,$22.15,0.91%,-3.86%,banks financial-services 
6723,Schneider Electric Infrastructure,5302,$0.56 B,india,$2.38,-0.28%,52.56%,None
6724,Marinus Pharmaceuticals,5994,$0.26 B,usa,$5.26,3.75%,-52.48%,pharmaceuticals biotech 
6725,Alpine Income Property Trust,5998,$0.25 B,usa,$19.75,0.00%,-1.30%,real-estate investment reit 
6726,Enad Global 7,5996,$0.26 B,sweden,$2.94,1.26%,-6.37%,video-games entertainment 
6727,Fathom Digital Manufacturing,6000,$0.25 B,usa,$1.91,1.06%,-77.40%,manufacturing 3d-printing 
6728,Hyderabad Industries Limited,5989,$0.26 B,india,$34.90,-0.38%,-43.37%,None
6729,"Addiko Bank
",5992,$0.26 B,None,$12.98,0.42%,-18.47%,banks financial-services 
6730,Innovid,5987,$0.26 B,usa,$1.97,-0.51%,-69.79%,advertising 
6731,"22nd Century Group
",5991,$0.26 B,usa,$1.22,6.09%,-50.61%,cannabis tobacco 
6732,Cognyte Software,5988,$0.26 B,israel,$3.86,0.13%,-70.30%,software tech 
6733,Ocwen,5990,$0.26 B,usa,$34.62,0.00%,-14.88%,financial-services 
6734,Fabasoft,5986,$0.26 B,None,$24.00,2.08%,-36.17%,software tech 
6735,Puravankara,5984,$0.26 B,india,$1.11,1.80%,-43.65%,real-estate 
6736,The Container Store,5982,$0.26 B,usa,$5.24,1.45%,-50.61%,retail 
6737,Markforged,5979,$0.26 B,usa,$1.37,-1.44%,-72.04%,3d-printing tech 
6738,Motorcar Parts of America,5978,$0.26 B,usa,$13.70,1.37%,-23.35%,auto-parts 
6739,"Upland Software
",5985,$0.26 B,usa,$8.31,2.59%,-58.88%,software tech 
6740,Asiasoft,5980,$0.26 B,thailand,$0.52,2.38%,-23.53%,video-games entertainment 
6741,"Kimball International
",5983,$0.26 B,usa,$7.24,0.21%,-32.29%,furniture 
6742,Performant Financial,5976,$0.26 B,usa,$3.59,0.56%,66.98%,financial-services 
6743,AirSculpt Technologies,5977,$0.26 B,usa,$4.74,1.28%,-68.61%,None
6744,Nkarta,5981,$0.26 B,usa,$5.44,1.40%,-51.43%,pharmaceuticals biotech 
6745,Selecta Biosciences,5971,$0.26 B,usa,$1.75,3.55%,-36.82%,biotech pharmaceuticals 
6746,Nerdy,5974,$0.26 B,usa,$2.86,3.06%,-29.95%,education tech software 
6747,Acrivon Therapeutics,5973,$0.26 B,usa,$12.80,0.00%,None,pharmaceuticals biotech 
6748,"Lineage Cell Therapeutics
",5975,$0.26 B,usa,$1.57,2.61%,-16.93%,pharmaceuticals 
6749,Sequent Scientific,5972,$0.26 B,india,$1.07,-1.47%,-57.54%,pharmaceuticals 
6750,Babylon Holdings,5969,$0.26 B,united-kingdom,$10.85,1.50%,74.44%,tech software healthcare telehealth internet 
6751,Stellus Capital,5968,$0.26 B,usa,$13.77,0.18%,4.75%,financial-services investment 
6752,Prime Focus,5962,$0.27 B,india,$0.90,1.10%,1.12%,None
6753,"Rupa Company
",5967,$0.26 B,india,$3.39,0.22%,-51.78%,clothing 
6754,"MSTC Limited
",5965,$0.26 B,india,$3.82,0.39%,-23.45%,e-commerce tech internet 
6755,Terran Orbital,5963,$0.27 B,usa,$1.90,2.70%,-80.79%,aerospace 
6756,Somany Ceramics,5966,$0.26 B,india,$6.34,0.84%,-48.16%,None
6757,Orange County Bancorp,5964,$0.27 B,usa,$47.87,0.00%,16.19%,banks financial-services 
6758,Solo Brands,5970,$0.26 B,usa,$4.22,2.93%,-73.51%,None
6759,"AMMO
",5952,$0.27 B,usa,$2.34,0.21%,-51.25%,None
6760,Timberland Bancorp,5954,$0.27 B,usa,$33.14,-0.18%,13.03%,banks financial-services financial-services 
6761,Kaltura,5951,$0.27 B,usa,$2.06,0.49%,-33.97%,software tech 
6762,Confidence Petroleum,5959,$0.27 B,india,$0.96,0.19%,-7.69%,oil-gas energy 
6763,"SpiceJet
",5955,$0.27 B,india,$0.45,0.27%,-47.67%,airlines travel transportation 
6764,People Can Fly,5958,$0.27 B,poland,$9.06,-1.01%,-34.87%,video-games entertainment tech 
6765,Devolver Digital,5957,$0.27 B,usa,$0.61,-1.96%,-78.97%,video-games entertainment 
6766,Humacyte,5960,$0.27 B,usa,$2.63,1.54%,-51.39%,biotech 
6767,HireQuest,5950,$0.27 B,usa,$19.79,0.00%,8.86%,staffing-employment professional-services 
6768,Pangaea Logistics Solutions,5956,$0.27 B,usa,$5.92,1.89%,49.12%,transportation maritime-transportation 
6769,"Qudian
",5953,$0.27 B,china,$1.08,1.40%,2.36%,internet tech financial-services 
6770,Landsea Homes,5961,$0.27 B,usa,$6.62,3.12%,-11.14%,construction real-estate 
6771,PolyMet,5949,$0.27 B,canada,$2.71,2.61%,10.12%,mining 
6772,Fire Rock,5947,$0.27 B,china,$0.07000,9.80%,-36.36%,video-games entertainment 
6773,Kinnate Biopharma,5948,$0.27 B,usa,$6.24,1.22%,-59.11%,pharmaceuticals biotech 
6774,India Glycols,5944,$0.27 B,india,$8.90,-0.95%,-35.41%,None
6775,Lordstown Motors,5943,$0.27 B,usa,$1.20,1.75%,-59.16%,automakers electric-vehicles 
6776,Ur Energy,5945,$0.27 B,usa,$1.24,1.23%,0.41%,uranium energy mining 
6777,SKYX Platforms,5940,$0.27 B,usa,$3.36,5.00%,None,electronics 
6778,Daseke,5942,$0.27 B,usa,$6.18,2.66%,-34.74%,transportation 
6779,Unity Bancorp,5938,$0.27 B,usa,$26.50,-0.38%,-7.99%,banks financial-services 
6780,Ethos Watches,5937,$0.27 B,india,$11.97,-0.93%,None,luxury-goods 
6781,"Genie Energy
",5941,$0.27 B,usa,$10.73,-0.65%,102.07%,energy oil-gas utility-companies 
6782,MVB Financial,5934,$0.28 B,usa,$22.23,0.00%,-45.30%,financial-services banks 
6783,Chicago Atlantic Real Estate Finance,5946,$0.27 B,usa,$15.60,0.52%,-14.66%,real-estate investment 
6784,"NACCO Industries
",5933,$0.28 B,usa,$38.24,1.32%,9.01%,mining 
6785,TrueCar,5939,$0.27 B,usa,$3.16,1.28%,-15.28%,None
6786,SoundHound AI,5932,$0.28 B,usa,$1.42,5.19%,None,tech software 
6787,Grindrod Shipping,5931,$0.28 B,singapore,$14.80,1.44%,-19.13%,transportation maritime-transportation 
6788,Ocugen,5935,$0.28 B,usa,$1.28,1.65%,-67.98%,pharmaceuticals biotech 
