,name,industry,sector,headquarters,founded,notes
1583,mkb bank,financials,banks,budapest,1950,commercial bank
1584,mol group,oil & gas,exploration & production,budapest,1957,petrol and gas
1585,mtva,consumer services,broadcasting & entertainment,budapest,2011,national media provider
1586,mvk zrt.,consumer services,travel & tourism,miskolc,1954,public transport
1587,mvm group,utilities,conventional electricity,budapest,1948,"power, electricity distribution"
1588,neocoregames,technology,software,budapest,2005,video games
1589,oncotherm,health care,medical equipment,budapest,1988,medical devices
1590,organica technologies,utilities,water,budapest,1998,wastewater treatment plants construction
1591,orion electronics,industrials,electronic equipment,budapest,1913,microelectronics
1592,otp bank,financials,banks,budapest,1949,financial services
1593,pannon,telecommunications,mobile telecommunications,törökbálint,1994,"telecommunications, part of telenor (norway)"
1594,pannonia film studio,consumer services,broadcasting & entertainment,budapest,1956,animation studio
1595,panrusgáz,oil & gas,exploration & production,budapest,1994,natural gas
1596,pécs brewery,consumer goods,brewers,pécs,1848,brewery
1597,pick szeged,consumer goods,food products,szeged,1869,cold cuts
1598,prezi,technology,software,budapest,2009,visual storytelling software development
1599,puli space technologies,industrials,aerospace,budapest,2010,space technology
1600,rába,consumer goods,automobiles,győr,1896,vehicles
1601,scarab research,technology,software,budapest,2009,research
1602,state printing company,consumer services,publishing,budapest,1851,printing
1603,szerencsejáték zrt.,consumer services,gambling,budapest,1991,gambling service provider
1604,takarékbank,financials,banks,budapest,1989,financial services
1605,thalesnano,industrials,electronic equipment,budapest,2002,flow chemistry products
1606,tisza cipő,consumer goods,clothing & accessories,martfű,1942,apparel
1607,törley,consumer goods,distillers & vintners,budapest,1882,champagne producer
1608,travel service,consumer services,airlines,budapest,2001,airline
1609,trigránit,financials,real estate holding & development,budapest,1997,development
1610,tungsram,industrials,electrical components & equipment,újpest,1896,"vacuum tubes, light bulbs, now part of general electric (usa)"
1611,turner broadcasting system hungary,consumer services,broadcasting & entertainment,budapest,?,part of time warner (usa)
1612,upc magyarország,telecommunications,fixed line telecommunications,budapest,1998,"telecommunications, part of liberty global (usa)"
1613,videoton,consumer goods,consumer electronics,székesfehérvár,1938,electric goods
1614,virusbuster,technology,computer services,budapest,1997,computer security
1615,vodafone hungary,telecommunications,mobile telecommunications,budapest,1999,"mobile, part of the vodafone group (uk)"
1616,wizz air,consumer services,airlines,budapest,2003,airline
1617,zen studios,technology,software,budapest,2003,video games
1618,zsolnay,consumer goods,durable household products,pécs,1853,porcelain manufacturer
1619,zwack,consumer goods,distillers & vintners,budapest,1790,short drinks
1620,abrakebabra,consumer services,food retailers & wholesalers,dublin,1982,"fast-food, part of abrakebabra investments"
1621,abrakebabra investments,consumer services,food retailers & wholesalers,dublin,1982,restaurant holding company
1622,accenture,industrials,business support services,dublin,1989,management consulting
1623,aer lingus,consumer services,airlines,dublin,1936,"flag carrier, part of international airlines group (spain)"
1624,aer lingus regional,consumer services,airlines,dublin,2010,"commuter and regional airline, part of aer lingus"
1625,aercap,industrials,transport,dublin,2006,aircraft leasing
1626,aircoach,consumer services,travel & tourism,dublin,1999,part of firstgroup (uk)
1627,airtricity,utilities,alternative electricity,dublin,1997,"electricity generation, part of scottish and southern energy (uk)"
1628,allied irish banks (aib),financials,banks,dublin,1966,one of the big four banks
1629,an post,industrials,delivery services,dublin,1984,postal services
1630,apache pizza,consumer services,food retailers & wholesalers,dublin,2006,pizza chain
1631,aptiv,industrials,automotive,dublin,1994,automotive technology supplier
1632,arnotts,consumer services,broadline retailers,dublin,1843,"department store, part of selfridges (uk)"
1633,baltimore technologies,technology,internet,dublin,1976,part of oryx international growth fund
1634,bank of ireland,financials,banks,dublin,1783,one of the big four banks
1635,barry's tea,consumer goods,beverages,cork,1901,one of the largest importers of tea in ireland
1636,bewley's,consumer services,food retailers & wholesalers,dublin,1840,hot beverages
1637,bord na móna,utilities,multiutilities,newbridge,1946,power generation and land development
1638,boylesports,consumer services,gambling,dundalk,1989,betting shops
1639,bt ireland,telecommunications,fixed line telecommunications,dublin[2],1990,"part of bt group (uk), formerly esat bt"
1640,bus éireann,consumer services,travel & tourism,dublin,1987,"irish national bus company, part of cié"
1641,butlers chocolates,consumer goods,food products,dublin,1932,luxury chocolate and chocolate products
1642,bwg foods,consumer services,food retailers & wholesalers,dublin,1963[3],wholesaler and grocery franchise
1643,c&c group,consumer goods,brewers,dublin,1852,alcoholic drinks
1644,central bank of ireland,financials,banks,dublin,1943,central bank and financial services regulator
1645,cié,consumer services,travel & tourism,dublin,1945,public transportation
1646,cityjet,consumer services,airlines,dublin,1992,regional airline
1647,communicorp,consumer services,broadcasting & entertainment,dublin,1989,media holdings
1648,covidien,health care,medical equipment,dublin,2007,merged with medtronic in 2016
1649,crh plc,industrials,building materials & fixtures,dublin,1936,building materials and retail
1650,cúram software,technology,software,dublin,1990,"social enterprise management software, acquired by ibm"
1651,daa,consumer services,transportation services,dublin,1937,"airport management, formerly the dublin airport authority"
1652,dcc plc,industrials,business support services,dublin,1976,sales and marketing support
1653,dealz,consumer services,broadline retailers,dublin,2011,"discount retail, part of poundland (uk)"
1654,digiweb,telecommunications,fixed line telecommunications,dundalk,1997,broadband
1655,doolittles,consumer services,food retailers & wholesalers,laghey,2001,lliquidated in 2009
1656,dublin bus,consumer services,travel & tourism,dublin,1987,"bus company, part of cié"
1657,dunnes stores,consumer services,broadline retailers,dublin,1944,retail chain
1658,eaton corporation,conglomerate,-,dublin,1911,-
1659,eason & son,consumer services,specialty retailers,dublin,1819,book stores
1660,ebs,financials,banks,dublin,1935,financing
1661,eddie rocket's,consumer services,food retailers & wholesalers,dublin,1989,american-style food chain
1662,edun,consumer goods,clothing & accessories,dublin,2005,"fashion brand, part of lvmh (france)"
1663,eir,telecommunications,fixed line telecommunications,dublin,1999,broadband
1664,eir sport,consumer services,broadcasting & entertainment,dublin,1990,"sports television, part of eir"
1665,energia group,utilities,conventional electricity,belfast,1998,"electricity generation, formerly viridian group"
1666,eqtec,utilities,alternative electricity,cork,2005,renewable energy
1667,ervia,utilities,gas distribution,cork,1976,gas and electricity distribution
1668,esb group,utilities,conventional electricity,dublin,1927,electricity distribution and generation
1669,experian,financials,business services,dublin,1996,credit services
1670,fbd holdings,financials,full line insurance,dublin,1969,auto and property insurance
1671,fineos,technology,software,dublin,1993,software development
1672,first trust bank,financials,banks,belfast,1991,"one of the big four banks, part of allied irish banks"
1673,four star pizza,consumer services,food retailers & wholesalers,dublin,1986,fast-food pizza chain
1674,fyffes,consumer goods,food products,dublin,1888,banana and fruit importers
1675,glanbia,consumer goods,food products,kilkenny,1997,nutrition
1676,glendimplex,consumer goods,consumer electronics,dublin,1973,manufacturer of consumer electrical goods
1677,gocar,consumer services,specialized consumer services,dublin,2008,car sharing service
1678,greencore,consumer goods,food products,dublin,1991,food conglomerate
1679,guineys,consumer services,apparel retailers,dublin,1971,clothing and department stores
1680,guinness,consumer goods,brewers,dublin,1759,part of diageo (uk)
1681,havok,technology,software,dublin,1998,"software development, part of microsoft (us)"
1682,heatons,consumer services,broadline retailers,dublin,1946,"department stores, part of sports direct (uk)"
1683,horizon therapeutics,consumer services,biopharmaceutical,dublin,2005,pharmaceutical
1684,iarnród éireann,consumer services,travel & tourism,dublin,1987,"passenger rail company, part of cié"
1685,independent news & media,consumer services,publishing,dublin,1904,news publisher
1686,insomnia coffee company,consumer services,food retailers & wholesalers,dublin,1997,coffee chain
1687,intel ireland,technology,semiconductors,leixlip,1989,largest manufacturing plant outside of the united states
1688,iona technologies,technology,software,dublin,1991,acquired by progress software in 2008
1689,irish citylink,consumer services,travel & tourism,dublin,1994,part of comfortdelgro (singapore)
1690,irish continental group,industrials,industrial transportation,dublin,1972,shipping and transport
1691,irish ferries,industrials,industrial transportation,dublin,1992,part of irish continental group
1692,johnson controls,industrials,electrical components & equipment,cork,1885,electronic equipment
1693,kbc bank ireland,financials,banks,dublin,1973,formerly iib bank
1694,kerry group,consumer goods,food products,tralee,1972,food and dairy
1695,kingspan group,industrials,building materials,dublin,1966,building materials
1696,laya healthcare,financials,life insurance,little island,1997,private health insurance
1697,magnet networks,telecommunications,fixed line telecommunications,dublin,2004,broadband
1698,mannok,industrials,building materials & fixtures,derrylin,1973,"construction, formerly aventas and the quinn group"
1699,medtronic,health care,medical equipment,dublin,1949,"medical devices, operational headquarters in fridley, minnesota (us)"
1700,meteor,telecommunications,mobile telecommunications,dublin,1998,merged into eir
1701,metro,consumer services,travel & tourism,belfast,1973,"formerly citybus, part of northern ireland transport holding company"
1702,musgrave group,consumer services,food retailers & wholesalers,cork,1876,food and grocery
1703,national lottery,consumer services,gambling,dublin,1987,"national lottery, part of private firm premier lotteries ireland"
1704,ni railways,consumer services,travel & tourism,belfast[4],1967,"passenger rail, part of northern ireland transport holding company"
1705,norkom,technology,software,dublin,1998,now a part of detica
1706,northern ireland electricity,utilities,conventional electricity,belfast,1991,part of esb group
1707,northern ireland transport holding company,consumer services,travel & tourism,belfast[5],1967,"holding company for passenger bus and rail, branded as translink"
1708,ntr plc,utilities,alternative electricity,dublin,1978,infrastructure development
1709,oatfield,consumer goods,food products,letterkenny,1927,"defunct, brand now part of zed candy"
1710,o'briens irish sandwich bars,consumer services,food retailers & wholesalers,dublin,1988,"sandwich chain, part of abrakebabra investments"
1711,openet,technology,software,dublin,1999,telecom software
1712,paddy power,consumer services,gambling,dublin,1988,betting shops
1713,pat the baker,consumer goods,baked goods,granard,1953[6],bakery
1714,permanent tsb,financials,life insurance,dublin,1884,"financial services, life insurance"
1715,penneys,consumer services,apparel retailers,dublin,1962,part of associated british foods (uk)
1716,rabobank ireland,financials,banks,dublin,1994,part of rabobank (netherlands)
1717,raidió teilifís éireann (rté),consumer services,broadcasting & entertainment,dublin,1960,television and radio
1718,ryanair,consumer services,airlines,dublin,1985,low-cost airline
1719,shire,health care,pharmaceuticals,dublin,1986,biopharmaceutical
1720,smart telecom,telecommunications,mobile telecommunications,dublin,1989,"telecom, defunct 2011"
1721,smurfit kappa,consumer goods,paper,dublin,1934,packaging
1722,smyths,consumer services,specialty retailers,galway,1986,toy retailer
1723,stobart air,consumer services,airlines,dublin,2014,"regional airline, defunct 2021"
1724,supermac's,consumer services,food retailers & wholesalers,ballybrit[7],1978,fast food chain
1725,supervalu,consumer services,food retailers & wholesalers,cork,1968,supermarkets
1726,teilifís na gaeilge,consumer services,broadcasting & entertainment,baile na habhann,2007,operator of tg4 and cúla 4
1727,tesco ireland,consumer services,food retailers & wholesalers,dublin,1997,"supermarkets, part of tesco (uk)"
1728,the airporter,consumer services,travel & tourism,derry,1990,coach connection between derry and belfast airports
1729,the irish times,consumer services,publishing,dublin,1859,daily newspaper
1730,thomas crosbie holdings,consumer services,publishing,cork,1841,"newspaper holdings, defunct 2013"
1731,three ireland,telecommunications,fixed line telecommunications,dublin,2005,part of ck hutchison holdings (hong kong)
1732,tipperary natural mineral water,consumer goods,beverages,borrisoleigh,1986,"mineral water, part of the gleeson group"
1733,today fm,consumer services,broadcasting & entertainment,dublin,1997,subsidiary of communicorp
1734,trane technologies,conglomerate,-,swords,1871,-
1735,transport infrastructure ireland,industrials,heavy construction,dublin,2015,national road and public transport infrastructure
1736,virgin media television,consumer services,broadcasting & entertainment,dublin,1998,"television, part of virgin media ireland"
1737,udg healthcare,health care,pharmaceuticals,dublin,1948,health care support
1738,ulster bank,financials,banks,dublin,1836,"big four bank, part of natwest group (uk)"
1739,ulsterbus foyle,consumer services,travel & tourism,derry,2006,"bus, part of northern ireland transport holding company"
1740,ulsterbus,consumer services,travel & tourism,belfast,1967,"bus, part of northern ireland transport holding company"
1741,vhi healthcare,financials,life insurance,purcellsinch,1957,health insurance
1742,virgin media ireland,telecommunications,fixed line telecommunications,dublin,2005,subsidiary of liberty global (us)
1743,vizor,technology,software,dublin,2000,creator of regulator software for central banks
1744,vodafone ireland,telecommunications,mobile telecommunications,dublin,1984,"subsidiary of vodafone (uk), formerly eircell"
1745,wireless group,consumer services,broadcasting & entertainment,belfast,2007,radio and television
1746,wrightbus,industrials,commercial vehicles & trucks,ballymena,1946,coach-builder
1747,a&g management consulting,industrials,business support services,turin,1988,management consulting
1748,a2a,utilities,multiutilities,brescia,2008,"gas, water, electricity distribution"
1749,abarth,consumer goods,automobiles,turin,1949,"road and race cars, part of stellantis"
1750,abon plastic,industrials,containers & packaging,gornate-olona,1973,containers
1751,aermacchi,industrials,aerospace,varese,1912,"aircraft, defunct 2003, now leonardo s.p.a."
1752,agip,oil & gas,oil & gas refining & marketing,rome,1926,retail fuel marketing
1753,agustawestland,industrials,aerospace & defense,rome,2000,"helicopters, part of leonardo s.p.a."
1754,agv,consumer goods,auto parts,alessandria,1946,helmets
1755,air dolomiti,consumer services,airlines,villafranca di verona,1991,"regional airline, part of lufthansa (germany)"
1756,air one,consumer services,airlines,fiumicino,1983,"airline, defunct 2014, merged in alitalia"
1757,alan,consumer goods,recreational products,veggiano,1972,bicycles
1758,alenia aermacchi,industrials,aerospace,venegono superiore,2012,"defunct 2015, merged into leonardo s.p.a."
1759,alenia aeronautica,industrials,aerospace,rome,1990,"defunct 2012, merged into leonardo s.p.a."
1760,alessi,consumer goods,durable household products,omegna,1921,"design objects, kitchenware"
1761,alfa romeo,consumer goods,automobiles,turin,1910,"road and race cars, part of stellantis"
1762,alitalia,consumer services,airlines,fiumicino,1999,"flag carrier, defunct 2020"
1763,alleanza assicurazioni,financials,life insurance,milan,1898,life insurance
1764,alpinestars,consumer goods,clothing & accessories,asolo,1963,sportswear
1765,andrea moda,consumer goods,clothing & accessories,morrovalle,1985,fashion
1766,angelini,health care,pharmaceuticals,rome,1919,pharmaceuticals
1767,anonima petroli italiana,oil & gas,petroleum products,rome,1933,petrochemical industry
1768,ansaldo energia,utilities,conventional electricity,genoa,1853,power
1769,ansaldo sts,industrials,railroads,genoa,2006,railway signaling and support
1770,aprilia,consumer goods,automobiles,noale,1945,motorbikes
1771,arflex,consumer goods,furnishings,milan,1947,contemporary furniture
1772,armani,consumer goods,clothing & accessories,milan,1975,fashion house
1773,arnoldo mondadori editore,consumer services,publishing,segrate,1907,publishing house
1774,artemide,consumer goods,furnishings,pregnana milanese,1960,design objects
1775,assicurazioni generali,financials,full line insurance,trieste,1831,insurance
1776,atala,consumer goods,recreational products,monza,1921,bicycles
1777,autobianchi,consumer goods,automobiles,milan,1995,"automobiles, production ceased"
1778,autogrill,consumer services,food retailers & wholesalers,rozzano,1947,catering
1779,avio,industrials,aerospace & defense,rome,1908,aerospace manufacturing
1780,azimut yachts,industrials,shipbuilding,turin,1969,yachts
1781,b engineering,consumer goods,automobiles,campogalliano,2000,road cars
1782,b&b italia,consumer goods,furnishings,novedrate,1966,modern furniture
1783,baldinini,consumer goods,footwear,san mauro pascoli,1910,shoes
1784,banca carige,financials,banks,genoa,1483,bank
1785,banca monte dei paschi di siena,financials,banks,siena,1472,oldest operating bank in the world
1786,banca nazionale del lavoro,financials,banks,rome,1913,bank
1787,banca popolare di milano,financials,banks,milan,1865,"bank, part of banco bpm"
1788,banco popolare,financials,banks,verona,2007,"bank, defunct 2016"
1789,bandini automobili,consumer goods,automobiles,forlì,1946,"road and race cars, defunct 1992"
1790,barilla group,consumer goods,food products,parma,1877,"food, pasta"
1791,basso bikes,consumer goods,recreational products,san zenone degli ezzelini,1977,bicycles
1792,benelli armi spa,industrials,defense,urbino,1967,firearms
1793,benelli,consumer goods,automobiles,pesaro,1911,"motorbikes, defunct 2005, sold to chinese qianjiang motorcycle"
1794,benetti,industrials,shipbuilding,viareggio,1873,shipbuilding
1795,benetton group,consumer goods,clothing & accessories,ponzano veneto,1965,fashion
1796,bennet,consumer services,food retailers & wholesalers,montano lucino,1964,supermarkets
1797,beretta,industrials,defense,brescia,1526,firearms
1798,bertolli,consumer goods,food products,lucca,1865,"food, olive oil, part of unilever (uk/netherlands)"
1799,beta,consumer goods,automobiles,rignano sull'arno,1904,motorbikes
1800,bettanin & venturi,consumer goods,footwear,vigasio,1994,men's footwear
1801,bianchi,consumer goods,recreational products,milan,1885,world's oldest bicycle manufacturer
1802,bimota,consumer goods,automobiles,rimini,1973,motorbikes
1803,birel,consumer goods,automobiles,lissone,1958,karts
1804,birra amarcord,consumer goods,brewers,rimini,1997,brewery
1805,birra ichnusa,consumer goods,brewers,assemini,1912,brewery
1806,birra menabrea,consumer goods,brewers,biella,1846,brewery
1807,birra moretti,consumer goods,brewers,udine,1859,"brewery, part of heineken international (netherlands)"
1808,birrificio angelo poretti,consumer goods,brewers,induno olona,1877,"brewery, part of the carlsberg group (denmark)"
1809,bizzarrini,consumer goods,automobiles,livorno,1964,"automobiles, defunct 1969"
1810,blue panorama airlines,consumer services,airlines,fiumicino,1998,private airline
1811,blufin,consumer goods,clothing & accessories,carpi,1977,"fashion house, bluemarine"
1812,bompiani,consumer services,publishing,milan,1929,publishing house
1813,bontempi,consumer goods,recreational products,potenza picena,1937,musical instruments
1814,bontoni,consumer goods,footwear,montegranaro,2004[6],men's shoes
1815,borrani,consumer goods,tires,milan,1922,wheels
1816,borsalino,consumer goods,clothing & accessories,alessandria,1857,hats
1817,bottecchia,consumer goods,recreational products,cavarzere,1924,bicycles
1818,bottega veneta,consumer goods,clothing & accessories,vicenza,1966,fashion
1819,b-p battioni e pagani s.p.a.,industrials,commercial vehicles & trucks,parma,1959,forklifts
1820,braccialini,consumer goods,clothing & accessories,florence,1954,leather accessories
1821,bracco group,health care,pharmaceuticals,milan,1927,pharmaceuticals
1822,breda,industrials,industrial engineering,brescia,1886,defunct
1823,brembo,consumer goods,auto parts,stezzano,1961,automotive braking systems
1824,brioni,consumer goods,clothing & accessories,rome,1945,"menswear, part of kering (france)"
1825,brionvega,consumer goods,consumer electronics,pordenone,1945,"electronics, mobile phones"
1826,brondi,consumer goods,consumer electronics,turin,1935,"electronics, mobile phones"
1827,brunello cucinelli,consumer goods,clothing & accessories,perugia,1978,fashion
1828,bruno magli,consumer goods,footwear,bologna,1936,shoes and leather goods
1829,buitoni,consumer goods,food products,sansepolcro,1827,"food, pasta, part of nestlé (switzerland)"
1830,bulgari,consumer goods,clothing & accessories,rome,1884,jewelry
1831,buzzi unicem,industrials,building materials & fixtures,casale monferrato,1999,"cement, concrete"
1832,c.a.i. second,consumer services,airlines,fiumicino,2006,"airline, defunct 2015"
1833,cagiva,consumer goods,automobiles,varese,1978,motorbikes
1834,caltagirone editore,consumer services,publishing,rome,1999,publishing house
1835,calzaturificio fratelli soldini,consumer goods,footwear,capolona,1945,shoes
1836,cambiocasa,financials,real estate holding & development,milan,1995,developer
1837,campagnolo,consumer goods,recreational products,vicenza,1933,bicycle supplies
1838,campari group,consumer goods,beverages,milan,1860,drinks
1839,canali,consumer goods,clothing & accessories,sovico,1934,menswear
1840,candy,consumer goods,durable household products,brugherio,1945,"appliances, part of haier (china)"
1841,caraceni,consumer goods,clothing & accessories,rome,1913,clothing
1842,carpigiani,consumer goods,durable household products,bologna,1944,ice cream machines
1843,carrera sunglasses,consumer goods,clothing & accessories,padua,1956,glasses
1844,carrozzeria boneschi,industrials,commercial vehicles & trucks,milan,1919,coachbuilder
1845,carrozzeria castagna,industrials,commercial vehicles & trucks,milan,1849,coachbuilder
1846,carrozzeria ghia,industrials,commercial vehicles & trucks,turin,1916,coachbuilder
1847,carrozzeria marazzi,industrials,commercial vehicles & trucks,milan,1967,coachbuilder
1848,carrozzeria scaglietti,industrials,commercial vehicles & trucks,modena,1951,"coachbuilder, defunct"
1849,carrozzeria touring,industrials,commercial vehicles & trucks,milan,1926,coachbuilder
1850,casa ricordi,consumer services,publishing,milan,1808,classical music
1851,cassina s.p.a.,consumer goods,furnishings,meda,1927,furniture
1852,castagnari,consumer goods,recreational products,recanati,1914,musical instruments
1853,chicco,consumer goods,toys,como,1958,children's items and toys
1854,chiesi farmaceutici s.p.a.,health care,pharmaceuticals,parma,1935,pharmaceuticals
1855,cinelli,consumer goods,recreational products,milan,1948,bicycles
1856,cinzano,consumer goods,distillers & vintners,turin,1757,"drinks and spumante wine, part of campari group"
1857,cirio,consumer goods,food products,san lazzaro di savena,1856,food
1858,class editori,consumer services,publishing,milan,1986,publisher
1859,colnago,consumer goods,recreational products,cambiago,1952,bicycles
1860,colotti trasmissioni,consumer goods,auto parts,modena,1958,limited-slip differentials and transmissions
1861,columbus,consumer goods,recreational products,settala,1919,bicycle tubing
1862,comau,industrials,industrial machinery,turin,1973,"industrial robots, part of fca italy"
1863,comus s.p.a.,consumer goods,recreational products,ancona,?,musical instruments
1864,comvert s.r.l.,consumer goods,clothing & accessories,milan,1994,"clothing, magazines and luxury goods"
1865,conad,consumer services,food retailers & wholesalers,bologna,1962,supermarkets
1866,coop,consumer services,food retailers & wholesalers,casalecchio di reno,1967,supermarkets
1867,coppola industria alimentare,consumer goods,food products,mercato san severino,1952,canned tomatoes
1868,corneliani,consumer goods,clothing & accessories,mantua,1958,menswear
1869,costa crociere,consumer services,travel & tourism,genoa,1854,cruise line
1870,crumar,consumer goods,recreational products,castelfidardo,1971,musical instruments
1871,dainese,consumer goods,auto parts,molvena,1972,helmets and protective equipment
1872,dallara,consumer goods,automobiles,varano de' melegari,1972,race cars
1873,damiani,consumer goods,clothing & accessories,valenza,1924,jewelry
1874,danieli,industrials,industrial machinery,buttrio,1914,metals industry
1875,dario pegoretti,consumer goods,recreational products,caldonazzo,1956,bicycles
1876,de agostini,consumer services,publishing,novara,1901,media holding
1877,de cecco,consumer goods,food products,fara san martino,1886,"food, pasta"
1878,de rosa,consumer goods,recreational products,milan,1953,bicycles
1879,de tomaso,consumer goods,automobiles,modena,1959,"road cars, defunct 2015"
1880,dell'orto,consumer goods,auto parts,cabiate,1933,carburetors
1881,delonghi,consumer goods,durable household products,treviso,1902,coffee machines
1882,design42day,consumer services,publishing,milan,2007,design publishing
1883,di blasi industriale,consumer goods,recreational products,francofonte,1952,bicycles
1884,diadora,consumer goods,footwear,caerano di san marco,1948,"shoes, part of geox"
1885,diesel,consumer goods,clothing & accessories,breganze,1978,fashion
1886,dolce & gabbana,consumer goods,clothing & accessories,milan,1985,fashion house
1887,dr motor company,consumer goods,automobiles,macchia d'isernia,2006,road cars
1888,ducati,consumer goods,automobiles,bologna,1926,"motorbikes, part of the volkswagen group (germany)"
1889,ducati energia,industrials,electronic & electrical equipment,bologna,1926,"automotive, energy, electronics"
1890,durst,technology,electronic & electrical equipment,brixen,1936,photographic and printing equipment
1891,edison,utilities,multiutilities,milan,1884,electricity and natural gas
1892,edoardo raffinerie garrone (erg),utilities,alternative electricity,genoa,1938,renewable energy
1893,eko guitars,consumer goods,recreational products,recanati,1959,musical instruments
1894,ellesse,consumer goods,clothing & accessories,perugia,1959,"apparel, now part of pentland group (uk)"
1895,e. marinella,consumer goods,clothing & accessories,naples,1914,clothing
1896,enel,utilities,multiutilities,rome,1962,electricity and natural gas
1897,energica motor company,consumer goods,automobiles,modena,2010,motorbikes
1898,eni,oil & gas,integrated oil & gas,rome,1953,petroleum
1899,ermenegildo zegna,consumer goods,clothing & accessories,milan,1910,fashion house
1900,erreà,consumer goods,clothing & accessories,torrile,1988,sportswear
1901,esselunga,consumer services,food retailers & wholesalers,milan,1957,food retailer
1902,etro,consumer goods,clothing & accessories,milan,1968,fashion house
1903,eurofly,consumer services,airlines,milan,1989,"defunct airline, merged in meridiana"
1904,fabbrica ligure automobili genova,consumer goods,automobiles,genoa,1905,"road cars, defunct 1908"
1905,fratelli fabbri editori,consumer services,publishing,milan,1947,"publishing house, part of rcs mediagroup"
1906,fabbri group,consumer goods,recreational products,calto,1950,amusement rides
1907,facchini group,consumer goods,food products,cormano,1959,pasta machines
1908,faema,consumer goods,durable household products,milan,1945,espresso machines
1909,falck group,basic materials,iron & steel,sesto san giovanni,1906,steel
1910,famars,industrials,defense,gardone val trompia,1967,firearms
1911,fantic motor,consumer goods,automobiles,barzago,1968,motorbikes
1912,farfisa,consumer goods,recreational products,osimo,1946,musical instruments
1913,fazioli,consumer goods,recreational products,sacile,1981,musical instruments
1914,fedrigoni,basic materials,paper,verona,1888,paper
1915,feltrinelli,consumer services,publishing,milan,1954,publishing house
1916,fendi,consumer goods,clothing & accessories,rome,1925,luxury fashion
1917,ferrari,consumer goods,automobiles,maranello,1939,road and race cars
1918,ferrero spa,consumer goods,food products,alba,1946,"food, nutella"
1919,ferretti group,industrials,shipbuilding,forlì,1968,shipbuilding
1920,ferrovie dello stato italiane,consumer services,travel & tourism,rome,1905,passenger rail
1921,fiat,consumer goods,automobiles,turin,1899,"automotive manufacturer, part of fca italy"
1922,fincantieri,industrials,shipbuilding,trieste,1959,shipbuilding
1923,fiocchi munizioni,industrials,defense,lecco,1876,ammunition
1924,fioravanti,consumer goods,automobiles,turin,1987,automotive design
1925,fondiaria-sai,financials,property & casualty insurance,turin,2002,"insurance, defunct 2014"
1926,fondmetal,consumer goods,tires,bergamo,1972,wheels
1927,fornasari,consumer goods,automobiles,vicenza,1999,race cars
1928,forst,consumer goods,brewers,algund,1857,brewery
1929,franchi,industrials,defense,brescia,1987,"firearms, part of beretta holding"
1930,frera,consumer goods,automobiles,milan,1905,"motorbikes, production ceased"
1931,frette,consumer goods,clothing & accessories,monza,1860,textiles
1932,fulcrum wheels,consumer goods,recreational products,arcugnano,2004,"bicycle wheels, part of campagnolo"
1933,fulgor,consumer goods,durable household products,gallarate,1949,appliances
1934,furla,consumer goods,clothing & accessories,bologna,1927,fashion
1935,gaggia,consumer goods,durable household products,milan,1947,"espresso machines, part of philips (netherlands)"
1936,gancia,consumer goods,distillers & vintners,canelli,1850,spumante wine
1937,gardaland,consumer services,recreational services,castelnuovo del garda,1975,"amusement park, part of merlin entertainments (uk)"
1938,garelli motorcycles,consumer goods,automobiles,milan,1919,"scooters, production ceased"
1939,garlando,consumer goods,recreational products,novi ligure,1954,"pool tables, table football"
1940,gde bertoni,consumer goods,recreational products,milan,1938,"medals, trophies"
1941,gedi gruppo editoriale,consumer services,publishing,rome,1955,media house
1942,geox,consumer goods,clothing & accessories,montebelluna,1995,clothing
1943,ghezzi & brian,consumer goods,automobiles,missaglia,1995,motorbikes
1944,gilera,consumer goods,automobiles,pontedera,1909,"scooters, motorbikes, production ceased"
1945,gio. ansaldo & c.,industrials,aerospace,genoa,1853,defunct 1993
1946,givova,consumer goods,clothing & accessories,scafati,2008,sportswear
1947,golden goose,consumer goods,clothing & accessories,venice,2000,fashion
1948,graziano trasmissioni,consumer goods,auto parts,turin,1951,"transmissions, gear boxes and drivelines"
1949,grimaldi group,transport & tourism,consumer services,palermo,1947,tourist and cargo travel
1950,grivel,consumer goods,recreational products,courmayeur,1818,tools and equipment for alpinism
1951,gruppo bertone,consumer goods,automobiles,milan,1912,"automobile manufacturer, defunct 2014"
1952,gruppo riva,basic materials,iron & steel,milan,1954,steel
1953,gruppo tim,telecommunications,mobile telecommunications,rome,1994,telecom
1954,gucci,consumer goods,clothing & accessories,florence,1921,fashion house
1955,guerciotti,consumer goods,recreational products,milan,1964,bicycles
1956,gufram,consumer goods,furnishings,cuneo,1966,design objects
1957,hera group,utilities,multiutilities,bologna,2002,"gas, water, electricity"
1958,hitachi rail italy,industrials,commercial rail vehicles,naples,2001,"mass transit vehicles, part of hitachi rail (japan)"
1959,i.de.a institute,consumer goods,automobiles,turin,1978,automotive design
1960,illy,consumer goods,beverages,trieste,1933,coffee
1961,impresa pizzarotti,industrials,heavy construction,parma,1910,construction
1962,indesit company,consumer goods,durable household products,fabriano,1975,appliances
1963,innocenti,consumer goods,automobiles,milan,1947,"automobiles, defunct 1997"
1964,intermarine,industrials,shipbuilding,sarzana,1970,shipbuilding
1965,intesa sanpaolo,financials,banks,turin,2007,bank
1966,iride bicycles,consumer goods,recreational products,venice,1919,bicycles
1967,iso,consumer goods,automobiles,bresso,1953,"auto manufacturer, defunct 1974"
