Unnamed: 0,Name,MarketCap,Stock,Country,Sector,Industry
954,NICE Ltd.,$19.12 B,NICE,Israel,Technology,Software—Application
955,Waters Corporation,$19.11 B,WAT,United States,Healthcare,Diagnostics & Research
956,Otsuka Holdings Co. Ltd,$19.03 B,4578,Japan,Healthcare,Drug Manufacturers—General
957,Tenaris SA,$18.98 B,TEN,Luxembourg,Energy,Oil & Gas Equipment & Services
958,"Citizens Financial Group, Inc.",$18.95 B,CFG,United States,Financials,Banks
959,Check Point Software Technologies Ltd.,$18.94 B,CHKP,Israel,Technology,Software—Infrastructure
960,Toshiba Corp,$18.93 B,6502,Japan,Industrials,Specialty Industrial Machinery
961,"LG Electronics, Inc.",$18.91 B,066570,South Korea,Technology,Consumer Electronics
962,Astra International Tbk PT,$18.90 B,ASJA,Indonesia,Consumer Discretionary,Auto Parts
963,Omnicom Group Inc.,$18.80 B,OMC,United States,Communication Services,Advertising Agencies
964,"Aecc Aviation Power Co.,Ltd",$18.79 B,600893,China,Industrials,Aerospace & Defense
965,International Paper Company,$18.78 B,INPAP,United States,Consumer Discretionary,Packaging & Containers
966,Scottish Mortgage Investment Trust plc,$18.78 B,SMT,United Kingdom,Financials,Asset Management
967,George Weston Limited,$18.77 B,WN,Canada,Consumer Staples,Grocery Stores
968,"NetApp, Inc.",$18.76 B,NTAP,United States,Technology,Computer Hardware
969,"Healthpeak Properties, Inc.",$18.76 B,PEAK,United States,Real Estate,REIT—Healthcare Facilities
970,"MS&AD Insurance Group Holdings, Inc.",$18.75 B,8725,Japan,Financials,Insurance—Property & Casualty
971,The Liberty SiriusXM Group,$18.74 B,LSXMB,United States,Communication Services,Broadcasting
972,Credit Suisse Group AG,$18.72 B,CSGN,Switzerland,Financials,Banks
973,Air China Ltd,$18.72 B,601111,China,Industrials,Airlines
974,Power Construction Corp of China Ltd,$18.69 B,601669,China,Industrials,Engineering & Construction
975,"JD Health International, Inc.",$18.69 B,8ZN,China,Healthcare,Medical Care Facilities
976,South32 Limited,$18.67 B,S32,Australia,Basic Materials,Other Industrial Metals & Mining
977,"Huaneng Power International, Inc.",$18.57 B,600011,China,Utilities,Utilities—Independent Power Producers
978,Sands China Ltd,$18.52 B,1928,Macao,Consumer Discretionary,Resorts & Casinos
979,HEICO Corporation,$18.49 B,HEI,United States,Industrials,Aerospace & Defense
980,GF Securities Co. Ltd,$18.44 B,000776,China,Financials,Capital Markets
981,Genuine Parts Company,$18.41 B,GPC,United States,Consumer Discretionary,Specialty Retail
982,Vodacom Group Ltd,$18.41 B,VOD,South Africa,Communication Services,Telecom Services
983,"Take-Two Interactive Software, Inc.",$18.35 B,TTWO,United States,Communication Services,Electronic Gaming & Multimedia
984,China Merchants Securities Co. Ltd,$18.35 B,600999,China,Financials,Capital Markets
985,"Alnylam Pharmaceuticals, Inc.",$18.33 B,ALNY,United States,Healthcare,Biotechnology
986,Aeon Co. Ltd,$18.32 B,8267,Japan,Consumer Discretionary,Department Stores
987,Link Real Estate Investment Trust,$18.27 B,0823,Hong Kong,Real Estate,REIT—Retail
988,Shionogi & Co. Ltd,$18.27 B,4507,Japan,Healthcare,Drug Manufacturers—Specialty & Generic
989,Ubiquiti Inc.,$18.25 B,UI,United States,Technology,Communication Equipment
990,"Quanta Services, Inc.",$18.25 B,PWR,United States,Industrials,Engineering & Construction
991,"Catalent, Inc.",$18.24 B,CTLT,United States,Healthcare,Drug Manufacturers—Specialty & Generic
992,Haitong Securities Co. Ltd,$18.23 B,600837,China,Financials,Capital Markets
993,Asahi Group Holdings Ltd,$18.21 B,2502,Japan,Consumer Staples,Beverages—Brewers
994,Capitec Bank Holdings Ltd,$18.21 B,CPI,South Africa,Financials,Banks
995,Restaurant Brands International Inc.,$18.19 B,QSR,Canada,Consumer Discretionary,Restaurants
996,"Yum China Holdings, Inc.",$18.18 B,YUMC,China,Consumer Discretionary,Restaurants
997,CEZ AS,$18.16 B,CEZ,Czechia,Utilities,Utilities—Renewable
998,Veolia Environnement SA,$18.14 B,VIE,France,Industrials,Waste Management
999,"Avis Budget Group, Inc.",$18.12 B,CAR,United States,Industrials,Rental & Leasing Services
