name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
UBS Group AG,Switzerland,"72,009","Bahnhofstr. 45, Zurich, 8001",Financial Services,www.ubs.com,$75.1B,41 44 2341111,$40.6B
SNCF Group,France,"270,296","2 Place aux Etoiles, Saint-Denis, Ile-de-France, 93633",Transport and Logistics,www.sncf.com,,33 1 85078001,$41.1B
Chubb Ltd,Switzerland,"31,000","Baerengasse 32, Zuerich, 8001",Financial Services,www.chubb.com,$91.5B,41 43 4567600,$41.0B
Enterprise Products Partners LP,United States of America,"6,911","1100 Louisiana 10th Floor, Houston, Texas, 77002",Energy and Utilities,www.enterpriseproducts.com,$54.7B,1 713 3816500,$40.8B
J Sainsbury Plc,United Kingdom,"117,000","33 Holborn, London, EC1N2HT",Retailing,www.about.sainsburys.co.uk,$7.0B,44 20 76956000,$41.1B
Gazprom Neft,Russia,"82,960","Sankt - Peterburg, Ul. Pochtamtskaya, D.3-5, Saint Petersburg, 190000",Energy and Utilities,www.gazprom-neft.ru,$30.9B,7 812 3633152,$41.7B
SK Innovation Co Ltd,South Korea,"1,419","Sk Bldg., 26, Jong-Ro, Jongno-Gu, Seoul, 03188",Energy and Utilities,eng.skinnovation.com,$11.6B,82 2 21215114,$40.9B
Anglo American Plc,United Kingdom,"62,000","17 Charterhouse Street, London, EC1N6RA",Metals and Mining,www.angloamerican.com,$60.6B,44 20 79688888,$41.6B
Aluminum Corporation of China Ltd,China,"60,056","No.62, Xizhimen North Avenue, Haidian District, Beijing, 100082",Metals and Mining,www.chalco.com.cn,$11.8B,86 10 82298322,$41.8B
Ping An Bank Co Ltd,China,"40,745","No. 5047, Shennan East Road, Shenzhen, Guangdong, 518001",Financial Services,bank.pingan.com,$43.3B,86 755 82080387,$41.9B
NTT DOCOMO Inc,Japan,"27,558","Sanno Park Tower, 11-1, Nagata-cho 2-chome, Chiyoda-ku, Tokyo, 1006150",Technology and Communications,www.nttdocomo.co.jp,,81 3 51561111,$42.0B
OMV AG,Austria,"22,338","Trabrennstrasse 6-8, Wien, 1020",Energy and Utilities,www.omv.com,$16.9B,43 1 40440,$42.0B
BBVA,Spain,"112,465","Calle Azul 4, Madrid, 28050",Financial Services,www.bbva.com/es,$41.9B,34 915 378172,$42.1B
Plains All American Pipeline LP,United States of America,"4,100","Suite 1600, 333 Clay Street, Houston, Texas, 77002",Energy and Utilities,www.plainsallamerican.com,$8.5B,1 713 6544100,$42.1B
Plains GP Holdings LP,United States of America,"4,100","Suite 1600, 333 Clay St, Houston, Texas, 77002",Energy and Utilities,www.plains.com,$2.5B,1 713 6464100,$42.1B
America Movil SAB DE CV,Mexico,"178,399","Lago Zurich 245, Colonia Granada Ampliacion, Mexico, D.F., 11529",Technology and Communications,www.americamovil.com/es,$65.5B,52 55 25813700,$42.2B
China Everbright Bank Co Ltd,China,"45,680","Everbright Center, No. 25, No. 25a, Taipingqiao Avenue, Xicheng District, Beijing, 100033",Financial Services,www.cebbank.com,$25.6B,86 10 63636363,$42.4B
China National Building Material Co Ltd,China,"154,208","21th Floor, Tower 2, Guohai Plaza, No. 17 Fuxing Road, Haidian District, Beijing, 100036",Construction,www.cnbmltd.com,$7.5B,86 10 68138300,$42.4B
Oracle Corp,United States of America,"143,000","2300 Oracle Way, Austin, Texas, 78741",Technology and Communications,www.oracle.com,$233.8B,1 737 8671000,$42.4B
DZ Bank AG,Germany,"5,291","Platz der Republik, Frankfurt am Main, Hessen, 60265",Financial Services,www.dzbank.com,,49 69 744701,$42.7B
American Express Co,United States of America,"64,000","50th Floor, 200 Vesey Street, New York, 10285",Financial Services,www.americanexpress.com,$112.4B,1 212 6402000,$42.8B
AB Volvo,Sweden,"86,750","Gropegardsgatan 2, Goeteborg, 41715",Automotive,www.volvogroup.com,$40.6B,46 31 660000,$43.4B
George Weston Ltd,Canada,"215,000","22 St. Clair Avenue East, Toronto, Ontario, M4T2S7",Retailing,www.weston.ca/en/Home.aspx,$17.9B,1 416 9222500,$42.9B
Shanghai Construction Group Co Ltd,China,"51,369","Hongkou District, Shanghai, 200080",Construction,www.shconstruction.cn,$3.4B,86 21 35100838,$43.6B
Abbott Laboratories,United States of America,"113,000","100 Abbott Park Rd, Illinois, 60064-3500",Medical Equipment,www.abbott.com,$194.4B,1 224 6676100,$43.1B
Poly Development Holding Group Co Ltd,China,"61,854","29-33f, North Tower, Poly International Square, Guangzhou, Guangdong, 510308",Construction,www.polycn.com,$27.8B,86 20 89898833,$44.2B
Qualcomm Inc,United States of America,"45,000","5775 Morehouse Dr, San Diego, California, 92121",Technology and Communications,www.qualcomm.com,$136.8B,1 858 5871121,$44.2B
Compal Electronics Inc,Taiwan,"67,156","No. 581 & 581-1, Ruiguang Road, Neihu District, Taipei, 114",Technology and Communications,www.compal.com,$3.3B,886 2 87978588,$44.3B
Fresenius SE & Co KGaA,Germany,"318,647","Else-Kroener-Str. 1, Bad Homburg Vor Der Hohe, 61352",Medical Equipment,www.fresenius.com,$17.3B,49 6172 6080,$44.4B
Bouygues SA,France,"127,304","32 Avenue Hoche, Paris, Ile-de-France, 75378",Construction,www.bouygues.com,$12.2B,33 1 44201000,$44.4B
"MS&AD Insurance Group Holdings, Inc.",Japan,"38,944","Tokyo Sumitomo Twin Bldg. West Tower, 2-27-2, Shinkawa, Chuo-Ku, 104-0033",Financial Services,www.ms-ad-hd.com,$17.6B,81 3 51170270,$44.6B
Imperial Brands Plc,United Kingdom,"30,300","121 Winterstoke Road, Bristol, BS32LL",Consumer Packaged Goods,www.imperialbrandsplc.com/index.html,$23.4B,44 117 9636636,$44.8B
Manulife Financial Corp,Canada,"38,000","1-200 Bloor St E, North Tower 10, Toronto, Ontario, M4W1E5",Financial Services,www.manulife.com,$34.9B,1 416 9263000,$44.6B
Pegatron Corp,Taiwan,"177,948","5f, No.76, Ligong Street, Beitou District, Taipei, 112",Technology and Communications,www.pegatroncorp.com,$5.7B,886 2 81439001,$45.3B
ZF Friedrichshafen AG,Germany,"157,549","Lowentaler Strasse 20, Friedrichshafen, Baden-Wurttemberg, 88046",Automotive,www.zf.com,,49 7541 770,$45.3B
Aviva Plc,United Kingdom,"22,062","St. Helens, 1 Undershaft, London, EC3P3DQ",Financial Services,www.aviva.com,$15.3B,44 20 72832000,$45.3B
Ernst & Young Global Ltd,United Kingdom,"365,399","6 More London Place, Greater London, SE1 2DA",Business and Consumer Services,www.ey.com,,,$45.4B
Woolworths Group Ltd,Australia,"197,773","1 Woolworths Way, Bella Vista, Sydney, New South Wales, 2153",Retailing,www.woolworthsgroup.com.au,$29.6B,61 2 88850000,$45.7B
ConocoPhillips,United States of America,"9,400","925 N. Eldridge Parkway, Houston, Texas, 77079-2703",Energy and Utilities,www.conocophillips.com,$147.7B,1 281 2931000,$45.8B
The Hongkong and Shanghai Banking Corp Ltd,Hong Kong,,"1 Queen’s Road Central ,HSBC Main Building, Hong Kong",Financial Services,www.hsbc.com.hk,,852 2822 1111,$45.8B
Swiss Re Ltd,Switzerland,"14,836","Mythenquai 50/60, Zuerich, 8022",Financial Services,www.swissre.com,$32.2B,41 43 2852121,$46.0B
Hanwha Corp,South Korea,"5,393","24f, 86, Cheonggyecheon-Ro, Jung-Gu, Seoul, 04541",Chemicals,english.hanwhacorp.co.kr,$1.9B,82 2 7291114,$46.2B
LyondellBasell Industries NV,United Kingdom,"19,100","4th Floor, One Vine Street, London, W1J0AH",Chemicals,www.lyondellbasell.com,$29.6B,1 713 3097200,$46.2B
Iberdrola SA,Spain,"40,543","Plaza Euskadi Numero 5, Bilbao, Vizcaya, 48009",Power,www.iberdrola.com,$75.4B,34 944 151411,$46.3B
Sanofi,France,"95,442","54 Rue La Boetie, Paris, 75008",Pharmaceuticals and Healthcare,www.sanofi.com,$124.3B,33 1 53774000,$46.3B
Telefonica SA,Spain,"101,962","Gran Via 28, Madrid, 28013",Technology and Communications,www.telefonica.es,$22.2B,34 911 721589,$46.4B
Bristol-Myers Squibb Co,United States of America,"32,200","430 E. 29th Street, 14 Floor, New York, 10016",Pharmaceuticals and Healthcare,www.bms.com,$153.4B,1 212 5464000,$46.4B
Brookfield Business Partners LP,Bermuda,"90,000","5th Floor, 73 Front Street, Hamilton, HM12",Financial Services,bbu.brookfield.com,$1.4B,1 441 2943309,$46.6B
Saudi Basic Industries Corp,Saudi Arabia,"33,000","P.O.Box 5101, Riyadh, 11422",Chemicals,www.sabic.com,$76.0B,966 1 12258000,$46.7B
AIA Group Ltd,Hong Kong,"23,981","35/F, Aia Central, No.1 Connaught Road Central, Hong Kong",Financial Services,www.aia.com,$130.2B,852  22328888,$46.8B
NIKE Inc,United States of America,"79,100","One Bowerman Drive, Beaverton, Oregon, 97005",Retailing,about.nike.com,$196.0B,1 503 6716453,$46.7B
Groupe BPCE,France,"100,000","50 Avenue Pierre Mendes, Cedex 13, Paris, Ile-de-France, 75201",Financial Services,www.groupebpce.com,,33 1 58404142,$47.0B
GSK plc,United Kingdom,"90,096","980 Great West Road, Brentford, TW89GS",Pharmaceuticals and Healthcare,www.gsk.com,$71.3B,44 20 80475000,$46.9B
Daimler Truck Holding AG,Germany,"105,423","Fasanenweg 10, Leinfelden-Echterdingen, 70771",Automotive,www.daimlertruck.com,$26.3B,4971184850,$47.0B
The Progressive Corp,United States of America,"49,000","6300 Wilson Mills Rd, Mayfield Village, Ohio, 44143",Financial Services,www.progressive.com,$75.0B,1 440 4615000,$47.7B
Tokyo Electric Power Co Holdings Inc,Japan,"37,939","1-1-3, Uchisaiwai-Cho, Chiyoda-Ku, Tokyo, 100-8560",Power,www.tepco.co.jp,$5.6B,81 3 63731111,$47.3B
CHS Inc,United States of America,"9,941","5500 Cenex Dr, Inver Grove Heights, Minnesota, 55077-1721",Agriculture and Forestry,www.chsinc.com,$349.1M,1 651 3556000,$47.8B
Publix Super Markets Inc,United States of America,"232,000","3300 Publix Corporate Parkway, Lakeland, Florida, 33811",Retailing,www.publix.com,,1 863 6881188,$48.4B
Intesa Sanpaolo SpA,Italy,"96,723","Via Monte Di Pieta, 8, Torino, 20121",Financial Services,www.intesasanpaolo.com,$46.1B,39 011 5551,$48.0B
KDDI Corp,Japan,"48,829","Garden Air Tower, 3-10-10, Iidabashi, Chiyoda-Ku, Tokyo, 102-8460",Technology and Communications,www.kddi.com,$70.3B,81 3 33470077,$48.5B
The TJX Companies Inc,United States of America,"340,000","770 Cochituate Rd, Framingham, Massachusetts, 01701-4666",Retailing,www.tjx.com,$92.2B,1 508 3902662,$48.5B
ThyssenKrupp AG,Germany,"97,152","Thyssenkrupp Allee 1, Essen, 45143",Metals and Mining,www.thyssenkrupp.com,$4.9B,49 201 8440,$48.6B
Sumitomo Corp,Japan,"74,253","Otemachi Place East Tower, 2-3-2, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8601",Metals and Mining,www.sumitomocorp.com,$22.0B,81 3 62855000,$48.9B
Denso Corp,Japan,"167,950","1-1, Showa-Cho, Kariya-Shi, Aichi, 448-8661",Automotive,www.denso.com/jp/ja,$41.8B,81 566 255511,$49.1B
Merck & Co Inc,United States of America,"68,000","2000 Galloping Hill Rd, Kenilworth, New Jersey, 07033-1310",Pharmaceuticals and Healthcare,www.merck.com,$275.8B,1 908 7404000,$48.7B
China Energy Engineering Corp Ltd,China,"114,307","Building 1, No. 26a West Dawang Road, Chaoyang District, Beijing, 100022",Construction,www.ceec.net.cn,$12.2B,861059098818,$50.0B
The Toronto-Dominion Bank,Canada,"89,464","Toronto-Dominion Centre, P.O. Box 1, Ontario, M5K1A2",Financial Services,www.td.com,$120.2B,1 416 9446367,$50.0B
Orange SA,France,"132,002","111, Quai Du President Roosevelt, Cs 70222, Issy-Les-Moulineaux, 92449",Technology and Communications,www.orange.com,$27.6B,33 1 44442222,$50.3B
SoftBank Corp,Japan,"49,581","1-7-1, Kaigan, Minato-Ku, Tokyo, 105-7529",Technology and Communications,www.softbank.jp,$54.9B,81 3 68892000,$50.7B
PricewaterhouseCoopers International Ltd,United Kingdom,"328,000","1 Embankment Place, London, Greater London, WC2N6RH",Business and Consumer Services,www.pwc.com,,44 20 75835000,$50.3B
Hindustan Petroleum Corp Ltd,India,"9,065","Petroleum House, 17, Jamshedji Tata Road, Churchgate, Mumbai, 400020",Energy and Utilities,www.hindustanpetroleum.com,$4.2B,91 22 22863900,$50.7B
Talanx AG,Germany,"23,954","Hdi-Platz 1, Hannover, 30659",Financial Services,www.talanx.com,$12.6B,49 511 37470,$50.4B
Delta Air Lines Inc,United States of America,"83,000","Hartsfield Atlanta Intl Airport, Georgia, 30354-1989",Transport and Logistics,www.delta.com,$24.6B,1 404 7152600,$50.6B
The Allstate Corp,United States of America,"54,300","3100 Sanders Road, Northbrook, Illinois, 60062",Financial Services,www.allstateinvestors.com/investor-overview?c=9312,$35.1B,1 847 4025000,$50.6B
China Unicom (Hong Kong) Ltd,Hong Kong,"242,497","75th Floor, The Center, 99 Queen's Road Central, Hong Kong",Technology and Communications,www.chinaunicom.com.hk,$20.8B,852  21262018,$50.8B
China United Network Communications Ltd,China,"242,661","No. 21, Financial Avenue, Xicheng District, Beijing, 100033",Technology and Communications,www.chinaunicom-a.com,$23.8B,86 10 66259179,$50.8B
Performance Food Group Co,United States of America,"35,000","12500 W Creek Pkwy, Richmond, Virginia, 23238-1110",Consumer Packaged Goods,www.pfgc.com,$9.2B,1 804 4847700,$50.9B
China Minsheng Banking Corp Ltd,China,"60,278","No. 2 Fuxingmennei Avenue, Xicheng District, Beijing, 100031",Financial Services,www.cmbc.com.cn,$21.3B,86 10 58560975,$50.9B
Tokio Marine Holdings Inc,Japan,"43,323","2-6-4, Ote-Machi, Chiyoda-Ku, Tokyo, 100-0004",Financial Services,www.tokiomarinehd.com,$44.0B,81 3 67047700,$51.3B
Great-West Lifeco Inc,Canada,"28,000","100 Osborne Street North, Winnipeg, Manitoba, R3C3A5",Financial Services,www.greatwestlifeco.com,$23.7B,1 204 9461190,$51.3B
Cisco Systems Inc,United States of America,"83,300","170 West Tasman Dr, San Jose, California, 95134-1706",Technology and Communications,www.cisco.com,$192.7B,1 408 5264000,$51.6B
Caterpillar Inc,United States of America,"107,700","100 Ne Adams St, Peoria, Illinois, 61629",Industrial Goods and Machinery,www.caterpillar.com/en.html,$131.6B,1 309 6752337,$51.0B
Charter Communications Inc,United States of America,"93,700","Washington Boulevard, Stamford, Connecticut, 06902",Technology and Communications,corporate.charter.com,$59.4B,1 203 9057801,$51.7B
COSCO Shipping Holdings Co Ltd,China,"30,980","8f, No.658 Dongdaming Road, Shanghai, 200080",Transport and Logistics,hold.coscoshipping.com,$22.6B,86 21 60298619,$51.7B
Edeka Zentrale AG & Co KG,Germany,"404,900","New-York-Ring 6, Hamburg, 22297",Retailing,www.edeka-verbund.de,,49 40 637721822,$52.0B
China Shenhua Energy Co Ltd,China,"77,872","No. 22 Xibinhe Road, Andingmen, Dongcheng District, Beijing, 100011",Metals and Mining,www.csec.com,$81.2B,86 10 58133399,$52.0B
CNP Assurances SA,France,"5,591","4 Place Raoul Dautry, Paris Cedex 15, 75716",Financial Services,www.cnp.fr,,33 1 42188888,$51.8B
American International Group Inc (AIG),United States of America,"36,600","175 Water Street, New York, 10020",Financial Services,www.aig.com,$46.2B,,$52.1B
Bayer AG,Germany,"101,914","Kaiser-Wilhelm-Allee 1, Leverkusen, Nordrhein-Westfalen, 51368",Pharmaceuticals and Healthcare,www.bayer.com,$59.7B,49 214 301,$52.1B
Best Buy Co Inc,United States of America,"105,000","7601 Penn Ave S, Richfield, Minnesota, 55423",Retailing,investors.bestbuy.com,$18.4B,1 612 2911000,$51.8B
Deere & Co,United States of America,"75,550","One John Deere Place, Moline, Illinois, 61265-8098",Industrial Goods and Machinery,www.deere.com,$126.6B,1 309 7658000,$52.2B
Compagnie de Saint-Gobain,France,"167,816","Tour Saint-Gobain 12 Place De L'Iris, Courbevoie, 92400",Construction,www.saint-gobain.com/en,$30.3B,33 1 88540000,$52.2B
Korea Electric Power Corp,South Korea,"48,809","55, Jeollyeok-Ro, Naju, 58322",Power,www.kepco.co.kr,$10.5B,82 61 3453114,$52.9B
Novartis AG,Switzerland,"108,000","Lichtstrasse 35, Basel, 4056",Pharmaceuticals and Healthcare,www.novartis.com,$220.9B,41 61 3241111,$52.9B
Royal Bank of Canada,Canada,"88,541","Royal Bank Plaza 200 Bay Street, Toronto, Ontario, M5J2J5",Financial Services,www.rbcroyalbank.com,$138.2B,1 888 2125533,$53.5B
Midea Group Co Ltd,China,"165,799","Midea New Headquarter Building, No. 6 Midea Avenue, Beijiao Town, Shunde District, Foshan, Guangdong, 528311",Consumer Packaged Goods,www.midea.com/global,$59.5B,86 757 22607708,$53.2B
Tyson Foods Inc,United States of America,"142,000","2200 West Don Tyson Parkway, Springdale, Arkansas, 72762",Consumer Packaged Goods,www.tysonfoods.com,$23.0B,1 479 2904000,$53.3B
Sberbank Rossii,Russia,"287,866","19 Vavilova St, Moscow, 117997",Financial Services,www.sberbank.ru,$50.1B,7 495 9575731,$53.1B
Schweizerische Nationalbank,Switzerland,871,"Bundesplatz 1, Bern, 3003",Financial Services,www.snb.ch,$539.1M,41 44 6313111,$53.8B
Tesla Inc,United States of America,"99,290","13101 Harold Green Road, Austin, Texas, 78725",Automotive,www.tesla.com,$406.7B,1 650 6815000,$53.8B
Anheuser-Busch InBev NV/SA,Belgium,"169,000","Brouwerijplein 1, Leuven, 3000",Consumer Packaged Goods,www.ab-inbev.com,$104.4B,32 16 276111,$54.3B
Vale SA,Brazil,"74,316","Praia De Botafogo, 186 - Salas 501 A 1901, Botafogo, Rio De Janeiro, 22.250-145",Metals and Mining,www.vale.com/brasil,$86.0B,55 21 34853900,$54.4B
Mitsubishi UFJ Financial Group Inc,Japan,"135,049","Bank Of Tokyo-Mitsubishi Ufj, 2-7-1, Marunouchi, Chiyoda-Ku, 100-8330",Financial Services,www.mufg.jp,$94.7B,81 3 32408111,$54.7B
Vodafone Group Plc,United Kingdom,"96,941","Vodafone House, The Connection, Newbury, RG142FN",Technology and Communications,www.vodafone.com,$30.5B,44 1635 33251,$53.9B
Ingram Micro Inc,United States of America,"29,000","Suite 100, 3351 Michelson Drive, Irvine, California, 92612",Technology and Communications,corp.ingrammicro.com,,1 714 5661000,$54.5B
Dow Inc,United States of America,"35,700","2211 H. H. Dow Way, Midland, Michigan, 48674",Chemicals,investors.dow.com,$40.0B,1 989 6361000,$55.0B
State Bank of India,India,"244,250","Corporate Centre, State Bank Bhavan, Madame Cama Road, Mumbai, 400021",Financial Services,www.sbi.co.in,$64.7B,91 22 22740841,$55.1B
SoftBank Group Corp,Japan,"59,721","Tokyo Portcity Takeshiba Office Tower, 1-7-1, Kaigan, Minato-Ku, 105-7537",Technology and Communications,group.softbank,$82.0B,81 3 68892000,$55.4B
Japan Post Insurance Co Ltd,Japan,"20,541","Otemachi Place West Tower, 2-3-1, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8794",Financial Services,www.jp-life.japanpost.jp,$7.0B,81 3 34770111,$56.9B
Deutsche Bahn AG,Germany,"322,768","Potsdamer Platz 2, Berlin, 10785",Transport and Logistics,www.deutschebahn.com,,49 30 29761030,$55.7B
CMA CGM SA,France,"130,000","4 quai d'Arenc, Marseille, Provence - Alpes- Cote d'Azur, 13235",Transport and Logistics,www.cma-cgm.com,,33 4 88919000,$56.0B
Taiwan Semiconductor Manufacturing Co Ltd,Taiwan,"52,045","No.8, Li-Hsin 6th Road, Hsinchu Science Park, 300",Technology and Communications,www.tsmc.com,$431.1B,886 3 5636688,$56.9B
Power Corporation of Canada,Canada,"33,700","751 Victoria Square, Montreal, Quebec, H2Y2J3",Financial Services,www.powercorporation.com/en,$16.0B,1 514 2867400,$55.5B
AbbVie Inc,United States of America,"50,000","1 N Waukegan Rd, North Chicago, Illinois, 60064",Pharmaceuticals and Healthcare,www.abbvie.com,$263.9B,1 847 9327900,$56.2B
China CITIC Bank Corp Ltd,China,"59,277","No. 9 Chaoyangmen North Avenue, Dongcheng District, Beijing, 100020",Financial Services,www.citicbank.com,$32.6B,86 10 66638188,$57.1B
Shanghai Pudong Development Bank Co Ltd,China,"63,898","No. 12, Zhongshan East 1st Road, Shanghai, 200002",Financial Services,www.spdb.com.cn,$31.7B,86 21 63611226,$56.9B
PT Pertamina (Persero),Indonesia,"34,183","Jl. Medan Merdeka Timur No.11-13, Jakarta, 10110",Energy and Utilities,www.pertamina.com,,62 21 3815111,$57.5B
International Business Machines Corp,United States of America,"307,600","1 New Orchard Road, Armonk, New York, 10504",Technology and Communications,www.ibm.com,$126.9B,1 914 4991900,$57.4B
Bharat Petroleum Corp Ltd,India,"8,594","Bharath Bhavan, Belosd, Po.Box No.688, Nagpur, 400001",Energy and Utilities,www.bharatpetroleum.in,$9.2B,91 22 22713000,$58.6B
Lloyds Banking Group Plc,United Kingdom,"57,955","8 Victoria Street, Linclnshire, Spalding, PE111EA",Financial Services,www.lloydsbankinggroup.com,$41.1B,44 1775 769069,$58.6B
Bunge Ltd,United States of America,"22,000","1391 Timberlake Manor Parkway, Chesterfield, Missouri, 63017",Agriculture and Forestry,www.bunge.com,$14.7B,1 314 2922000,$59.2B
Repsol SA,Spain,"24,309","Mendez Alvaro, 44, Madrid, 28045",Energy and Utilities,www.repsol.com/es,$22.6B,34 917 538100,$58.8B
HCA Healthcare Inc,United States of America,"204,000","1 Park Plz, Nashville, Tennessee, 37203-6527",Pharmaceuticals and Healthcare,hcahealthcare.com,$72.6B,1 615 3449551,$58.8B
Vinci SA,France,"219,299","1973 Bd De La Defense, Cs 10268, Nanterre Cedex, 92757",Construction,www.vinci.com,$66.1B,33 1 57986100,$59.1B
Deloitte Touche Tohmatsu Ltd,United Kingdom,"345,374","Hill House, 1 Little New Street, London, Greater London, EC4A3TR",Business and Consumer Services,www2.deloitte.com,,44 20 79363000,$59.3B
Idemitsu Kosan Co Ltd,Japan,"14,209","1-2-1, Otemachi, Chiyoda-Ku, Tokyo, 100-8321",Energy and Utilities,www.idss.co.jp,$7.3B,81 3 32133113,$59.5B
Societe Generale SA,France,"131,293","29 Boulevard Haussmann, Paris, 75009",Financial Services,www.societegenerale.com,$22.7B,33 1 42142000,$59.9B
Nippon Steel Corp,Japan,"106,528","Marunouchi Park Bldg., 2-6-1, Marunouchi, Chiyoda-Ku, Tokyo, 100-8071",Metals and Mining,www.nipponsteel.com,$19.1B,81 3 68674111,$60.6B
Morgan Stanley,United States of America,"78,000","1585 Broadway, New York, 10036-8200",Financial Services,www.morganstanley.com,$161.8B,1 212 7614000,$61.1B
Kia Corp,South Korea,"51,357","12, Heolleung-Ro, Seocho-Gu, Seoul, 06797",Automotive,www.kia.com,$21.2B,82 2 34645114,$61.1B
Legal & General Group Plc,United Kingdom,"10,743","1 Coleman Street, London City, England, EC2R5AA",Financial Services,www.legalandgeneralgroup.com,$19.1B,44 20 31242000,$61.4B
Accenture Plc,Ireland,"721,000","1 Grand Canal Square, Grand Canal Harbour, Dublin, 2",Technology and Communications,www.accenture.com,$183.0B,353 1 6462000,$61.6B
Airbus SE,Netherlands,"128,873","Mendelweg 30, Leiden, 2333CS",Aerospace and Defense,www.airbus.com/en,$100.8B,31 71 5245600,$61.7B
A.P. Moller - Maersk AS,Denmark,"85,375","Esplanaden 50, Koebenhavn K, 1263",Transport and Logistics,www.maersk.com,$40.9B,45  33633363,$61.8B
Industrial Bank Co Ltd,China,"62,537","No. 154, Hudong Road, Fuzhou, Fujian, 350014",Financial Services,www.cib.com.cn,$55.3B,86 591 87824863,$62.0B
Unilever Plc,United Kingdom,"148,000","Unilever House, 100 Victoria Embankment, London, Greater London, EC4Y0DY",Consumer Packaged Goods,www.unilever.com,$127.9B,44 20 78225252,$62.0B
Amazon Web Services Inc,United States of America,"10,000","410 Terry Avenue North, Seattle, Washington, 98109-5210",Technology and Communications,www.aws.amazon.com,,1 206 2664064,$62.2B
The Boeing Co,United States of America,"142,000","929 Long Bridge Drive, Arlington, Virginia, 22202",Aerospace and Defense,www.boeing.com,$124.8B,1 703 4146338,$62.3B
AEGON NV,Netherlands,"20,000","Aegonplein 50, 's-Gravenhage, 2591TV",Financial Services,www.aegon.nl,$11.5B,31 70 3443210,$62.6B
Audi AG,Germany,"87,000","Ettinger Strass 70, Ingolstadt, Bayern, 85057",Automotive,www.audi.com,,49 841 890,$62.8B
Alimentation Couche-Tard Inc,Canada,"122,000","4204 Industriel Blvd, Laval, Quebec, H7L0E3",Retailing,corpo.couche-tard.com,$46.5B,1 450 6626632,$62.8B
Rio Tinto,United Kingdom,"49,000","6 St. James's Square, London, SW1Y4AD",Metals and Mining,www.riotinto.com,$127.1B,44 20 77812000,$63.5B
HP Inc,United States of America,"51,000","1501 Page Mill Road, Palo Alto, California, 94304",Technology and Communications,www.hp.com,$27.0B,1 650 8571501,$63.0B
Federal Home Loan Mortgage Corp,United States of America,"7,284","8200 Jones Branch Dr, Mclean, Virginia, 22102",Financial Services,www.freddiemac.com,$324.8M,1 703 9032000,$64.3B
Raytheon Technologies Corp,United States of America,"174,000","870 Winter Street, Waltham, Massachusetts, 02451",Aerospace and Defense,www.rtx.com,$140.7B,1 781 5223000,$64.4B
PICC Property and Casualty Co Ltd,China,"168,329","Picc Mansion, Building 2, No.2 Courtyard, Jianguomenwai Avenue, Chaoyang District, Beijing, 100022",Financial Services,property.picc.com,$21.7B,86 10 63156688,$65.0B
The Goldman Sachs Group Inc,United States of America,"47,000","200 West St, New York, 10282-2102",Financial Services,www.goldmansachs.com,$118.2B,1 212 9021000,$65.0B
JBS SA,Brazil,"250,000","Av. Marginal Direita Do Tiete, 500, Bloco 3 - 3 Andar, Vila Jaguara, Sao Paulo, 05.118-100",Consumer Packaged Goods,www.jbs.com.br,$9.2B,55 11 31444447,$65.0B
Panasonic Holdings Corp,Japan,"240,198","1006, Kadoma, Kadoma-Shi, Osaka, 571-8501",Consumer Packaged Goods,holdings.panasonic,$21.9B,81 6 69081121,$65.8B
BHP,Australia,"37,908","Shop 16 171 Collins St, Melbourne, Victoria, 3000",Metals and Mining,www.bhp.com,$173.7B,61 3 00554757,$65.1B
LG Electronics Inc,South Korea,"37,835","Lg Twin Tower, 128, Yeoui-Daero, Yeongdeungpo-Gu, Seoul, 07336",Consumer Packaged Goods,www.lge.co.kr,$13.2B,82 2 37771114,$65.3B
Wilmar International Ltd,Singapore,"100,000","28 Biopolis Road, Singapore, 138568",Agriculture and Forestry,www.wilmar-international.com,$20.1B,65 6 2160244,$65.8B
Zurich Insurance Group Ltd,Switzerland,"56,000","Mythenquai 2, Zuerich, 8002",Financial Services,www.zurich.com,$71.9B,41 44 6252525,$65.8B
POSCO Holdings Inc,South Korea,"36,619","Posco Center, 440, Teheran-Ro, Gangnam-Gu, Seoul, 06194",Metals and Mining,www.posco.co.kr,$20.5B,82 54 2200114,$66.7B
StoneX Group Inc,United States of America,"3,500","230 Park Avenue, 10th Floor, New York, 10169",Financial Services,www.stonex.com,$1.9B,1 212 4853500,$66.0B
Lockheed Martin Corp,United States of America,"114,000","6801 Rockledge Drive, Bethesda, Maryland, 20817",Aerospace and Defense,www.lockheedmartin.com,$115.6B,1 301 8976000,$67.0B
China Telecom Corp Ltd,China,"281,192","No. 31 Financial Avenue, Xicheng District, Beijing, 100033",Technology and Communications,www.chinatelecom-h.com,$56.5B,86 10 58501800,$68.1B
China Pacific Insurance (Group) Co Ltd,China,"107,000","No.1 Zhongshan South Road, Huangpu District, Shanghai, 200010",Financial Services,www.cpic.com.cn,$33.5B,86 21 58767282,$68.4B
Energy Transfer LP,United States of America,"12,558","8111 Westchester Dr Ste 600, Dallas, Texas, 75225-6142",Energy and Utilities,www.energytransfer.com,$38.6B,1 214 9810700,$67.4B
