name,world_rank,marketValue,marketCap,CEO,country
SHANGHAI GANGLIAN E-COMMERCE HOLDINGS,"8,439",1.209 Billion USD,1.552 Billion USD,,China
JUBILANT PHARMOVA LIMITED,"8,440",1.205 Billion USD,1.464 Billion USD,,India
TITAN CEMENT INTERNATIONAL,"8,441",1.208 Billion USD,1.451 Billion USD,,Belgium
AEDAS HOMES,"8,442",1.208 Billion USD,1.447 Billion USD,,Spain
SBS HOLDINGS,"8,443",1.205 Billion USD,1.415 Billion USD,,Japan
HANKOOK TECHNOLOGY GROUP,"8,444",1.208 Billion USD,1.404 Billion USD,,South Korea
K. WAH INTERNATIONAL HOLDINGS,"8,445",1.208 Billion USD,1.394 Billion USD,,Hong Kong
CK POWER PUBLIC COMPANY,"8,446",1.207 Billion USD,1.386 Billion USD,,Thailand
ARYZTA AG,"8,447",1.212 Billion USD,1.380 Billion USD,,Switzerland
SUZHOU TZTEK TECHNOLOGY,"8,448",1.206 Billion USD,1.344 Billion USD,,China
BAILLIE GIFFORD JAPAN TRUST,"8,449",1.210 Billion USD,1.339 Billion USD,,UK
BLACKMORES,"8,450",1.213 Billion USD,1.335 Billion USD,,Australia
"PLANTRONICS, INC.","8,451",1.209 Billion USD,1.260 Billion USD,,USA
CAPRI GLOBAL CAPITAL,"8,452",1.205 Billion USD,1.258 Billion USD,,India
ATRION CORPORATION,"8,453",1.206 Billion USD,1.250 Billion USD,,USA
CHULARAT HOSPITAL PUBLIC COMPANY,"8,454",1.209 Billion USD,1.248 Billion USD,,Thailand
BIOGAIA AB (PUBL),"8,455",1.207 Billion USD,1.231 Billion USD,,Sweden
CHINA CYTS TOURS HOLDING,"8,456",1.206 Billion USD,1.197 Billion USD,,China
COLOWIDE,"8,457",1.207 Billion USD,1.185 Billion USD,,Japan
"DONGGUAN TARRY ELECTRONICS CO.,LTD","8,458",1.209 Billion USD,1.184 Billion USD,,China
HAINAN YEDAO (GROUP),"8,459",1.211 Billion USD,1.183 Billion USD,,China
THANACHART CAPITAL PUBLIC COMPANY,"8,460",1.207 Billion USD,1.178 Billion USD,,Thailand
HANGZHOU YOUNGSUN INTELLIGENT EQUIPMENT,"8,461",1.209 Billion USD,1.167 Billion USD,,China
NBCC (INDIA),"8,462",1.212 Billion USD,1.153 Billion USD,,India
CHEFS' WAREHOUSE,"8,463",1.205 Billion USD,1.147 Billion USD,,USA
NHN CORPORATION,"8,464",1.211 Billion USD,1.115 Billion USD,,South Korea
ILLIMITY BANK,"8,465",1.209 Billion USD,1.107 Billion USD,,Italy
TBC BANK GROUP,"8,466",1.207 Billion USD,1.086 Billion USD,,UK
GAZIT GLOBE LTD,"8,467",1.210 Billion USD,1.082 Billion USD,,Israel
SHANGHAI MALING AQUARIUS,"8,468",1.205 Billion USD,1.062 Billion USD,,China
OASIS MIDSTREAM PARTNERS LP,"8,469",1.205 Billion USD,1.031 Billion USD,,USA
STANDARD LIFE PRIVATE EQUITY TRUST,"8,470",1.208 Billion USD,0.972 Billion USD,,UK
HICONICS ECO-ENERGY TECHNOLOGY,"8,471",1.212 Billion USD,0.961 Billion USD,,China
ZHONGNAN RED CULTURE GROUP,"8,472",1.211 Billion USD,0.918 Billion USD,,China
MCCARTHY & STONE,"8,473","8,473",0.881 Billion USD,,UK
YABAO PHARMACEUTICAL GROUP CO. LTD,"8,473",1.213 Billion USD,0.822 Billion USD,,China
SAREGAMA INDIA,"8,474",1.214 Billion USD,0.797 Billion USD,,India
METROPOLITAN BANK HOLDING,"8,475",1.206 Billion USD,0.653 Billion USD,,USA
PORTILLO'S INC.,"8,476",1.208 Billion USD,,,USA
PRIMECITY INVESTMENT,"8,477","8,477",0.880 Billion USD,,Cyprus
YATSEN HOLDING LTD,"8,477",1.200 Billion USD,3.202 Billion USD,,China
"BUTTERFLY NETWORK, INC.","8,478",1.197 Billion USD,2.397 Billion USD,,USA
"JACOBIO PHARMACEUTICALS GROUP CO., LTD.","8,479",1.201 Billion USD,1.883 Billion USD,,China
"AVEANNA HEALTHCARE HOLDINGS, INC.","8,480",1.201 Billion USD,1.739 Billion USD,,USA
"HIMS & HERS HEALTH, INC.","8,481",1.203 Billion USD,1.597 Billion USD,,USA
U.S. PHYSICAL THERAPY,"8,482",1.200 Billion USD,1.515 Billion USD,,USA
CREDITACCESS GRAMEEN LIMITED,"8,483",1.201 Billion USD,1.506 Billion USD,,India
RATNAMANI METALS & TUBES,"8,484",1.203 Billion USD,1.410 Billion USD,,India
TEXHONG TEXTILE GROUP,"8,485",1.200 Billion USD,1.405 Billion USD,,Hong Kong
MEGMILK SNOW BRAND,"8,486",1.195 Billion USD,1.404 Billion USD,,Japan
SHYAM METALICS AND ENERGY LIMITED,"8,487",1.200 Billion USD,1.395 Billion USD,,India
YUNNAN LINCANG XINYUAN GERMANIUM INDUSTRY,"8,488",1.202 Billion USD,1.381 Billion USD,,China
SEABRIDGE GOLD,"8,489",1.197 Billion USD,1.381 Billion USD,,Canada
OBJECTIVE CORPORATION,"8,490",1.201 Billion USD,1.378 Billion USD,,Australia
STURM RUGER & COMPANY,"8,491",1.197 Billion USD,1.376 Billion USD,,USA
WESDOME GOLD MINES,"8,492",1.197 Billion USD,1.373 Billion USD,,Canada
CHANGYUAN GROUP,"8,493",1.203 Billion USD,1.340 Billion USD,,China
NEXUS AG,"8,494",1.200 Billion USD,1.292 Billion USD,,Germany
VINA CONCHA Y TORO,"8,495",1.201 Billion USD,1.279 Billion USD,,Chile
THIRD POINT INVESTORS LIMITED,"8,496",1.196 Billion USD,1.276 Billion USD,,UK
USI CORPORATION,"8,497",1.196 Billion USD,1.260 Billion USD,,Taiwan
MFF CAPITAL INVESTMENTS,"8,498",1.195 Billion USD,1.259 Billion USD,,Australia
SHANGHAI HAIXIN GROUP,"8,499",1.196 Billion USD,1.231 Billion USD,,China
5I5J HOLDING GROUP,"8,500",1.203 Billion USD,1.201 Billion USD,,China
L1 LONG SHORT FUND,"8,501",1.195 Billion USD,1.171 Billion USD,,Australia
CHANGYING XINZHI TECHNOLOGY,"8,502",1.199 Billion USD,1.167 Billion USD,,China
"D&L INDUSTRIES, INC.","8,503",1.199 Billion USD,1.160 Billion USD,,Philippines
GUANGDONG ELLINGTON ELECTRONICS TECHNOLOGY,"8,504",1.202 Billion USD,1.159 Billion USD,,China
HUNAN BAILI ENGINEERING SCI&TECH,"8,505",1.202 Billion USD,1.152 Billion USD,,China
SHANGHAI INDUSTRIAL DEVELOPMENT,"8,506",1.200 Billion USD,1.148 Billion USD,,China
"ACCEL ENTERTAINMENT, INC.","8,507",1.199 Billion USD,1.119 Billion USD,,USA
ZHESHANG DEVELOPMENT GROUP,"8,508",1.201 Billion USD,1.112 Billion USD,,China
APOGEE ENTERPRISES,"8,509",1.197 Billion USD,1.097 Billion USD,,USA
"NANJING VISHEE MEDICAL TECHNOLOGY CO., LTD","8,510",1.199 Billion USD,1.079 Billion USD,,China
NB PRIVATE EQUITY PARTNERS LIMITED,"8,511",1.195 Billion USD,1.053 Billion USD,,Guernsey
PT BENTOEL INTERNASIONAL INVESTAMA TBK,"8,512","8,512","8,512",,Indonesia
VINACAPITAL VIETNAM OPPORTUNITY FUND LD,"8,512",1.197 Billion USD,1.047 Billion USD,,UK
FUTURE CORPORATION,"8,513",1.195 Billion USD,0.985 Billion USD,,Japan
LIG NEX1,"8,514",1.203 Billion USD,0.982 Billion USD,,South Korea
HUNAN JIUDIAN PHARMACEUTICAL,"8,515",1.199 Billion USD,0.950 Billion USD,,China
AMPHASTAR PHARMACEUTICALS,"8,516",1.199 Billion USD,0.944 Billion USD,,USA
SHANDONG WEIDA MACHINERY,"8,517",1.197 Billion USD,0.935 Billion USD,,China
CRINETICS PHARMACEUTICALS,"8,518",1.203 Billion USD,0.929 Billion USD,,USA
BAOSHENG SCIENCE AND TECHNOLOGY INNOVATION,"8,519",1.195 Billion USD,0.917 Billion USD,,China
JIANGXI GETO NEW MATERIALS CORPORATION LIMITED,"8,520",1.196 Billion USD,0.904 Billion USD,,China
"JIANGXI BLACK CAT CARBON BLACK INC.,LTD","8,521",1.203 Billion USD,0.899 Billion USD,,China
SUZLON ENERGY,"8,523",1.198 Billion USD,0.703 Billion USD,,India
CALUMET SPECIALTY PRODUCTS PARTNERS,"8,524",1.195 Billion USD,0.544 Billion USD,,USA
VADO,"8,525",1.200 Billion USD,"26,309",,Consumer Cyclical
POWERLONG COMMERCIAL MANAGEMENT HOLDINGS LIMITED,"8,526",1.185 Billion USD,1.823 Billion USD,,China
AREZZO INDUSTRIA E COMERCIO,"8,527",1.191 Billion USD,1.691 Billion USD,,Brazil
CHONGYI ZHANGYUAN TUNGSTEN,"8,528",1.190 Billion USD,1.598 Billion USD,,China
ASIANA AIRLINES,"8,529",1.189 Billion USD,1.555 Billion USD,,South Korea
CHENGDU GUIBAO SCIENCE & TECHNOLOGY,"8,530",1.192 Billion USD,1.485 Billion USD,,China
"NIPPON STEEL NISSHIN CO., LTD.","8,531",1.190 Billion USD,1.471 Billion USD,,Japan
PT BANK SINARMAS TBK,"8,532",1.188 Billion USD,1.462 Billion USD,,Indonesia
CANVEST ENVIRONMENTAL PROTECTION GROUP COMPANY,"8,533",1.188 Billion USD,1.459 Billion USD,,Hong Kong
PZ CUSSONS,"8,534",1.189 Billion USD,1.435 Billion USD,,UK
RESTAURANT BRANDS NEW ZEALAND,"8,535",1.193 Billion USD,1.399 Billion USD,,New Zealand
MENSCH UND MASCHINE SOFTWARE SE,"8,536",1.193 Billion USD,1.317 Billion USD,,Germany
OLVI OYJ,"8,537",1.191 Billion USD,1.276 Billion USD,,Finland
HARVIA OYJ,"8,538",1.191 Billion USD,1.266 Billion USD,,Finland
SAMITIVEJ PUBLIC COMPANY,"8,539",1.194 Billion USD,1.259 Billion USD,,Thailand
KERNEL HOLDING S.A.,"8,540",1.194 Billion USD,1.244 Billion USD,,Ukraine
EATON VANCE ENHANCED EQUITY INCOME FUND II,"8,541",1.190 Billion USD,1.240 Billion USD,,USA
NUVEEN NEW YORK AMT-FREE QUALITY MUNICIPAL INCOME FUND,"8,542",1.192 Billion USD,1.238 Billion USD,,USA
ASCENDAS INDIA TRUST,"8,543",1.192 Billion USD,1.229 Billion USD,,Singapore
EVO PAYMENTS,"8,544",1.193 Billion USD,1.225 Billion USD,,USA
BEGA CHEESE,"8,545",1.192 Billion USD,1.216 Billion USD,,Australia
COMMUNITY HEALTHCARE TRUST,"8,546",1.187 Billion USD,1.208 Billion USD,,USA
"XIANHENG INTERNATIONAL SCIENCE&TECHNOLOGY CO., LTD.","8,547",1.186 Billion USD,1.202 Billion USD,,China
EATON VANCE TAX-MANAGED GLOBAL BUY-WRITE OPPORTUNITIES FUND,"8,548",1.192 Billion USD,1.194 Billion USD,,USA
ARTIS REAL ESTATE INVESTMENT TRUST,"8,549",1.186 Billion USD,1.171 Billion USD,,Canada
SUMO GROUP,"8,550",1.190 Billion USD,1.162 Billion USD,,UK
ZAD HOLDING COMPANY,"8,551",1.189 Billion USD,1.112 Billion USD,,Qatar
SAHA PATHANA INTER-HOLDING PUBLIC COMPANY,"8,552",1.185 Billion USD,1.108 Billion USD,,Thailand
BESTSUN ENERGY,"8,553",1.187 Billion USD,1.098 Billion USD,,China
NAYAX LTD.,"8,554",1.192 Billion USD,1.090 Billion USD,,Israel
PT AKR CORPORINDO TBK,"8,555",1.185 Billion USD,1.069 Billion USD,,Indonesia
CASTECH,"8,556",1.189 Billion USD,1.061 Billion USD,,China
RAINBOW DEPARTMENT STORE,"8,557",1.192 Billion USD,1.061 Billion USD,,China
SHANGHAI KINETIC MEDICAL CO. LTD,"8,558",1.188 Billion USD,1.056 Billion USD,,China
LING YUN INDUSTRIAL CORPORATION,"8,559",1.188 Billion USD,1.044 Billion USD,,China
RICHINFO TECHNOLOGY,"8,560",1.188 Billion USD,1.043 Billion USD,,China
FREYR BATTERY,"8,561",1.187 Billion USD,1.034 Billion USD,,Luxembourg
SICHUAN JIUYUAN YINHAI SOFTWARE,"8,562",1.192 Billion USD,0.966 Billion USD,,China
RESOLUTE FOREST PRODUCTS,"8,563",1.186 Billion USD,0.965 Billion USD,,Canada
SHENZHEN HEUNGKONG HOLDING,"8,564",1.192 Billion USD,0.947 Billion USD,,China
TSRC CORPORATION,"8,565",1.187 Billion USD,0.907 Billion USD,,Taiwan
NORTH ELECTRO-OPTIC,"8,566",1.188 Billion USD,0.902 Billion USD,,China
JIANGXI HUAWU BRAKE,"8,567",1.191 Billion USD,0.741 Billion USD,,China
"NINGBO HENGSHUAI CO., LTD.","8,568",1.192 Billion USD,0.641 Billion USD,,China
ACREL,"8,569",1.187 Billion USD,0.580 Billion USD,,China
ASCENDAS INDIA TRUST,"8,570",1.190 Billion USD,"7,210",,Singapore
ENERGIJOS SKIRSTYMO OPERATORIUS AB,"8,571","8,571","8,571",,Lithuania
TORRID HOLDINGS INC.,"8,571",1.178 Billion USD,2.580 Billion USD,,USA
MORPHOSYS AG,"8,572",1.183 Billion USD,2.013 Billion USD,,Germany
FIRST SPONSOR GROUP,"8,572","8,572","8,572",,Singapore
CODAN,"8,573",1.183 Billion USD,1.999 Billion USD,,Australia
NFI GROUP,"8,574",1.178 Billion USD,1.706 Billion USD,,Canada
ELECOM,"8,575",1.183 Billion USD,1.494 Billion USD,,Japan
ARRIYADH DEVELOPMENT COMPANY,"8,576",1.178 Billion USD,1.493 Billion USD,,Saudi Arabia
ANAVEX LIFE SCIENCES,"8,577",1.181 Billion USD,1.476 Billion USD,,USA
AYR WELLNESS INC.,"8,578",1.176 Billion USD,1.433 Billion USD,,USA
"PARAGON 28, INC.","8,578",1.177 Billion USD,,,NYSE
"HUNAN VALIN WIRE & CABLE CO.,LTD.","8,579",1.177 Billion USD,1.382 Billion USD,,China
CHINA ORIENTAL GROUP COMPANY LIMITED,"8,580",1.183 Billion USD,1.378 Billion USD,,Hong Kong
JUST GROUP PLC,"8,581",1.184 Billion USD,1.346 Billion USD,,UK
GRACE FABRIC TECHNOLOGY,"8,582",1.177 Billion USD,1.339 Billion USD,,China
SENKO GROUP HOLDINGS,"8,583",1.175 Billion USD,1.334 Billion USD,,Japan
EARTH CORPORATION,"8,584",1.178 Billion USD,1.320 Billion USD,,Japan
CORE LABORATORIES,"8,585",1.181 Billion USD,1.258 Billion USD,,Netherlands
HITACHI ZOSEN CORPORATION,"8,586",1.177 Billion USD,1.244 Billion USD,,Japan
INESA INTELLIGENT TECH,"8,587",1.184 Billion USD,1.235 Billion USD,,China
JPMORGAN EUROPEAN DISCOVERY TRUST PLC,"8,588",1.176 Billion USD,1.217 Billion USD,,UK
SHANGHAI HIGHLY (GROUP),"8,589",1.177 Billion USD,1.209 Billion USD,,China
TAKEUCHI MFG,"8,590",1.181 Billion USD,1.167 Billion USD,,Japan
SAIZERIYA,"8,591",1.183 Billion USD,1.153 Billion USD,,Japan
VAREX IMAGING CORPORATION,"8,592",1.184 Billion USD,1.149 Billion USD,,USA
GETAC TECHNOLOGY CORPORATION,"8,593",1.183 Billion USD,1.149 Billion USD,,Taiwan
KUMAGAI GUMI,"8,594",1.179 Billion USD,1.144 Billion USD,,Japan
BEIJING TEAMSUN TECHNOLOGY,"8,595",1.176 Billion USD,1.124 Billion USD,,China
CHENGDU GALAXY MAGNETS,"8,596",1.179 Billion USD,1.098 Billion USD,,China
READY CAPITAL CORPORATION,"8,597",1.179 Billion USD,1.094 Billion USD,,USA
BALRAMPUR CHINI MILLS,"8,598",1.178 Billion USD,1.089 Billion USD,,India
WAVESTONE SA,"8,599",1.178 Billion USD,1.087 Billion USD,,France
WPG (SHANGHAI) SMART WATER PUBLIC,"8,600",1.177 Billion USD,1.075 Billion USD,,China
"HENAN HENGXING SCIENCE & TECHNOLOGY CO.,LTD.","8,601",1.182 Billion USD,0.997 Billion USD,,China
JCU CORPORATION,"8,602",1.179 Billion USD,0.968 Billion USD,,Japan
SEIREN,"8,603",1.183 Billion USD,0.934 Billion USD,,Japan
"ANHUI XINBO ALUMINUM CO., LTD.","8,604",1.177 Billion USD,0.933 Billion USD,,China
MARKETECH INTERNATIONAL,"8,605",1.177 Billion USD,0.779 Billion USD,,Taiwan
CORETRONIC CORPORATION,"8,606",1.176 Billion USD,0.778 Billion USD,,Taiwan
ZHUHAI ENPOWER ELECTRIC,"8,607",1.176 Billion USD,0.764 Billion USD,,China
BSE LIMITED,"8,608",1.176 Billion USD,0.752 Billion USD,,India
GUD HOLDINGS,"8,609",1.181 Billion USD,0.738 Billion USD,,Australia
GUANGDONG HIGHSUN GROUP,"8,610",1.177 Billion USD,0.733 Billion USD,,China
BRAINCHIP HOLDINGS,"8,611",1.183 Billion USD,0.639 Billion USD,,Australia
NEW HORIZON HEALTH LIMITED,"8,612",1.167 Billion USD,2.599 Billion USD,,China
POINTSBET HOLDINGS,"8,613",1.172 Billion USD,1.985 Billion USD,,Australia
REVANCE THERAPEUTICS,"8,614",1.166 Billion USD,1.924 Billion USD,,USA
REACH PLC,"8,615",1.169 Billion USD,1.757 Billion USD,,UK
YEXT,"8,616",1.171 Billion USD,1.707 Billion USD,,USA
ARAMIS GROUP SAS,"8,617",1.166 Billion USD,1.639 Billion USD,,France
AB FAGERHULT,"8,618",1.168 Billion USD,1.617 Billion USD,,Sweden
MAHANAGAR GAS,"8,619",1.171 Billion USD,1.590 Billion USD,,India
RAKSUL,"8,620",1.167 Billion USD,1.523 Billion USD,,Japan
CESP - COMPANHIA ENERGETICA DE SAO PAULO,"8,621",1.171 Billion USD,1.500 Billion USD,,Brazil
FINCANTIERI S.P.A.,"8,622",1.171 Billion USD,1.488 Billion USD,,Italy
TIANNENG POWER INTERNATIONAL,"8,623",1.166 Billion USD,1.467 Billion USD,,China
AGUAS ANDINAS,"8,624",1.173 Billion USD,1.377 Billion USD,,Chile
INNOVATIVE INDUSTRIAL PROPERTIES,"8,625",1.165 Billion USD,1.324 Billion USD,,USA
BEIJING CTROWELL TECHNOLOGY CORPORATION,"8,626",1.170 Billion USD,1.318 Billion USD,,China
PITNEY BOWES,"8,627",1.169 Billion USD,1.314 Billion USD,,USA
PEOPLE CORPORATION,"8,627","8,627",0.852 Billion USD,,Canada
UNITED SUPER MARKETS HOLDINGS,"8,628",1.170 Billion USD,1.300 Billion USD,,Japan
ZEHNDER GROUP AG,"8,629",1.169 Billion USD,1.295 Billion USD,,Switzerland
GLORY,"8,630",1.173 Billion USD,1.277 Billion USD,,Japan
OKINAWA CELLULAR TELEPHONE COMPANY,"8,631",1.169 Billion USD,1.258 Billion USD,,Japan
CORPORATIVO GBM,"8,632",1.166 Billion USD,1.226 Billion USD,,Mexico
SHENZHEN CLOU ELECTRONICS,"8,633",1.167 Billion USD,1.196 Billion USD,,China
DUSKIN,"8,634",1.172 Billion USD,1.184 Billion USD,,Japan
AUSTRALIAN STRATEGIC MATERIALS LTD,"8,635",1.170 Billion USD,1.173 Billion USD,,Australia
EMPLOYERS HOLDINGS,"8,636",1.172 Billion USD,1.168 Billion USD,,USA
ARCOS DORADOS HOLDINGS,"8,637",1.170 Billion USD,1.149 Billion USD,,Uruguay
CTS CORPORATION,"8,638",1.169 Billion USD,1.138 Billion USD,,USA
APPLEGREEN,"8,638","8,638",0.849 Billion USD,,Ireland
PREMIER FINANCIAL CORP.,"8,639",1.170 Billion USD,1.130 Billion USD,,USA
MCP MASTER INCOME TRUST,"8,640",1.167 Billion USD,1.127 Billion USD,,Australia
XI'AN TIANHE DEFENSE TECHNOLOGY,"8,641",1.169 Billion USD,1.112 Billion USD,,China
SFL CORPORATION,"8,642",1.168 Billion USD,1.108 Billion USD,,Bermuda
ANHUI CONSTRUCTION ENGINEERING GROUP,"8,643",1.171 Billion USD,1.108 Billion USD,,China
"SHANDONG HUATAI PAPER INDUSTRY SHAREHOLDING CO.,LTD","8,644",1.173 Billion USD,1.091 Billion USD,,China
DENISON MINES,"8,645",1.166 Billion USD,1.070 Billion USD,,Canada
SHENZHEN GONGJIN ELECTRONICS,"8,646",1.169 Billion USD,1.039 Billion USD,,China
SHENZHEN FUANNA BEDDING AND FURNISHING,"8,647",1.170 Billion USD,1.030 Billion USD,,China
NLC INDIA,"8,648",1.165 Billion USD,1.010 Billion USD,,India
HEBEI CHANGSHAN BIOCHEMICAL PHARMACEUTICAL,"8,649",1.169 Billion USD,0.980 Billion USD,,China
PREFERRED BANK,"8,650",1.167 Billion USD,0.956 Billion USD,,USA
FEITIAN TECHNOLOGIES,"8,651",1.174 Billion USD,0.912 Billion USD,,China
GUANGXI LIUZHOU PHARMACEUTICAL,"8,652",1.166 Billion USD,0.898 Billion USD,,China
FILO MINING,"8,653",1.168 Billion USD,0.835 Billion USD,,Canada
BOROSIL RENEWABLES LIMITED,"8,654",1.167 Billion USD,0.534 Billion USD,,India
TAURON POLSKA ENERGIA,"8,655",1.161 Billion USD,1.684 Billion USD,,Poland
EN-JAPAN,"8,656",1.163 Billion USD,1.531 Billion USD,,Japan
KUNWU JIUDING INVESTMENT HOLDINGS,"8,657",1.155 Billion USD,1.444 Billion USD,,China
XIAMEN HONGXIN ELECTRON-TECH,"8,658",1.156 Billion USD,1.419 Billion USD,,China
CLS HOLDINGS,"8,659",1.163 Billion USD,1.355 Billion USD,,UK
PIAGGIO & C. SPA,"8,660",1.162 Billion USD,1.346 Billion USD,,Italy
ALTERNATIVE CREDIT INVESTMENTS,"8,661","8,661",0.872 Billion USD,,UK
YTL POWER INTERNATIONAL BERHAD,"8,661",1.155 Billion USD,1.333 Billion USD,,Malaysia
INVOCARE,"8,662",1.155 Billion USD,1.318 Billion USD,,Australia
FARO TECHNOLOGIES,"8,663",1.158 Billion USD,1.253 Billion USD,,USA
SHOWA AIRCRAFT INDUSTRY,"8,663","8,663","8,663",,Japan
NTN CORPORATION,"8,664",1.163 Billion USD,1.237 Billion USD,,Japan
BLACKROCK MUNIYIELD QUALITY FUND,"8,665",1.161 Billion USD,1.229 Billion USD,,USA
XINJIANG TIANFU ENERGY,"8,666",1.155 Billion USD,1.218 Billion USD,,China
MORGUARD CORPORATION,"8,667",1.159 Billion USD,1.175 Billion USD,,Canada
INWIDO AB,"8,668",1.156 Billion USD,1.155 Billion USD,,Sweden
NANKANG RUBBER TIRE,"8,669",1.155 Billion USD,1.151 Billion USD,,Taiwan
SHINKONG SYNTHETIC FIBERS CORPORATION,"8,670",1.157 Billion USD,1.144 Billion USD,,Taiwan
ENTIE COMMERCIAL BANK,"8,671",1.159 Billion USD,1.138 Billion USD,,Taiwan
CENTRAL SECURITIES,"8,672",1.155 Billion USD,1.126 Billion USD,,USA
SEACOR HOLDINGS,"8,673","8,673",0.844 Billion USD,,USA
EIRGENIX,"8,673",1.162 Billion USD,1.116 Billion USD,,Taiwan
NEW WAVE GROUP AB (PUBL),"8,674",1.156 Billion USD,1.115 Billion USD,,Sweden
HENAN ZHONGYUAN EXPRESSWAY COMPANY,"8,675",1.159 Billion USD,1.112 Billion USD,,China
INDIA GRID TRUST,"8,676",1.162 Billion USD,1.095 Billion USD,,India
GETEIN BIOTECH,"8,677",1.156 Billion USD,1.077 Billion USD,,China
A10 NETWORKS,"8,678",1.159 Billion USD,1.067 Billion USD,,USA
JIANG SU SUYAN JINGSHEN,"8,679",1.160 Billion USD,1.011 Billion USD,,China
PT METRO HEALTHCARE INDONESIA TBK,"8,680",1.164 Billion USD,0.973 Billion USD,,Indonesia
RAPT THERAPEUTICS,"8,681",1.155 Billion USD,0.964 Billion USD,,USA
STANDARD MOTOR PRODUCTS,"8,682",1.156 Billion USD,0.953 Billion USD,,USA
CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG,"8,683",1.157 Billion USD,0.821 Billion USD,,Hong Kong
FLEX LNG,"8,684",1.163 Billion USD,0.821 Billion USD,,Bermuda
HANGZHOU ELECTRONIC SOUL NETWORK TECHNOLOGY,"8,685",1.157 Billion USD,0.808 Billion USD,,China
URBAN LOGISTICS REIT,"8,686",1.158 Billion USD,0.803 Billion USD,,UK
MSG NETWORKS,"8,687","8,687",0.841 Billion USD,,USA
STAIDSON (BEIJING) BIOPHARMACEUTICALS,"8,687",1.164 Billion USD,0.788 Billion USD,,China
SUNWAY,"8,688",1.156 Billion USD,0.505 Billion USD,,China
MICROPORT CARDIOFLOW MEDTECH CORPORATION,"8,689",1.148 Billion USD,2.462 Billion USD,,China
"SEER, INC.","8,690",1.151 Billion USD,2.457 Billion USD,,USA
STORYTEL AB (PUBL),"8,691",1.149 Billion USD,1.621 Billion USD,,Sweden
PURETECH HEALTH,"8,692",1.152 Billion USD,1.433 Billion USD,,USA
SWISS STEEL HOLDING AG,"8,693",1.149 Billion USD,1.433 Billion USD,,Switzerland
JIANGSU CANLON BUILDING MATERIALS,"8,694",1.145 Billion USD,1.406 Billion USD,,China
MEYER BURGER TECHNOLOGY AG,"8,695",1.152 Billion USD,1.346 Billion USD,,Switzerland
TRANSCOSMOS,"8,696",1.147 Billion USD,1.329 Billion USD,,Japan
GUANGDONG DONGFANG PRECISION SCIENCE & TECHNOLOGY,"8,697",1.154 Billion USD,1.319 Billion USD,,China
TXC CORPORATION,"8,698",1.149 Billion USD,1.305 Billion USD,,Taiwan
NIPPON PAPER INDUSTRIES,"8,699",1.148 Billion USD,1.302 Billion USD,,Japan
"GUANGLIAN AVIATION INDUSTRY CO., LTD.","8,700",1.148 Billion USD,1.284 Billion USD,,China
FUKUOKA REIT CORPORATION,"8,701",1.146 Billion USD,1.268 Billion USD,,Japan
TERRASCEND,"8,702",1.150 Billion USD,1.263 Billion USD,,Canada
"ZHEJIANG HUGELEAF CO.,LTD.","8,703",1.147 Billion USD,1.197 Billion USD,,China
UACJ CORPORATION,"8,704",1.146 Billion USD,1.194 Billion USD,,Japan
CRANEWARE,"8,705",1.150 Billion USD,1.184 Billion USD,,UK
CALAMOS CONVERTIBLE AND HIGH INCOME FUND,"8,706",1.152 Billion USD,1.184 Billion USD,,USA
PT JAPFA COMFEED INDONESIA TBK,"8,707",1.154 Billion USD,1.174 Billion USD,,Indonesia
DAHLBUSCH AG,"8,708","8,708","8,708",,Germany
JIANGSHAN OUPAI DOOR INDUSTRY CO. LTD,"8,708",1.145 Billion USD,1.174 Billion USD,,China
SHENZHEN TELLUS HOLDING,"8,709",1.152 Billion USD,1.109 Billion USD,,China
FERTILISERS AND CHEMICALS TRAVANCORE,"8,710",1.145 Billion USD,1.095 Billion USD,,India
RPT REALTY,"8,711",1.152 Billion USD,1.053 Billion USD,,USA
SUMITOMO OSAKA CEMENT,"8,712",1.146 Billion USD,1.032 Billion USD,,Japan
KAROOOOO LTD.,"8,713",1.151 Billion USD,1.029 Billion USD,,Singapore
PSG KONSULT,"8,714",1.151 Billion USD,1.017 Billion USD,,South Africa
AMERICAN FINANCE TRUST,"8,715",1.145 Billion USD,1.013 Billion USD,,USA
GLOBAL MEDICAL REIT,"8,716",1.145 Billion USD,1.000 Billion USD,,USA
HARMONIC,"8,717",1.149 Billion USD,0.945 Billion USD,,USA
COSMOPOLITAN INTERNATIONAL HOLDINGS,"8,718",1.147 Billion USD,0.931 Billion USD,,Hong Kong
JINDAL STAINLESS (HISAR),"8,719",1.153 Billion USD,0.908 Billion USD,,India
AEM HOLDINGS LTD,"8,720",1.149 Billion USD,0.864 Billion USD,,Singapore
MARLOWE PLC,"8,721",1.146 Billion USD,0.853 Billion USD,,UK
HOMESTREET,"8,722",1.151 Billion USD,0.852 Billion USD,,USA
DOOSAN INFRACORE,"8,723",1.154 Billion USD,0.828 Billion USD,,South Korea
BOAI NKY MEDICAL HOLDINGS,"8,724",1.154 Billion USD,0.796 Billion USD,,China
ELECTRA REAL ESTATE,"8,725",1.146 Billion USD,0.778 Billion USD,,Israel
JIANGSU ETERN COMPANY,"8,726",1.145 Billion USD,0.760 Billion USD,,China
